eccentricity,aspect_ratio,elongation,solidity,stochastic_convexity,isoperimetric_factor,maximal_indentation_depth,lobedness,average_intensity,average_contrast,smoothness,third_moment,uniformity,entropy
0.8716299999999999,2.0659,0.5533899999999999,0.94868,1.0,0.60231,0.031671,0.18255,0.049706,0.1344,0.017741999999999997,0.0066921,0.00016133,1.4016
0.39092,1.087,0.68174,0.50961,0.6614,0.15361,0.14082,3.6093,0.028638,0.089135,0.0078824,0.0021177,0.00021044,0.9008200000000001
0.77982,1.6215,0.39221999999999996,0.9851200000000001,0.99825,0.80816,0.005098699999999999,0.004731399999999999,0.024875,0.089686,0.0079794,0.0024664,0.00014676,0.66975
0.7328100000000001,1.5437,0.36230999999999997,0.98616,1.0,0.79359,0.005259300000000001,0.0050342,0.046731,0.1203,0.014265,0.0041563,0.00026442,1.2681
0.92535,2.803,0.65133,0.976,1.0,0.48413,0.015434999999999999,0.04336,0.098946,0.18338,0.032533,0.0091801,0.0013297,1.8033
0.8199200000000001,1.8698,0.47286999999999996,0.97829,0.99825,0.65353,0.007414100000000002,0.010004,0.06788999999999999,0.142,0.019765,0.004991,0.00096699,1.4857
0.60555,1.3891,0.29569,0.97439,1.0,0.7360300000000001,0.010820999999999999,0.02131,0.1363,0.20829,0.04158,0.010017,0.0020084,2.2733
0.98361,5.8719,0.82847,0.95488,0.98421,0.32134,0.040164,0.29359,0.039243,0.11622,0.013327,0.0043872,0.00019465,1.0006
0.69686,1.4507,0.33575,0.9851,1.0,0.80461,0.0036582,0.0024356,0.038211,0.10889000000000001,0.011717,0.003581000000000001,0.00016657,1.1363
0.64168,1.4853,0.3362,0.95562,0.99825,0.72952,0.017439,0.05535,0.024130000000000002,0.074641,0.0055403,0.001194,0.00031921,0.8227899999999999
0.74053,1.6378,0.3892,0.9666,1.0,0.74844,0.025032,0.11404,0.008349700000000002,0.045391,0.0020561,0.00054932,2.9454e-05,0.38449
0.8488600000000001,1.7011,0.5348,0.81465,0.9701799999999999,0.37276,0.035424000000000004,0.2283800000000001,0.038846,0.1192,0.014009,0.0057424,0.00010856,1.2269
0.5011399999999999,1.2499,0.30101,0.9447700000000001,0.9807,0.6743,0.0494,0.44415,0.096252,0.23034000000000002,0.050381999999999996,0.025876999999999997,0.00026934,1.4463
0.39605999999999997,1.1647,0.29415,0.9406399999999999,0.99298,0.5486,0.025244,0.11598,0.051625,0.12014000000000001,0.014228,0.003721,0.00038216,1.4943
0.5511199999999999,1.2821,0.39683,0.88375,0.99649,0.49491999999999997,0.030576,0.17015,0.062015,0.14620999999999998,0.02093,0.0063685,0.00067747,1.2659
0.58232,1.3430000000000002,0.29270999999999997,0.95055,0.99825,0.71499,0.026876,0.13146,0.068134,0.13204000000000002,0.017136000000000002,0.0036798,0.0014697,1.6315
0.67362,1.3988,0.30608,0.98301,1.0,0.79998,0.0087621,0.013973,0.1196,0.17804,0.030726,0.006319699999999999,0.0016787,2.5094
0.88795,2.2038,0.56218,0.97835,0.99825,0.64158,0.0059242,0.0063874,0.032722,0.09296900000000001,0.0085691,0.0021199,0.00027729,1.008
0.6128899999999999,1.0991,0.33116999999999996,0.92405,0.98421,0.61661,0.025544999999999998,0.11877,0.054687,0.1606,0.025144999999999997,0.011672,0.00012121,1.1076
0.99541,9.4912,0.9139700000000001,0.84991,0.9736799999999999,0.17429,0.082108,1.227,0.012512,0.060688,0.0036695,0.0010735,5.216e-05,0.41928000000000004
0.70115,1.4925,0.34048,0.98262,1.0,0.78473,0.0061511000000000005,0.0068861999999999994,0.08405,0.17102,0.028418000000000002,0.008772499999999999,0.00052855,1.7782
0.322,1.0698,0.13626,0.9801700000000001,0.99825,0.81953,0.012912999999999999,0.030347000000000002,0.076267,0.18383,0.03269,0.014159,0.00026309,1.4955
0.9332299999999999,3.222,0.6917399999999999,0.95791,1.0,0.48141999999999996,0.022654,0.093403,0.075307,0.17561,0.029914999999999997,0.011062,0.00039957,1.4215
0.4803,1.2022,0.26797,0.94544,0.99825,0.5213899999999999,0.022778,0.09443,0.066259,0.14818,0.021485,0.0061942,0.00073522,1.3669
0.75259,1.5852,0.41155,0.9103600000000001,0.99298,0.6582100000000001,0.044162,0.35495,0.12959,0.25343000000000004,0.060351999999999996,0.026003,0.00063907,1.8130000000000002
0.8762,2.2436,0.56314,0.98425,1.0,0.65133,0.010195000000000001,0.018915,0.14482,0.22485,0.048122000000000005,0.013423,0.0012638,2.4685
0.9137799999999999,2.4132,0.6036199999999999,0.9661799999999999,0.99649,0.56153,0.0091377,0.015197,0.10604000000000001,0.20315999999999998,0.039637,0.013227000000000001,0.00072984,1.8526
0.81957,1.56,0.49513,0.9103600000000001,0.98421,0.6069100000000001,0.045977,0.38473,0.09789400000000001,0.20665,0.040954000000000004,0.015521,0.0007191,1.5452
0.89084,2.2979,0.57815,0.9738899999999999,1.0,0.64598,0.015271000000000003,0.042443,0.028461,0.086477,0.007422800000000002,0.0018832,0.00024345,0.91307
0.64604,1.4683,0.35457,0.9588,0.9912299999999999,0.70641,0.02021,0.074334,0.059026,0.12721,0.015925,0.0037361999999999994,0.0012495999999999998,1.3596
0.986,6.1763,0.83942,0.9783700000000001,0.99298,0.31606999999999996,0.011769,0.025208,0.051048,0.13524,0.017961,0.0060176000000000006,0.0003128,1.166
0.90755,2.582,0.6239399999999999,0.9683700000000001,0.99825,0.55674,0.031714,0.18305,0.079387,0.16213,0.025613,0.007412399999999999,0.00069878,1.6951
0.85121,1.9548,0.4892,0.9862200000000001,1.0,0.70267,0.003973300000000001,0.0028733,0.020258,0.070841,0.0049933,0.0012274,0.00014929,0.74174
0.63969,1.3612,0.28845,0.9873799999999999,1.0,0.82125,0.004231800000000001,0.003259300000000001,0.080446,0.15813,0.024394,0.0066506000000000004,0.00067629,1.8274
0.9170799999999999,2.6498,0.6291899999999999,0.98493,1.0,0.57926,0.006805299999999999,0.0084289,0.082187,0.16877,0.027693000000000002,0.0085027,0.00064002,1.7157
0.5957100000000001,1.084,0.32592,0.92056,0.99825,0.65698,0.024753,0.11150999999999996,0.042051,0.14722000000000002,0.021213,0.010881,6.468e-05,0.83221
0.87202,2.1536,0.53817,0.9788,1.0,0.6561899999999999,0.020327,0.07520299999999999,0.08130599999999999,0.18725999999999998,0.033878,0.013211,0.00036142,1.4606
0.8561,1.8730000000000002,0.49654,0.9804700000000001,1.0,0.6913,0.0092289,0.015501,0.047961000000000004,0.1039,0.010681,0.0024623,0.00080703,1.6203
0.48967,1.1232,0.46175,0.80214,0.9,0.31034,0.073462,0.9822,0.10125,0.17926,0.031132999999999997,0.010102,0.00068131,2.4808
0.9139700000000001,2.7289,0.64656,0.96685,0.99298,0.55519,0.022351,0.090925,0.068514,0.1525,0.022728,0.0070313,0.00041076,1.5681
0.6431399999999999,1.3574,0.28063,0.98631,0.99825,0.81381,0.0052732,0.005060800000000001,0.058530999999999986,0.13108,0.016891999999999997,0.0044631,0.00048306,1.5136
0.86049,2.0997,0.532,0.9358,0.98772,0.5343,0.033993999999999996,0.21031999999999998,0.040254000000000005,0.13592,0.01814,0.0080226,0.00010143,0.8205899999999999
0.47815,1.1032,0.52998,0.8165399999999999,0.8193,0.33753,0.11547,2.4268,0.0068590000000000005,0.042071,0.0017668,0.00047564,1.4404000000000001e-05,0.30832
0.38500999999999996,1.0656,0.63042,0.51223,0.59123,0.13705,0.12292,2.7498,0.033373,0.09890700000000001,0.0096879,0.0027872,0.00021426,1.0015
0.8728,2.3151,0.5875100000000001,0.9071600000000001,0.98772,0.45257,0.058029,0.61287,0.07597000000000001,0.17378,0.029313,0.011448,0.00025642,1.6895
0.86755,2.009,0.51464,0.9869100000000001,1.0,0.70277,0.005443899999999999,0.0053936999999999995,0.030348000000000007,0.092063,0.0084044,0.0022541,0.00019854,0.94545
