benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,0,16,4,4,2022-03-11T23:27:53Z,2022-03-11T23:27:58Z,2022-03-11T23:31:27Z,2022-03-11T23:31:27Z,3m34.70077017s,1.23219
hpccfft,1,16,4,4,2022-03-11T23:31:55Z,2022-03-11T23:32:07Z,2022-03-11T23:35:32Z,2022-03-11T23:35:32Z,3m37.371968698s,1.26751
hpccfft,2,16,4,4,2022-03-11T23:35:56Z,2022-03-11T23:36:19Z,2022-03-11T23:39:45Z,2022-03-11T23:39:45Z,3m49.662483567s,1.26222
hpccfft,3,16,4,4,2022-03-11T23:39:57Z,2022-03-11T23:40:28Z,2022-03-11T23:43:48Z,2022-03-11T23:43:48Z,3m52.739093982s,1.2603
hpccfft,4,16,4,4,2022-03-11T23:43:57Z,2022-03-11T23:44:29Z,2022-03-11T23:47:55Z,2022-03-11T23:47:55Z,3m58.60055637s,1.24094
hpccfft,5,16,4,4,2022-03-11T23:47:58Z,2022-03-11T23:48:38Z,2022-03-11T23:52:02Z,2022-03-11T23:52:02Z,4m4.118090626s,1.26693
hpccfft,6,16,4,4,2022-03-11T23:52:29Z,2022-03-11T23:52:37Z,2022-03-11T23:55:58Z,2022-03-11T23:55:58Z,3m29.244456899s,1.26297
hpccfft,7,16,4,4,2022-03-11T23:56:00Z,2022-03-11T23:56:39Z,2022-03-12T00:00:02Z,2022-03-12T00:00:02Z,4m2.575509595s,1.24594
hpccfft,8,16,4,4,2022-03-12T00:00:31Z,2022-03-12T00:00:49Z,2022-03-12T00:04:12Z,2022-03-12T00:04:12Z,3m41.661069474s,1.27053
hpccfft,9,16,4,4,2022-03-12T00:04:32Z,2022-03-12T00:04:58Z,2022-03-12T00:08:22Z,2022-03-12T00:08:22Z,3m50.803798856s,1.26073
hpccdgemm,0,16,4,4,2022-03-12T00:08:33Z,2022-03-12T00:09:08Z,2022-03-12T00:12:14Z,2022-03-12T00:12:15Z,3m42.036705472s,33.7916
hpccdgemm,1,16,4,4,2022-03-12T00:12:33Z,2022-03-12T00:12:59Z,2022-03-12T00:15:59Z,2022-03-12T00:15:59Z,3m26.424476667s,34.8942
hpccdgemm,2,16,4,4,2022-03-12T00:16:04Z,2022-03-12T00:16:38Z,2022-03-12T00:19:47Z,2022-03-12T00:19:47Z,3m43.695657481s,34.7859
hpccdgemm,3,16,4,4,2022-03-12T00:20:05Z,2022-03-12T00:20:23Z,2022-03-12T00:23:46Z,2022-03-12T00:23:46Z,3m42.387657038s,34.2309
hpccdgemm,4,16,4,4,2022-03-12T00:24:05Z,2022-03-12T00:24:28Z,2022-03-12T00:27:35Z,2022-03-12T00:27:36Z,3m31.053428249s,34.351
hpccdgemm,5,16,4,4,2022-03-12T00:28:06Z,2022-03-12T00:28:19Z,2022-03-12T00:31:34Z,2022-03-12T00:31:34Z,3m28.613902688s,35.6924
hpccdgemm,6,16,4,4,2022-03-12T00:31:36Z,2022-03-12T00:32:18Z,2022-03-12T00:35:27Z,2022-03-12T00:35:27Z,3m51.659847208s,36.769
hpccdgemm,7,16,4,4,2022-03-12T00:35:37Z,2022-03-12T00:36:09Z,2022-03-12T00:39:21Z,2022-03-12T00:39:21Z,3m44.597226578s,33.9881
hpccdgemm,8,16,4,4,2022-03-12T00:39:38Z,2022-03-12T00:39:59Z,2022-03-12T00:43:37Z,2022-03-12T00:43:37Z,3m59.532100449s,32.4746
hpccdgemm,9,16,4,4,2022-03-12T00:43:38Z,2022-03-12T00:44:13Z,2022-03-12T00:47:27Z,2022-03-12T00:47:27Z,3m49.384497941s,33.3596
hpccrandomringbw,0,16,4,4,2022-03-12T00:47:39Z,2022-03-12T00:48:08Z,2022-03-12T00:50:00Z,2022-03-12T00:50:00Z,2m21.580456104s,0.0270395
hpccrandomringlat,0,16,4,4,2022-03-12T00:47:39Z,2022-03-12T00:48:08Z,2022-03-12T00:50:00Z,2022-03-12T00:50:00Z,2m21.580456104s,64.1039
hpccrandomringbw,1,16,4,4,2022-03-12T00:50:09Z,2022-03-12T00:50:39Z,2022-03-12T00:52:32Z,2022-03-12T00:52:32Z,2m23.810710059s,0.0253294
hpccrandomringlat,1,16,4,4,2022-03-12T00:50:09Z,2022-03-12T00:50:39Z,2022-03-12T00:52:32Z,2022-03-12T00:52:32Z,2m23.810710059s,63.9512
hpccrandomringbw,2,16,4,4,2022-03-12T00:52:40Z,2022-03-12T00:53:18Z,2022-03-12T00:55:08Z,2022-03-12T00:55:08Z,2m28.65889868s,0.0262965
hpccrandomringlat,2,16,4,4,2022-03-12T00:52:40Z,2022-03-12T00:53:18Z,2022-03-12T00:55:08Z,2022-03-12T00:55:08Z,2m28.65889868s,62.5569
hpccrandomringbw,3,16,4,4,2022-03-12T00:55:10Z,2022-03-12T00:55:49Z,2022-03-12T00:57:41Z,2022-03-12T00:57:41Z,2m31.795273664s,0.0280593
hpccrandomringlat,3,16,4,4,2022-03-12T00:55:10Z,2022-03-12T00:55:49Z,2022-03-12T00:57:41Z,2022-03-12T00:57:41Z,2m31.795273664s,67.4864
hpccrandomringbw,4,16,4,4,2022-03-12T00:58:11Z,2022-03-12T00:58:18Z,2022-03-12T01:00:12Z,2022-03-12T01:00:12Z,2m1.680551595s,0.023961
hpccrandomringlat,4,16,4,4,2022-03-12T00:58:11Z,2022-03-12T00:58:18Z,2022-03-12T01:00:12Z,2022-03-12T01:00:12Z,2m1.680551595s,62.1
hpccrandomringbw,5,16,4,4,2022-03-12T01:00:42Z,2022-03-12T01:00:58Z,2022-03-12T01:02:49Z,2022-03-12T01:02:49Z,2m7.252755174s,0.0265521
hpccrandomringlat,5,16,4,4,2022-03-12T01:00:42Z,2022-03-12T01:00:58Z,2022-03-12T01:02:49Z,2022-03-12T01:02:49Z,2m7.252755174s,69.6471
hpccrandomringbw,6,16,4,4,2022-03-12T01:03:12Z,2022-03-12T01:03:28Z,2022-03-12T01:05:21Z,2022-03-12T01:05:21Z,2m9.604156964s,0.0255314
hpccrandomringlat,6,16,4,4,2022-03-12T01:03:12Z,2022-03-12T01:03:28Z,2022-03-12T01:05:21Z,2022-03-12T01:05:21Z,2m9.604156964s,65.1807
hpccrandomringbw,7,16,4,4,2022-03-12T01:05:43Z,2022-03-12T01:05:59Z,2022-03-12T01:07:48Z,2022-03-12T01:07:48Z,2m5.949885735s,0.0278137
hpccrandomringlat,7,16,4,4,2022-03-12T01:05:43Z,2022-03-12T01:05:59Z,2022-03-12T01:07:48Z,2022-03-12T01:07:48Z,2m5.949885735s,65.8746
hpccrandomringbw,8,16,4,4,2022-03-12T01:08:13Z,2022-03-12T01:08:29Z,2022-03-12T01:10:22Z,2022-03-12T01:10:22Z,2m9.988863798s,0.0245996
hpccrandomringlat,8,16,4,4,2022-03-12T01:08:13Z,2022-03-12T01:08:29Z,2022-03-12T01:10:22Z,2022-03-12T01:10:22Z,2m9.988863798s,66.2155
hpccrandomringbw,9,16,4,4,2022-03-12T01:10:44Z,2022-03-12T01:11:08Z,2022-03-12T01:13:01Z,2022-03-12T01:13:01Z,2m17.795096347s,0.0268081
hpccrandomringlat,9,16,4,4,2022-03-12T01:10:44Z,2022-03-12T01:11:08Z,2022-03-12T01:13:01Z,2022-03-12T01:13:01Z,2m17.795096347s,64.0991
hpccrandomaccess,0,16,4,4,2022-03-12T01:13:14Z,2022-03-12T01:13:37Z,2022-03-12T01:16:27Z,2022-03-12T01:16:27Z,3m13.764074283s,0.0250827
hpccrandomaccess,1,16,4,4,2022-03-12T01:16:45Z,2022-03-12T01:17:09Z,2022-03-12T01:20:00Z,2022-03-12T01:20:00Z,3m15.570538542s,0.0260348
hpccrandomaccess,2,16,4,4,2022-03-12T01:20:15Z,2022-03-12T01:20:38Z,2022-03-12T01:23:32Z,2022-03-12T01:23:32Z,3m17.827232249s,0.0258897
hpccrandomaccess,3,16,4,4,2022-03-12T01:23:46Z,2022-03-12T01:24:18Z,2022-03-12T01:27:08Z,2022-03-12T01:27:09Z,3m23.047637301s,0.0258121
hpccrandomaccess,4,16,4,4,2022-03-12T01:27:16Z,2022-03-12T01:27:48Z,2022-03-12T01:30:34Z,2022-03-12T01:30:34Z,3m19.00405952s,0.0259011
hpccrandomaccess,5,16,4,4,2022-03-12T01:30:47Z,2022-03-12T01:31:19Z,2022-03-12T01:34:10Z,2022-03-12T01:34:10Z,3m23.221375116s,0.026198
hpccrandomaccess,6,16,4,4,2022-03-12T01:34:18Z,2022-03-12T01:34:48Z,2022-03-12T01:37:38Z,2022-03-12T01:37:38Z,3m21.912939305s,0.0256336
hpccrandomaccess,7,16,4,4,2022-03-12T01:37:48Z,2022-03-12T01:38:18Z,2022-03-12T01:41:11Z,2022-03-12T01:41:12Z,3m24.051441685s,0.0257732
hpccrandomaccess,8,16,4,4,2022-03-12T01:41:19Z,2022-03-12T01:41:59Z,2022-03-12T01:44:52Z,2022-03-12T01:44:52Z,3m33.255324876s,0.0254357
hpccrandomaccess,9,16,4,4,2022-03-12T01:45:19Z,2022-03-12T01:45:38Z,2022-03-12T01:48:31Z,2022-03-12T01:48:31Z,3m12.809028328s,0.0252827
hpccptrans,0,16,4,4,2022-03-12T01:48:50Z,2022-03-12T01:49:07Z,2022-03-12T01:53:45Z,2022-03-12T01:53:45Z,4m55.789758955s,0.31928
hpccptrans,1,16,4,4,2022-03-12T01:53:51Z,2022-03-12T01:54:29Z,2022-03-12T01:59:01Z,2022-03-12T01:59:01Z,5m10.592782465s,0.314536
hpccptrans,2,16,4,4,2022-03-12T01:59:22Z,2022-03-12T01:59:39Z,2022-03-12T02:04:44Z,2022-03-12T02:04:44Z,5m22.854070531s,0.294142
hpccptrans,3,16,4,4,2022-03-12T02:04:53Z,2022-03-12T02:05:28Z,2022-03-12T02:09:57Z,2022-03-12T02:09:57Z,5m4.318993927s,0.284613
hpccptrans,4,16,4,4,2022-03-12T02:10:24Z,2022-03-12T02:10:39Z,2022-03-12T02:15:28Z,2022-03-12T02:15:28Z,5m4.933351447s,0.300407
hpccptrans,5,16,4,4,2022-03-12T02:15:55Z,2022-03-12T02:16:09Z,2022-03-12T02:21:01Z,2022-03-12T02:21:01Z,5m6.080937244s,0.27808
hpccptrans,6,16,4,4,2022-03-12T02:21:26Z,2022-03-12T02:21:38Z,2022-03-12T02:26:05Z,2022-03-12T02:26:05Z,4m39.276903706s,0.302057
hpccptrans,7,16,4,4,2022-03-12T02:26:27Z,2022-03-12T02:26:48Z,2022-03-12T02:31:33Z,2022-03-12T02:31:33Z,5m6.46111263s,0.278696
hpccptrans,8,16,4,4,2022-03-12T02:31:58Z,2022-03-12T02:32:19Z,2022-03-12T02:37:27Z,2022-03-12T02:37:27Z,5m29.961871055s,0.283397
hpccptrans,9,16,4,4,2022-03-12T02:37:29Z,2022-03-12T02:38:04Z,2022-03-12T02:43:01Z,2022-03-12T02:43:01Z,5m32.929688438s,0.302765
hpccstream,0,16,4,4,2022-03-12T02:43:30Z,2022-03-12T02:43:38Z,2022-03-12T02:45:09Z,2022-03-12T02:45:09Z,1m39.105685686s,7.76322
hpccstream,1,16,4,4,2022-03-12T02:45:30Z,2022-03-12T02:45:48Z,2022-03-12T02:47:21Z,2022-03-12T02:47:21Z,1m51.698467048s,8.34076
hpccstream,2,16,4,4,2022-03-12T02:47:31Z,2022-03-12T02:47:58Z,2022-03-12T02:49:28Z,2022-03-12T02:49:28Z,1m57.754295614s,7.80602
hpccstream,3,16,4,4,2022-03-12T02:49:31Z,2022-03-12T02:50:08Z,2022-03-12T02:51:40Z,2022-03-12T02:51:40Z,2m9.469748723s,8.2317
hpccstream,4,16,4,4,2022-03-12T02:52:02Z,2022-03-12T02:52:18Z,2022-03-12T02:53:50Z,2022-03-12T02:53:50Z,1m48.249021734s,7.77868
hpccstream,5,16,4,4,2022-03-12T02:54:02Z,2022-03-12T02:54:28Z,2022-03-12T02:55:57Z,2022-03-12T02:55:57Z,1m55.747208506s,7.75322
hpccstream,6,16,4,4,2022-03-12T02:56:03Z,2022-03-12T02:56:38Z,2022-03-12T02:58:11Z,2022-03-12T02:58:11Z,2m8.428370174s,7.902
hpccstream,7,16,4,4,2022-03-12T02:58:33Z,2022-03-12T02:58:48Z,2022-03-12T03:00:19Z,2022-03-12T03:00:19Z,1m46.454638811s,7.8174
hpccstream,8,16,4,4,2022-03-12T03:00:34Z,2022-03-12T03:00:58Z,2022-03-12T03:02:30Z,2022-03-12T03:02:30Z,1m56.494381938s,7.79089
hpccstream,9,16,4,4,2022-03-12T03:02:34Z,2022-03-12T03:03:08Z,2022-03-12T03:04:40Z,2022-03-12T03:04:40Z,2m6.886701894s,7.74773
