benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,0,16,4,16,2022-03-12T03:05:05Z,2022-03-12T03:05:23Z,2022-03-12T03:09:51Z,2022-03-12T03:09:51Z,4m46.686538604s,1.12583
hpccfft,1,16,4,16,2022-03-12T03:10:06Z,2022-03-12T03:10:15Z,2022-03-12T03:14:44Z,2022-03-12T03:14:44Z,4m38.436102558s,1.11217
hpccfft,2,16,4,16,2022-03-12T03:15:07Z,2022-03-12T03:15:17Z,2022-03-12T03:19:47Z,2022-03-12T03:19:47Z,4m40.676974287s,1.12915
hpccfft,3,16,4,16,2022-03-12T03:20:08Z,2022-03-12T03:20:17Z,2022-03-12T03:24:47Z,2022-03-12T03:24:47Z,4m39.676467662s,1.11947
hpccfft,4,16,4,16,2022-03-12T03:25:09Z,2022-03-12T03:25:16Z,2022-03-12T03:29:46Z,2022-03-12T03:29:46Z,4m37.214013502s,1.12189
hpccfft,5,16,4,16,2022-03-12T03:30:09Z,2022-03-12T03:30:18Z,2022-03-12T03:34:49Z,2022-03-12T03:34:49Z,4m40.958813669s,1.10086
hpccfft,6,16,4,16,2022-03-12T03:35:11Z,2022-03-12T03:35:19Z,2022-03-12T03:39:47Z,2022-03-12T03:39:47Z,4m36.605143878s,1.14121
hpccfft,7,16,4,16,2022-03-12T03:40:12Z,2022-03-12T03:40:22Z,2022-03-12T03:44:52Z,2022-03-12T03:44:52Z,4m40.486104308s,1.09438
hpccfft,8,16,4,16,2022-03-12T03:45:13Z,2022-03-12T03:45:21Z,2022-03-12T03:49:47Z,2022-03-12T03:49:47Z,4m34.628995113s,1.1179
hpccfft,9,16,4,16,2022-03-12T03:50:14Z,2022-03-12T03:50:28Z,2022-03-12T03:54:53Z,2022-03-12T03:54:53Z,4m39.928782621s,1.10238
hpccdgemm,0,16,4,16,2022-03-12T03:55:15Z,2022-03-12T03:55:22Z,2022-03-12T03:58:55Z,2022-03-12T03:58:55Z,3m40.730472052s,42.1549
hpccdgemm,1,16,4,16,2022-03-12T03:59:15Z,2022-03-12T03:59:24Z,2022-03-12T04:02:57Z,2022-03-12T04:02:57Z,3m42.284007086s,41.9021
hpccdgemm,2,16,4,16,2022-03-12T04:03:16Z,2022-03-12T04:03:23Z,2022-03-12T04:06:58Z,2022-03-12T04:06:58Z,3m42.856004645s,42.1086
hpccdgemm,3,16,4,16,2022-03-12T04:07:16Z,2022-03-12T04:07:25Z,2022-03-12T04:10:56Z,2022-03-12T04:10:56Z,3m40.130062195s,42.1272
hpccdgemm,4,16,4,16,2022-03-12T04:11:17Z,2022-03-12T04:11:25Z,2022-03-12T04:14:57Z,2022-03-12T04:14:57Z,3m40.513993644s,42.0485
hpccdgemm,5,16,4,16,2022-03-12T04:15:17Z,2022-03-12T04:15:26Z,2022-03-12T04:18:59Z,2022-03-12T04:18:59Z,3m43.011380325s,41.9104
hpccdgemm,6,16,4,16,2022-03-12T04:19:18Z,2022-03-12T04:19:26Z,2022-03-12T04:22:58Z,2022-03-12T04:22:58Z,3m40.205761607s,41.9947
hpccdgemm,7,16,4,16,2022-03-12T04:23:19Z,2022-03-12T04:23:28Z,2022-03-12T04:27:02Z,2022-03-12T04:27:02Z,3m43.854970987s,42.0315
hpccdgemm,8,16,4,16,2022-03-12T04:27:19Z,2022-03-12T04:27:28Z,2022-03-12T04:31:00Z,2022-03-12T04:31:00Z,3m41.477589038s,41.964
hpccdgemm,9,16,4,16,2022-03-12T04:31:20Z,2022-03-12T04:31:28Z,2022-03-12T04:35:03Z,2022-03-12T04:35:03Z,3m43.274501144s,41.9927
hpccrandomringbw,0,16,4,16,2022-03-12T04:35:21Z,2022-03-12T04:35:29Z,2022-03-12T04:38:40Z,2022-03-12T04:38:40Z,3m19.280486533s,0.0244029
hpccrandomringlat,0,16,4,16,2022-03-12T04:35:21Z,2022-03-12T04:35:29Z,2022-03-12T04:38:40Z,2022-03-12T04:38:40Z,3m19.280486533s,63.3429
hpccrandomringbw,1,16,4,16,2022-03-12T04:38:51Z,2022-03-12T04:38:59Z,2022-03-12T04:42:07Z,2022-03-12T04:42:07Z,3m16.878722143s,0.0262352
hpccrandomringlat,1,16,4,16,2022-03-12T04:38:51Z,2022-03-12T04:38:59Z,2022-03-12T04:42:07Z,2022-03-12T04:42:07Z,3m16.878722143s,62.8478
hpccrandomringbw,2,16,4,16,2022-03-12T04:42:22Z,2022-03-12T04:42:31Z,2022-03-12T04:45:38Z,2022-03-12T04:45:38Z,3m16.317516435s,0.0246328
hpccrandomringlat,2,16,4,16,2022-03-12T04:42:22Z,2022-03-12T04:42:31Z,2022-03-12T04:45:38Z,2022-03-12T04:45:38Z,3m16.317516435s,65.3379
hpccrandomringbw,3,16,4,16,2022-03-12T04:45:52Z,2022-03-12T04:46:01Z,2022-03-12T04:49:11Z,2022-03-12T04:49:11Z,3m19.237834777s,0.0241323
hpccrandomringlat,3,16,4,16,2022-03-12T04:45:52Z,2022-03-12T04:46:01Z,2022-03-12T04:49:11Z,2022-03-12T04:49:11Z,3m19.237834777s,63.3339
hpccrandomringbw,4,16,4,16,2022-03-12T04:49:23Z,2022-03-12T04:49:31Z,2022-03-12T04:52:42Z,2022-03-12T04:52:42Z,3m19.50255762s,0.0247132
hpccrandomringlat,4,16,4,16,2022-03-12T04:49:23Z,2022-03-12T04:49:31Z,2022-03-12T04:52:42Z,2022-03-12T04:52:42Z,3m19.50255762s,61.6148
hpccrandomringbw,5,16,4,16,2022-03-12T04:52:54Z,2022-03-12T04:53:02Z,2022-03-12T04:56:12Z,2022-03-12T04:56:12Z,3m18.944657405s,0.0236059
hpccrandomringlat,5,16,4,16,2022-03-12T04:52:54Z,2022-03-12T04:53:02Z,2022-03-12T04:56:12Z,2022-03-12T04:56:12Z,3m18.944657405s,63.2044
hpccrandomringbw,6,16,4,16,2022-03-12T04:56:24Z,2022-03-12T04:56:32Z,2022-03-12T04:59:43Z,2022-03-12T04:59:44Z,3m20.05576374s,0.023935
hpccrandomringlat,6,16,4,16,2022-03-12T04:56:24Z,2022-03-12T04:56:32Z,2022-03-12T04:59:43Z,2022-03-12T04:59:44Z,3m20.05576374s,62.6217
hpccrandomringbw,7,16,4,16,2022-03-12T04:59:55Z,2022-03-12T05:00:04Z,2022-03-12T05:03:15Z,2022-03-12T05:03:15Z,3m20.555746092s,0.0238239
hpccrandomringlat,7,16,4,16,2022-03-12T04:59:55Z,2022-03-12T05:00:04Z,2022-03-12T05:03:15Z,2022-03-12T05:03:15Z,3m20.555746092s,63.0925
hpccrandomringbw,8,16,4,16,2022-03-12T05:03:26Z,2022-03-12T05:03:33Z,2022-03-12T05:06:42Z,2022-03-12T05:06:42Z,3m16.939872197s,0.0233868
hpccrandomringlat,8,16,4,16,2022-03-12T05:03:26Z,2022-03-12T05:03:33Z,2022-03-12T05:06:42Z,2022-03-12T05:06:42Z,3m16.939872197s,62.105
hpccrandomringbw,9,16,4,16,2022-03-12T05:06:56Z,2022-03-12T05:07:04Z,2022-03-12T05:10:17Z,2022-03-12T05:10:17Z,3m21.249364122s,0.0240074
hpccrandomringlat,9,16,4,16,2022-03-12T05:06:56Z,2022-03-12T05:07:04Z,2022-03-12T05:10:17Z,2022-03-12T05:10:17Z,3m21.249364122s,63.7496
hpccrandomaccess,0,16,4,16,2022-03-12T05:10:27Z,2022-03-12T05:10:37Z,2022-03-12T05:14:21Z,2022-03-12T05:14:21Z,3m54.705206627s,0.0258434
hpccrandomaccess,1,16,4,16,2022-03-12T05:14:28Z,2022-03-12T05:14:35Z,2022-03-12T05:18:20Z,2022-03-12T05:18:20Z,3m52.701872114s,0.0254931
hpccrandomaccess,2,16,4,16,2022-03-12T05:18:28Z,2022-03-12T05:18:37Z,2022-03-12T05:22:18Z,2022-03-12T05:22:18Z,3m50.787619101s,0.0256557
hpccrandomaccess,3,16,4,16,2022-03-12T05:22:29Z,2022-03-12T05:22:38Z,2022-03-12T05:26:24Z,2022-03-12T05:26:24Z,3m55.181744302s,0.0258945
hpccrandomaccess,4,16,4,16,2022-03-12T05:26:30Z,2022-03-12T05:26:38Z,2022-03-12T05:30:20Z,2022-03-12T05:30:20Z,3m51.851792932s,0.0259763
hpccrandomaccess,5,16,4,16,2022-03-12T05:30:30Z,2022-03-12T05:30:39Z,2022-03-12T05:34:23Z,2022-03-12T05:34:23Z,3m53.918448697s,0.0258001
hpccrandomaccess,6,16,4,16,2022-03-12T05:34:31Z,2022-03-12T05:34:40Z,2022-03-12T05:38:24Z,2022-03-12T05:38:24Z,3m53.502749583s,0.0258372
hpccrandomaccess,7,16,4,16,2022-03-12T05:38:31Z,2022-03-12T05:38:40Z,2022-03-12T05:42:24Z,2022-03-12T05:42:24Z,3m53.189532742s,0.0254998
hpccrandomaccess,8,16,4,16,2022-03-12T05:42:32Z,2022-03-12T05:42:41Z,2022-03-12T05:46:20Z,2022-03-12T05:46:20Z,3m48.362491094s,0.0256002
hpccrandomaccess,9,16,4,16,2022-03-12T05:46:33Z,2022-03-12T05:46:41Z,2022-03-12T05:50:25Z,2022-03-12T05:50:25Z,3m52.112822337s,0.0259639
hpccptrans,0,16,4,16,2022-03-12T05:50:33Z,2022-03-12T05:50:42Z,2022-03-12T05:56:11Z,2022-03-12T05:56:11Z,5m39.004982676s,0.315431
hpccptrans,1,16,4,16,2022-03-12T05:56:34Z,2022-03-12T05:56:48Z,2022-03-12T06:02:12Z,2022-03-12T06:02:13Z,5m39.038893672s,0.292859
hpccptrans,2,16,4,16,2022-03-12T06:02:35Z,2022-03-12T06:02:45Z,2022-03-12T06:08:31Z,2022-03-12T06:08:31Z,5m56.651266419s,0.289615
hpccptrans,3,16,4,16,2022-03-12T06:08:37Z,2022-03-12T06:08:45Z,2022-03-12T06:14:38Z,2022-03-12T06:14:38Z,6m1.703688832s,0.274515
hpccptrans,4,16,4,16,2022-03-12T06:15:08Z,2022-03-12T06:15:26Z,2022-03-12T06:21:13Z,2022-03-12T06:21:13Z,6m5.917122114s,0.295705
hpccptrans,5,16,4,16,2022-03-12T06:21:39Z,2022-03-12T06:21:51Z,2022-03-12T06:27:40Z,2022-03-12T06:27:40Z,6m1.101478886s,0.289913
hpccptrans,6,16,4,16,2022-03-12T06:28:10Z,2022-03-12T06:28:21Z,2022-03-12T06:33:55Z,2022-03-12T06:33:55Z,5m45.642686439s,0.296
hpccptrans,7,16,4,16,2022-03-12T06:34:11Z,2022-03-12T06:34:20Z,2022-03-12T06:39:53Z,2022-03-12T06:39:53Z,5m42.196328885s,0.347216
hpccptrans,8,16,4,16,2022-03-12T06:40:12Z,2022-03-12T06:40:19Z,2022-03-12T06:46:31Z,2022-03-12T06:46:31Z,6m19.547861687s,0.276229
hpccptrans,9,16,4,16,2022-03-12T06:46:43Z,2022-03-12T06:46:51Z,2022-03-12T06:52:32Z,2022-03-12T06:52:32Z,5m49.551237373s,0.296913
hpccstream,0,16,4,16,2022-03-12T06:52:44Z,2022-03-12T06:52:53Z,2022-03-12T06:55:13Z,2022-03-12T06:55:13Z,2m29.387410566s,7.9201
hpccstream,1,16,4,16,2022-03-12T06:55:15Z,2022-03-12T06:55:22Z,2022-03-12T06:57:44Z,2022-03-12T06:57:44Z,2m29.992015269s,8.0845
hpccstream,2,16,4,16,2022-03-12T06:57:45Z,2022-03-12T06:57:53Z,2022-03-12T07:00:13Z,2022-03-12T07:00:13Z,2m28.545315378s,7.78307
hpccstream,3,16,4,16,2022-03-12T07:00:16Z,2022-03-12T07:00:24Z,2022-03-12T07:02:45Z,2022-03-12T07:02:45Z,2m30.522901678s,7.98095
hpccstream,4,16,4,16,2022-03-12T07:02:46Z,2022-03-12T07:02:54Z,2022-03-12T07:05:16Z,2022-03-12T07:05:16Z,2m30.818352636s,7.77924
hpccstream,5,16,4,16,2022-03-12T07:05:47Z,2022-03-12T07:05:59Z,2022-03-12T07:08:15Z,2022-03-12T07:08:15Z,2m29.087770042s,7.90527
hpccstream,6,16,4,16,2022-03-12T07:08:17Z,2022-03-12T07:08:25Z,2022-03-12T07:10:46Z,2022-03-12T07:10:46Z,2m29.693611881s,7.85218
hpccstream,7,16,4,16,2022-03-12T07:10:47Z,2022-03-12T07:10:56Z,2022-03-12T07:13:17Z,2022-03-12T07:13:17Z,2m30.649066158s,8.11922
hpccstream,8,16,4,16,2022-03-12T07:13:18Z,2022-03-12T07:13:27Z,2022-03-12T07:15:48Z,2022-03-12T07:15:48Z,2m30.077786878s,8.52193
hpccstream,9,16,4,16,2022-03-12T07:15:48Z,2022-03-12T07:15:56Z,2022-03-12T07:18:18Z,2022-03-12T07:18:18Z,2m30.449253048s,7.9026
