benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,0,16,4,4,2022-03-11T00:39:53Z,2022-03-11T00:39:58Z,2022-03-11T00:43:22Z,2022-03-11T00:43:22Z,3m29.248566577s,1.2228
hpccfft,1,16,4,4,2022-03-11T00:43:24Z,2022-03-11T00:44:06Z,2022-03-11T00:47:27Z,2022-03-11T00:47:27Z,4m3.668429576s,1.29436
hpccfft,2,16,4,4,2022-03-11T00:47:55Z,2022-03-11T00:48:06Z,2022-03-11T00:51:25Z,2022-03-11T00:51:25Z,3m30.459063113s,1.30707
hpccfft,3,16,4,4,2022-03-11T00:51:26Z,2022-03-11T00:52:06Z,2022-03-11T00:55:31Z,2022-03-11T00:55:31Z,4m5.213055885s,1.23801
hpccfft,4,16,4,4,2022-03-11T00:55:58Z,2022-03-11T00:56:16Z,2022-03-11T00:59:40Z,2022-03-11T00:59:41Z,3m43.033142541s,1.23285
hpccfft,5,16,4,4,2022-03-11T00:59:59Z,2022-03-11T01:00:26Z,2022-03-11T01:03:53Z,2022-03-11T01:03:53Z,3m54.10609701s,1.21781
hpccfft,6,16,4,4,2022-03-11T01:03:59Z,2022-03-11T01:04:36Z,2022-03-11T01:07:57Z,2022-03-11T01:07:57Z,3m58.959461091s,1.25446
hpccfft,7,16,4,4,2022-03-11T01:08:00Z,2022-03-11T01:08:37Z,2022-03-11T01:12:02Z,2022-03-11T01:12:02Z,4m2.657694514s,1.23839
hpccfft,8,16,4,4,2022-03-11T01:12:31Z,2022-03-11T01:12:46Z,2022-03-11T01:16:10Z,2022-03-11T01:16:10Z,3m39.57172062s,1.23384
hpccfft,9,16,4,4,2022-03-11T01:16:33Z,2022-03-11T01:16:56Z,2022-03-11T01:20:21Z,2022-03-11T01:20:21Z,3m49.746507652s,1.24117
hpccdgemm,0,16,4,4,2022-03-11T01:20:33Z,2022-03-11T01:20:57Z,2022-03-11T01:26:48Z,2022-03-11T01:26:48Z,6m15.158236199s,16.1874
hpccdgemm,1,16,4,4,2022-03-11T01:27:04Z,2022-03-11T01:27:26Z,2022-03-11T01:32:43Z,2022-03-11T01:32:43Z,5m39.582159092s,16.1337
hpccdgemm,2,16,4,4,2022-03-11T01:33:05Z,2022-03-11T01:33:19Z,2022-03-11T01:38:59Z,2022-03-11T01:38:59Z,5m54.242683679s,15.7562
hpccdgemm,3,16,4,4,2022-03-11T01:39:06Z,2022-03-11T01:39:36Z,2022-03-11T01:44:58Z,2022-03-11T01:44:58Z,5m52.596587338s,16.9446
hpccdgemm,4,16,4,4,2022-03-11T01:45:07Z,2022-03-11T01:45:36Z,2022-03-11T01:51:07Z,2022-03-11T01:51:07Z,6m0.895584489s,16.3713
hpccdgemm,5,16,4,4,2022-03-11T01:51:08Z,2022-03-11T01:51:46Z,2022-03-11T01:57:33Z,2022-03-11T01:57:33Z,6m25.671712653s,14.7059
hpccdgemm,6,16,4,4,2022-03-11T01:57:38Z,2022-03-11T01:58:16Z,2022-03-11T02:04:14Z,2022-03-11T02:04:14Z,6m36.148979872s,16.669
hpccdgemm,7,16,4,4,2022-03-11T02:04:39Z,2022-03-11T02:04:56Z,2022-03-11T02:10:15Z,2022-03-11T02:10:15Z,5m36.973202843s,17.3642
hpccdgemm,8,16,4,4,2022-03-11T02:10:40Z,2022-03-11T02:10:56Z,2022-03-11T02:16:16Z,2022-03-11T02:16:16Z,5m36.84602059s,16.9532
hpccdgemm,9,16,4,4,2022-03-11T02:16:41Z,2022-03-11T02:16:57Z,2022-03-11T02:22:45Z,2022-03-11T02:22:45Z,6m4.591770506s,16.3893
hpccrandomringbw,0,16,4,4,2022-03-11T02:23:12Z,2022-03-11T02:23:26Z,2022-03-11T02:25:17Z,2022-03-11T02:25:17Z,2m5.218626656s,0.0287494
hpccrandomringlat,0,16,4,4,2022-03-11T02:23:12Z,2022-03-11T02:23:26Z,2022-03-11T02:25:17Z,2022-03-11T02:25:17Z,2m5.218626656s,67.5459
hpccrandomringbw,1,16,4,4,2022-03-11T02:25:42Z,2022-03-11T02:25:56Z,2022-03-11T02:27:48Z,2022-03-11T02:27:48Z,2m6.085005171s,0.025796
hpccrandomringlat,1,16,4,4,2022-03-11T02:25:42Z,2022-03-11T02:25:56Z,2022-03-11T02:27:48Z,2022-03-11T02:27:48Z,2m6.085005171s,69.6557
