benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,0,16,4,16,2022-03-11T09:24:34Z,2022-03-11T09:24:42Z,2022-03-11T09:29:06Z,2022-03-11T09:29:06Z,4m32.474555814s,1.15201
hpccfft,1,16,4,16,2022-03-11T09:29:35Z,2022-03-11T09:29:47Z,2022-03-11T09:34:12Z,2022-03-11T09:34:12Z,4m37.245143316s,1.15338
hpccfft,2,16,4,16,2022-03-11T09:34:36Z,2022-03-11T09:34:49Z,2022-03-11T09:39:09Z,2022-03-11T09:39:09Z,4m33.657702151s,1.13052
hpccfft,3,16,4,16,2022-03-11T09:39:37Z,2022-03-11T09:39:50Z,2022-03-11T09:44:15Z,2022-03-11T09:44:15Z,4m38.676102305s,1.07741
hpccfft,4,16,4,16,2022-03-11T09:44:38Z,2022-03-11T09:44:46Z,2022-03-11T09:49:16Z,2022-03-11T09:49:16Z,4m38.498125423s,1.10384
hpccfft,5,16,4,16,2022-03-11T09:49:39Z,2022-03-11T09:49:47Z,2022-03-11T09:54:14Z,2022-03-11T09:54:14Z,4m35.471061561s,1.14075
hpccfft,6,16,4,16,2022-03-11T09:54:40Z,2022-03-11T09:54:53Z,2022-03-11T09:59:17Z,2022-03-11T09:59:17Z,4m37.529356052s,1.139
hpccfft,7,16,4,16,2022-03-11T09:59:41Z,2022-03-11T09:59:54Z,2022-03-11T10:04:20Z,2022-03-11T10:04:21Z,4m40.070064212s,1.115
hpccfft,8,16,4,16,2022-03-11T10:04:42Z,2022-03-11T10:04:51Z,2022-03-11T10:09:18Z,2022-03-11T10:09:19Z,4m37.027875281s,1.16527
hpccfft,9,16,4,16,2022-03-11T10:09:43Z,2022-03-11T10:09:55Z,2022-03-11T10:14:29Z,2022-03-11T10:14:29Z,4m46.668613591s,1.07398
hpccdgemm,0,16,4,16,2022-03-11T10:14:44Z,2022-03-11T10:14:53Z,2022-03-11T10:31:57Z,2022-03-11T10:31:57Z,17m13.117111773s,4.76715
hpccdgemm,1,16,4,16,2022-03-11T10:32:16Z,2022-03-11T10:32:24Z,2022-03-11T10:49:33Z,2022-03-11T10:49:33Z,17m17.602577744s,4.59894
hpccdgemm,2,16,4,16,2022-03-11T10:49:48Z,2022-03-11T10:49:56Z,2022-03-11T11:08:08Z,2022-03-11T11:08:08Z,18m20.907245636s,4.88584
hpccdgemm,3,16,4,16,2022-03-11T11:08:20Z,2022-03-11T11:08:29Z,2022-03-11T11:26:03Z,2022-03-11T11:26:03Z,17m43.782768915s,4.75971
hpccdgemm,4,16,4,16,2022-03-11T11:26:22Z,2022-03-11T11:26:31Z,2022-03-11T11:44:21Z,2022-03-11T11:44:21Z,17m59.363591958s,5.54213
hpccdgemm,5,16,4,16,2022-03-11T11:44:24Z,2022-03-11T11:44:32Z,2022-03-11T12:01:27Z,2022-03-11T12:01:27Z,17m3.362320441s,5.48533
hpccdgemm,6,16,4,16,2022-03-11T12:01:56Z,2022-03-11T12:02:08Z,2022-03-11T12:20:03Z,2022-03-11T12:20:03Z,18m7.454005841s,4.8848
hpccdgemm,7,16,4,16,2022-03-11T12:20:28Z,2022-03-11T12:20:40Z,2022-03-11T12:38:29Z,2022-03-11T12:38:29Z,18m1.160345681s,4.88706
hpccdgemm,8,16,4,16,2022-03-11T12:38:30Z,2022-03-11T12:38:39Z,2022-03-11T12:56:56Z,2022-03-11T12:56:56Z,18m26.480909071s,4.55933
hpccdgemm,9,16,4,16,2022-03-11T12:57:02Z,2022-03-11T12:57:10Z,2022-03-11T13:14:39Z,2022-03-11T13:14:39Z,17m37.987834493s,4.97338
