benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
nasep,4,16,4,4,2022-04-10T15:49:16Z,2022-04-10T15:49:20Z,2022-04-10T16:08:30Z,2022-04-10T16:08:31Z,19m50.323330226s,1147.71
hpccdgemm,4,16,4,4,2022-04-10T15:50:16Z,2022-04-10T15:50:20Z,2022-04-10T16:10:25Z,2022-04-10T16:10:26Z,20m50.527661299s,34.795
hpccrandomringbw,4,16,4,4,2022-04-10T15:52:16Z,2022-04-10T15:52:22Z,2022-04-10T16:17:39Z,2022-04-10T16:17:39Z,26m0.36878722s,0.0203957
hpccfft,0,16,4,4,2022-04-10T15:52:16Z,2022-04-10T15:52:21Z,2022-04-10T16:05:09Z,2022-04-10T16:05:10Z,13m30.508136636s,0.707422
hpccfft,4,16,4,4,2022-04-10T15:55:17Z,2022-04-10T15:55:23Z,2022-04-10T16:09:44Z,2022-04-10T16:09:45Z,15m0.103806339s,0.568468
hpccstream,4,16,4,4,2022-04-10T15:56:18Z,2022-04-10T15:56:24Z,2022-04-10T16:07:31Z,2022-04-10T16:07:32Z,11m48.690235782s,8.63133
hpccrandomringbw,0,16,4,4,2022-04-10T15:57:19Z,2022-04-10T15:57:25Z,2022-04-10T16:19:35Z,2022-04-10T16:19:35Z,22m58.156891823s,0.0296283
hpccstream,1,16,4,4,2022-04-10T15:57:19Z,2022-04-10T15:57:26Z,2022-04-10T16:08:46Z,2022-04-10T16:08:47Z,12m7.734666396s,7.2058
hpccdgemm,0,16,4,4,2022-04-10T16:00:20Z,2022-04-10T16:05:50Z,2022-04-10T16:23:49Z,2022-04-10T16:23:51Z,24m6.800109151s,34.5688
hpccdgemm,3,16,4,4,2022-04-10T16:01:21Z,2022-04-10T16:08:10Z,2022-04-10T16:26:33Z,2022-04-10T16:26:34Z,25m56.276065506s,33.4761
hpccdgemm,1,16,4,4,2022-04-10T16:02:21Z,2022-04-10T16:09:09Z,2022-04-10T16:32:25Z,2022-04-10T16:32:26Z,30m45.714942655s,32.443
hpccstream,0,16,4,4,2022-04-10T16:03:22Z,2022-04-10T16:09:29Z,2022-04-10T16:21:36Z,2022-04-10T16:21:36Z,18m54.320686805s,8.54093
hpccstream,2,16,4,4,2022-04-10T16:04:23Z,2022-04-10T16:10:21Z,2022-04-10T16:22:30Z,2022-04-10T16:22:30Z,18m43.337760297s,6.53676
hpccstream,3,16,4,4,2022-04-10T16:04:23Z,2022-04-10T16:11:09Z,2022-04-10T16:21:45Z,2022-04-10T16:21:45Z,18m3.300167623s,8.36279
nasep,1,16,4,4,2022-04-10T16:04:24Z,2022-04-10T16:18:19Z,2022-04-10T16:43:54Z,2022-04-10T16:43:55Z,40m12.819570258s,1531.19
hpccrandomringbw,3,16,4,4,2022-04-10T16:08:25Z,2022-04-10T16:20:19Z,2022-04-10T16:51:30Z,2022-04-10T16:51:30Z,43m37.933173799s,0.0144769
hpccfft,1,16,4,4,2022-04-10T16:08:26Z,2022-04-10T16:22:20Z,2022-04-10T16:38:50Z,2022-04-10T16:38:52Z,31m1.370014647s,0.551553
hpccdgemm,2,16,4,4,2022-04-10T16:09:27Z,2022-04-10T16:22:30Z,2022-04-10T16:39:02Z,2022-04-10T16:39:03Z,30m10.780321461s,36.775
hpccfft,2,16,4,4,2022-04-10T16:09:28Z,2022-04-10T16:23:09Z,2022-04-10T16:41:03Z,2022-04-10T16:41:04Z,32m19.679143364s,0.439037
nasep,3,16,4,4,2022-04-10T16:10:28Z,2022-04-10T16:24:30Z,2022-04-10T16:40:41Z,2022-04-10T16:40:43Z,30m48.277105629s,962.78
hpccfft,3,16,4,4,2022-04-10T16:11:28Z,2022-04-10T16:27:19Z,2022-04-10T16:45:19Z,2022-04-10T16:45:19Z,34m28.34899658s,0.443942
hpccrandomringbw,2,16,4,4,2022-04-10T16:13:29Z,2022-04-10T16:33:10Z,2022-04-10T17:00:01Z,2022-04-10T17:00:02Z,47m7.294223681s,0.0179926
nasep,2,16,4,4,2022-04-10T16:14:30Z,2022-04-10T16:39:30Z,2022-04-10T17:00:39Z,2022-04-10T17:00:39Z,46m47.155644248s,1264.73
hpccrandomringbw,1,16,4,4,2022-04-10T16:17:30Z,2022-04-10T16:39:39Z,2022-04-10T17:01:09Z,2022-04-10T17:01:09Z,44m16.153658247s,0.0282057
nasep,0,16,4,4,2022-04-10T16:17:32Z,2022-04-10T16:41:21Z,2022-04-10T16:57:09Z,2022-04-10T16:57:09Z,40m15.459402726s,943.76
