benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,4,16,4,4,2022-04-09T21:56:39Z,2022-04-09T21:56:47Z,2022-04-09T22:51:16Z,2022-04-09T22:51:17Z,55m17.812499399s,0.559868
hpccstream,4,16,4,4,2022-04-09T21:56:39Z,2022-04-09T21:56:48Z,2022-04-09T22:00:53Z,2022-04-09T22:00:54Z,4m57.516487132s,7.93714
nasep,2,16,4,4,2022-04-09T21:56:39Z,2022-04-09T21:56:48Z,2022-04-09T22:12:45Z,2022-04-09T22:12:47Z,16m47.596361612s,954.83
nasep,1,16,4,4,2022-04-09T21:57:40Z,2022-04-09T21:57:46Z,2022-04-09T22:21:50Z,2022-04-09T22:21:52Z,24m46.703315833s,1439.46
hpccfft,1,16,4,4,2022-04-09T21:58:40Z,2022-04-09T21:58:45Z,2022-04-09T22:59:03Z,2022-04-09T22:59:05Z,1h1m6.299245855s,0.452144
hpccfft,3,16,4,4,2022-04-09T21:59:41Z,2022-04-09T21:59:46Z,2022-04-09T22:59:41Z,2022-04-09T22:59:42Z,1h0m35.715542842s,0.446009
hpccdgemm,3,16,4,4,2022-04-09T22:00:41Z,2022-04-09T22:00:49Z,2022-04-09T22:17:51Z,2022-04-09T22:17:52Z,17m45.588924905s,36.2213
hpccdgemm,4,16,4,4,2022-04-09T22:00:42Z,2022-04-09T22:00:50Z,2022-04-09T22:17:20Z,2022-04-09T22:17:22Z,17m15.077431266s,36.5063
hpccrandomaccess,0,16,4,4,2022-04-09T22:03:42Z,2022-04-09T22:03:48Z,2022-04-09T23:55:57Z,2022-04-09T23:55:57Z,1h52m54.19871076s,0.0191051
hpccrandomaccess,4,16,4,4,2022-04-09T22:04:43Z,2022-04-09T22:13:29Z,2022-04-10T00:01:43Z,2022-04-10T00:01:43Z,1h57m43.165960952s,0.0277832
hpccdgemm,2,16,4,4,2022-04-09T22:05:44Z,2022-04-09T22:18:01Z,2022-04-09T22:34:19Z,2022-04-09T22:34:21Z,29m13.844822329s,36.9857
nasep,3,16,4,4,2022-04-09T22:05:45Z,2022-04-09T22:18:30Z,2022-04-09T22:34:24Z,2022-04-09T22:34:26Z,29m22.760439871s,950.360
hpccfft,2,16,4,4,2022-04-09T22:05:47Z,2022-04-09T22:22:30Z,2022-04-09T23:12:30Z,2022-04-09T23:12:30Z,1h7m17.867102261s,0.629654
hpccdgemm,0,16,4,4,2022-04-09T22:06:46Z,2022-04-09T22:35:01Z,2022-04-09T22:51:17Z,2022-04-09T22:51:18Z,45m11.782832255s,37.1316
hpccrandomaccess,2,16,4,4,2022-04-09T22:08:47Z,2022-04-09T22:35:10Z,2022-04-10T00:02:48Z,2022-04-10T00:02:48Z,1h54m40.157714271s,0.0291121
nasep,4,16,4,4,2022-04-09T22:09:47Z,2022-04-09T22:52:02Z,2022-04-09T23:07:39Z,2022-04-09T23:07:39Z,58m29.719420065s,934.069
hpccrandomaccess,1,16,4,4,2022-04-09T22:09:49Z,2022-04-09T22:56:59Z,2022-04-10T00:00:29Z,2022-04-10T00:00:29Z,1h51m18.179786174s,0.0190445
hpccstream,3,16,4,4,2022-04-09T22:09:49Z,2022-04-09T22:52:02Z,2022-04-09T22:56:13Z,2022-04-09T22:56:15Z,47m8.559578857s,8.44138
hpccrandomaccess,3,16,4,4,2022-04-09T22:09:49Z,2022-04-09T22:59:50Z,2022-04-10T00:04:07Z,2022-04-10T00:04:07Z,1h54m57.158347253s,0.0291316
hpccstream,0,16,4,4,2022-04-09T22:10:50Z,2022-04-09T23:00:20Z,2022-04-09T23:03:05Z,2022-04-09T23:03:06Z,52m56.696708165s,9.46924
hpccdgemm,1,16,4,4,2022-04-09T22:10:51Z,2022-04-09T23:03:49Z,2022-04-09T23:20:23Z,2022-04-09T23:20:23Z,1h10m15.567576107s,36.8462
hpccstream,1,16,4,4,2022-04-09T22:11:52Z,2022-04-09T23:08:19Z,2022-04-09T23:11:25Z,2022-04-09T23:11:26Z,1h0m15.746808816s,8.9527
nasep,0,16,4,4,2022-04-09T22:12:53Z,2022-04-09T23:12:10Z,2022-04-09T23:28:02Z,2022-04-09T23:28:03Z,1h15m45.013826136s,946.38
hpccfft,0,16,4,4,2022-04-09T22:13:54Z,2022-04-09T23:13:06Z,2022-04-09T23:40:36Z,2022-04-09T23:40:36Z,1h27m16.028253217s,0.95646
hpccstream,2,16,4,4,2022-04-09T22:14:54Z,2022-04-09T23:21:10Z,2022-04-09T23:24:00Z,2022-04-09T23:24:00Z,1h9m42.664693611s,8.76519
