benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,4,16,4,4,2022-04-10T07:21:43Z,2022-04-10T07:21:54Z,2022-04-10T08:17:05Z,2022-04-10T08:17:06Z,56m3.683704724s,0.561171
hpccstream,4,16,4,4,2022-04-10T07:21:43Z,2022-04-10T07:21:57Z,2022-04-10T07:25:33Z,2022-04-10T07:25:34Z,4m33.409627146s,8.70665
nasep,2,16,4,16,2022-04-10T07:21:43Z,2022-04-10T07:21:59Z,2022-04-10T07:22:00Z,2022-04-10T07:22:00Z,53.203734047s,
nasep,1,16,4,16,2022-04-10T07:22:44Z,2022-04-10T07:22:53Z,2022-04-10T07:43:34Z,2022-04-10T07:43:36Z,21m35.16512694s,1232.319
hpccfft,1,16,4,4,2022-04-10T07:23:45Z,2022-04-10T07:23:51Z,2022-04-10T08:24:02Z,2022-04-10T08:24:02Z,1h1m1.238152053s,0.444033
hpccfft,3,16,4,4,2022-04-10T07:24:46Z,2022-04-10T07:24:51Z,2022-04-10T08:23:59Z,2022-04-10T08:23:59Z,59m50.547841337s,0.456061
hpccdgemm,3,16,4,16,2022-04-10T07:25:46Z,2022-04-10T07:26:01Z,2022-04-10T07:50:14Z,2022-04-10T07:50:17Z,25m11.7844515s,37.3441
hpccdgemm,4,16,4,16,2022-04-10T07:25:47Z,2022-04-10T07:26:04Z,2022-04-10T07:41:56Z,2022-04-10T07:41:58Z,16m51.529510907s,38.3193
hpccrandomaccess,0,16,4,4,2022-04-10T07:28:48Z,2022-04-10T07:28:54Z,2022-04-10T09:17:26Z,2022-04-10T09:17:26Z,1h49m11.981330996s,0.0197704
hpccrandomaccess,4,16,4,4,2022-04-10T07:29:48Z,2022-04-10T07:29:54Z,2022-04-10T09:19:57Z,2022-04-10T09:19:57Z,1h50m48.146660302s,0.0293327
hpccdgemm,2,16,4,16,2022-04-10T07:30:49Z,2022-04-10T07:42:45Z,2022-04-10T07:58:37Z,2022-04-10T07:58:39Z,28m29.642099909s,38.2983
nasep,3,16,4,16,2022-04-10T07:30:51Z,2022-04-10T07:44:26Z,2022-04-10T08:05:11Z,2022-04-10T08:05:13Z,35m7.123548012s,1233.49
hpccfft,2,16,4,4,2022-04-10T07:30:52Z,2022-04-10T07:51:00Z,2022-04-10T08:36:44Z,2022-04-10T08:36:45Z,1h6m36.16808061s,0.745431
hpccdgemm,0,16,4,16,2022-04-10T07:31:51Z,2022-04-10T07:59:25Z,2022-04-10T08:25:23Z,2022-04-10T08:25:24Z,54m15.783035703s,37.235
hpccrandomaccess,2,16,4,4,2022-04-10T07:33:52Z,2022-04-10T08:06:00Z,2022-04-10T09:20:12Z,2022-04-10T09:20:12Z,1h47m4.115687192s,0.0180379
nasep,4,16,4,16,2022-04-10T07:34:53Z,2022-04-10T08:22:33Z,2022-04-10T08:22:37Z,2022-04-10T08:22:39Z,48m25.176166043s,
hpccrandomaccess,1,16,4,4,2022-04-10T07:34:55Z,2022-04-10T08:23:22Z,2022-04-10T09:19:35Z,2022-04-10T09:19:35Z,1h45m23.14833561s,0.0182308
hpccstream,3,16,4,4,2022-04-10T07:34:54Z,2022-04-10T08:17:49Z,2022-04-10T08:21:43Z,2022-04-10T08:21:44Z,47m32.865708838s,7.98258
hpccrandomaccess,3,16,4,4,2022-04-10T07:34:55Z,2022-04-10T08:24:40Z,2022-04-10T09:18:26Z,2022-04-10T09:18:26Z,1h44m12.19869684s,0.0114088
hpccstream,0,16,4,4,2022-04-10T07:35:55Z,2022-04-10T08:26:10Z,2022-04-10T08:29:19Z,2022-04-10T08:29:19Z,54m1.487670463s,8.44615
hpccdgemm,1,16,4,16,2022-04-10T07:35:56Z,2022-04-10T08:24:53Z,2022-04-10T08:40:54Z,2022-04-10T08:40:55Z,1h5m40.240595968s,37.8995
hpccstream,1,16,4,4,2022-04-10T07:36:57Z,2022-04-10T08:29:59Z,2022-04-10T08:33:10Z,2022-04-10T08:33:11Z,56m50.029948663s,8.45688
nasep,0,16,4,16,2022-04-10T07:37:58Z,2022-04-10T08:33:55Z,2022-04-10T08:55:31Z,2022-04-10T08:55:32Z,1h18m18.356003676s,1283.11
hpccfft,0,16,4,4,2022-04-10T07:38:59Z,2022-04-10T08:37:28Z,2022-04-10T09:02:00Z,2022-04-10T09:02:01Z,1h23m38.159231705s,1.118
hpccstream,2,16,4,4,2022-04-10T07:40:00Z,2022-04-10T08:41:40Z,2022-04-10T08:44:32Z,2022-04-10T08:44:33Z,1h5m7.493946048s,8.58624
