benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,4,4,2022-04-08T13:18:57Z,2022-04-08T13:19:01Z,2022-04-08T13:37:18Z,2022-04-08T13:37:18Z,18m59.147319622s,33.4039
hpccdgemm,1,16,4,4,2022-04-08T13:19:57Z,2022-04-08T13:20:01Z,2022-04-08T13:38:29Z,2022-04-08T13:38:29Z,19m9.141050788s,33.2978
hpccdgemm,2,16,4,4,2022-04-08T13:20:57Z,2022-04-08T13:21:01Z,2022-04-08T13:38:50Z,2022-04-08T13:38:50Z,18m29.149587986s,34.0728
hpccdgemm,3,16,4,4,2022-04-08T13:21:57Z,2022-04-08T13:22:01Z,2022-04-08T13:40:18Z,2022-04-08T13:40:18Z,18m53.694635447s,33.4323
hpccdgemm,4,16,4,4,2022-04-08T13:22:57Z,2022-04-08T13:23:02Z,2022-04-08T13:42:11Z,2022-04-08T13:42:11Z,19m49.140163657s,33.1631
hpccdgemm,5,16,4,4,2022-04-08T13:23:58Z,2022-04-08T13:24:02Z,2022-04-08T13:43:26Z,2022-04-08T13:43:26Z,20m0.983015563s,33.0456
hpccdgemm,6,16,4,4,2022-04-08T13:24:58Z,2022-04-08T13:25:02Z,2022-04-08T13:44:19Z,2022-04-08T13:44:19Z,19m58.144946017s,33.1641
hpccdgemm,7,16,4,4,2022-04-08T13:25:58Z,2022-04-08T13:37:53Z,2022-04-08T13:58:49Z,2022-04-08T13:58:49Z,33m28.153784038s,30.9106
hpccdgemm,8,16,4,4,2022-04-08T13:26:58Z,2022-04-08T13:39:09Z,2022-04-08T13:59:45Z,2022-04-08T13:59:45Z,33m28.141208702s,31.2297
hpccdgemm,9,16,4,4,2022-04-08T13:27:58Z,2022-04-08T13:39:28Z,2022-04-08T13:59:20Z,2022-04-08T13:59:20Z,31m54.720379767s,33.2881
