benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,4,4,2022-04-12T14:13:40Z,2022-04-12T14:13:45Z,2022-04-12T14:32:01Z,2022-04-12T14:32:01Z,19m0.491062364s,33.3053
hpccdgemm,1,16,4,4,2022-04-12T14:14:40Z,2022-04-12T14:14:45Z,2022-04-12T14:33:03Z,2022-04-12T14:33:03Z,19m0.492235318s,33.6259
hpccdgemm,2,16,4,4,2022-04-12T14:15:40Z,2022-04-12T14:15:44Z,2022-04-12T14:34:13Z,2022-04-12T14:34:13Z,19m10.476970292s,33.2296
hpccdgemm,3,16,4,4,2022-04-12T14:16:40Z,2022-04-12T14:16:44Z,2022-04-12T14:34:57Z,2022-04-12T14:34:57Z,19m0.47503764s,33.2676
hpccdgemm,4,16,4,4,2022-04-12T14:17:41Z,2022-04-12T14:17:45Z,2022-04-12T14:35:55Z,2022-04-12T14:35:55Z,18m49.465607995s,33.6926
hpccdgemm,5,16,4,4,2022-04-12T14:18:41Z,2022-04-12T14:18:45Z,2022-04-12T14:36:32Z,2022-04-12T14:36:32Z,18m24.154767068s,33.9577
hpccdgemm,6,16,4,4,2022-04-12T14:19:41Z,2022-04-12T14:19:45Z,2022-04-12T14:37:47Z,2022-04-12T14:37:47Z,18m49.479461795s,34.063
hpccdgemm,7,16,4,4,2022-04-12T14:20:41Z,2022-04-12T14:20:45Z,2022-04-12T14:38:54Z,2022-04-12T14:38:54Z,18m49.464975188s,34.1606
hpccdgemm,8,16,4,4,2022-04-12T14:21:41Z,2022-04-12T14:32:43Z,2022-04-12T14:54:24Z,2022-04-12T14:54:25Z,33m19.495003661s,30.3061
hpccdgemm,9,16,4,4,2022-04-12T14:22:41Z,2022-04-12T14:33:43Z,2022-04-12T14:54:15Z,2022-04-12T14:54:15Z,32m9.474757441s,32.1911
