benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,4,16,2022-04-08T15:41:25Z,2022-04-08T15:41:34Z,2022-04-08T15:58:32Z,2022-04-08T15:58:32Z,17m51.227651739s,36.469
hpccdgemm,1,16,4,16,2022-04-08T15:42:25Z,2022-04-08T15:42:34Z,2022-04-08T15:59:38Z,2022-04-08T15:59:38Z,17m51.191828227s,36.285
hpccdgemm,2,16,4,16,2022-04-08T15:43:26Z,2022-04-08T15:43:34Z,2022-04-08T16:00:38Z,2022-04-08T16:00:38Z,17m50.193748117s,36.1736
hpccdgemm,3,16,4,16,2022-04-08T15:44:26Z,2022-04-08T15:44:34Z,2022-04-08T16:01:29Z,2022-04-08T16:01:29Z,17m40.197676226s,36.1456
hpccdgemm,4,16,4,16,2022-04-08T15:45:26Z,2022-04-08T15:45:34Z,2022-04-08T16:02:39Z,2022-04-08T16:02:39Z,17m50.190136489s,37.2715
hpccdgemm,5,16,4,16,2022-04-08T15:46:26Z,2022-04-08T15:46:35Z,2022-04-08T16:02:50Z,2022-04-08T16:02:50Z,17m0.201539036s,37.4239
hpccdgemm,6,16,4,16,2022-04-08T15:47:26Z,2022-04-08T15:47:35Z,2022-04-08T16:03:39Z,2022-04-08T16:03:39Z,16m50.524132263s,37.5657
hpccdgemm,7,16,4,16,2022-04-08T15:48:26Z,2022-04-08T15:48:36Z,2022-04-08T16:04:57Z,2022-04-08T16:04:57Z,17m10.194468665s,37.7211
hpccdgemm,8,16,4,16,2022-04-08T15:49:26Z,2022-04-08T15:59:24Z,2022-04-08T16:15:34Z,2022-04-08T16:15:34Z,26m50.1880067s,37.8504
hpccdgemm,9,16,4,16,2022-04-08T15:50:27Z,2022-04-08T16:00:24Z,2022-04-08T16:16:34Z,2022-04-08T16:16:34Z,26m49.194785121s,38.0924
