benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,1,1,2022-04-22T16:04:39Z,2022-04-22T16:04:43Z,2022-04-22T16:30:29Z,2022-04-22T16:30:29Z,26m31.062602042s,25.3652
hpccdgemm,1,16,1,1,2022-04-22T16:05:39Z,2022-04-22T16:05:43Z,2022-04-22T16:29:03Z,2022-04-22T16:29:03Z,23m55.775333527s,27.3728
hpccdgemm,2,16,1,1,2022-04-22T16:06:39Z,2022-04-22T16:06:43Z,2022-04-22T16:31:16Z,2022-04-22T16:31:16Z,25m11.100874768s,26.1547
hpccdgemm,3,16,1,1,2022-04-22T16:07:40Z,2022-04-22T16:07:43Z,2022-04-22T16:31:14Z,2022-04-22T16:31:14Z,24m6.504335874s,27.5581
hpccdgemm,4,16,1,1,2022-04-22T16:08:40Z,2022-04-22T16:08:43Z,2022-04-22T16:34:27Z,2022-04-22T16:34:27Z,26m30.047160972s,24.6459
hpccdgemm,5,16,1,1,2022-04-22T16:09:40Z,2022-04-22T16:09:43Z,2022-04-22T16:34:28Z,2022-04-22T16:34:28Z,25m30.038258981s,25.448
hpccdgemm,6,16,1,1,2022-04-22T16:10:40Z,2022-04-22T16:10:45Z,2022-04-22T16:38:03Z,2022-04-22T16:38:03Z,28m0.046790379s,23.7518
hpccdgemm,7,16,1,1,2022-04-22T16:11:40Z,2022-04-22T16:11:44Z,2022-04-22T16:36:45Z,2022-04-22T16:36:45Z,25m40.061516564s,25.0827
hpccdgemm,8,16,1,1,2022-04-22T16:12:40Z,2022-04-22T16:29:36Z,2022-04-22T16:53:38Z,2022-04-22T16:53:38Z,41m30.851277803s,26.0918
hpccdgemm,9,16,1,1,2022-04-22T16:13:40Z,2022-04-22T16:31:12Z,2022-04-22T17:00:46Z,2022-04-22T17:00:46Z,47m38.228765636s,21.5983
