benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,4,4,2022-06-14T10:25:41Z,2022-06-14T10:25:45Z,2022-06-14T10:44:35Z,2022-06-14T10:44:35Z,19m35.273831542s,33.0822
hpccdgemm,1,16,4,4,2022-06-14T10:26:41Z,2022-06-14T10:26:45Z,2022-06-14T10:45:38Z,2022-06-14T10:45:38Z,19m35.266064126s,32.7239
hpccdgemm,2,16,4,4,2022-06-14T10:27:41Z,2022-06-14T10:27:46Z,2022-06-14T10:46:21Z,2022-06-14T10:46:21Z,19m15.33019396s,33.1304
hpccdgemm,3,16,4,4,2022-06-14T10:28:41Z,2022-06-14T10:28:46Z,2022-06-14T10:47:01Z,2022-06-14T10:47:01Z,18m55.334219524s,33.7098
hpccdgemm,4,16,4,4,2022-06-14T10:29:42Z,2022-06-14T10:29:46Z,2022-06-14T10:48:09Z,2022-06-14T10:48:09Z,19m4.345189982s,33.3923
hpccdgemm,5,16,4,4,2022-06-14T10:30:42Z,2022-06-14T10:30:46Z,2022-06-14T10:49:13Z,2022-06-14T10:49:13Z,19m14.282961093s,33.4172
hpccdgemm,6,16,4,4,2022-06-14T10:31:42Z,2022-06-14T10:31:48Z,2022-06-14T10:49:48Z,2022-06-14T10:49:48Z,18m44.281786071s,33.5211
hpccdgemm,7,16,4,4,2022-06-14T10:32:42Z,2022-06-14T10:32:47Z,2022-06-14T10:51:05Z,2022-06-14T10:51:05Z,19m4.257994394s,33.8446
hpccdgemm,8,16,4,4,2022-06-14T10:33:42Z,2022-06-14T10:45:19Z,2022-06-14T11:06:39Z,2022-06-14T11:06:39Z,33m34.275357465s,31.0692
hpccdgemm,9,16,4,4,2022-06-14T10:34:42Z,2022-06-14T10:46:20Z,2022-06-14T11:07:10Z,2022-06-14T11:07:10Z,33m4.282085092s,31.0467
