benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,4,4,2022-04-21T13:56:36Z,2022-04-21T13:56:40Z,2022-04-21T14:15:21Z,2022-04-21T14:15:21Z,19m17.253042739s,33.3969
hpccdgemm,1,16,4,4,2022-04-21T13:57:36Z,2022-04-21T13:57:41Z,2022-04-21T14:16:29Z,2022-04-21T14:16:29Z,19m30.557017378s,33.0297
hpccdgemm,2,16,4,4,2022-04-21T13:58:36Z,2022-04-21T13:58:40Z,2022-04-21T14:16:57Z,2022-04-21T14:16:57Z,19m0.554758914s,33.4245
hpccdgemm,3,16,4,4,2022-04-21T13:59:37Z,2022-04-21T13:59:41Z,2022-04-21T14:18:07Z,2022-04-21T14:18:07Z,19m10.55409001s,33.453
hpccdgemm,4,16,4,4,2022-04-21T14:00:37Z,2022-04-21T14:00:41Z,2022-04-21T14:19:01Z,2022-04-21T14:19:01Z,18m59.558601266s,33.7287
hpccdgemm,5,16,4,4,2022-04-21T14:01:37Z,2022-04-21T14:01:42Z,2022-04-21T14:19:59Z,2022-04-21T14:19:59Z,18m59.551472633s,33.9336
hpccdgemm,6,16,4,4,2022-04-21T14:02:37Z,2022-04-21T14:02:42Z,2022-04-21T14:20:22Z,2022-04-21T14:20:23Z,18m18.342013108s,34.1442
hpccdgemm,7,16,4,4,2022-04-21T14:03:37Z,2022-04-21T14:03:41Z,2022-04-21T14:21:30Z,2022-04-21T14:21:30Z,18m29.553977177s,34.1878
hpccdgemm,8,16,4,4,2022-04-21T14:04:37Z,2022-04-21T14:15:56Z,2022-04-21T14:36:57Z,2022-04-21T14:36:57Z,32m59.553828756s,32.0195
hpccdgemm,9,16,4,4,2022-04-21T14:05:38Z,2022-04-21T14:17:09Z,2022-04-21T14:38:15Z,2022-04-21T14:38:15Z,33m18.560056676s,31.2652
