benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,1,1,2022-04-20T13:51:44Z,2022-04-20T13:51:47Z,2022-04-20T14:11:36Z,2022-04-20T14:11:36Z,20m24.715358013s,30.3262
hpccdgemm,1,16,1,1,2022-04-20T13:52:44Z,2022-04-20T13:52:47Z,2022-04-20T14:12:19Z,2022-04-20T14:12:19Z,20m12.565999074s,30.7806
hpccdgemm,2,16,1,1,2022-04-20T13:53:44Z,2022-04-20T13:53:48Z,2022-04-20T14:14:04Z,2022-04-20T14:14:04Z,20m52.658892313s,29.5568
hpccdgemm,3,16,1,1,2022-04-20T13:54:44Z,2022-04-20T13:54:49Z,2022-04-20T14:14:37Z,2022-04-20T14:14:37Z,20m32.53954356s,30.233
hpccdgemm,4,16,1,1,2022-04-20T13:55:45Z,2022-04-20T13:55:48Z,2022-04-20T14:14:51Z,2022-04-20T14:14:51Z,19m41.542812897s,31.528
hpccdgemm,5,16,1,1,2022-04-20T13:56:45Z,2022-04-20T13:56:48Z,2022-04-20T14:16:38Z,2022-04-20T14:16:38Z,20m31.567679504s,32.3108
hpccdgemm,6,16,1,1,2022-04-20T13:57:45Z,2022-04-20T13:57:49Z,2022-04-20T14:17:15Z,2022-04-20T14:17:15Z,20m11.563087781s,30.9465
hpccdgemm,7,16,1,1,2022-04-20T13:58:45Z,2022-04-20T13:58:48Z,2022-04-20T14:18:16Z,2022-04-20T14:18:16Z,20m11.561808949s,30.6656
hpccdgemm,8,16,1,1,2022-04-20T13:59:45Z,2022-04-20T14:12:10Z,2022-04-20T14:31:56Z,2022-04-20T14:31:56Z,32m43.894224764s,31.253
hpccdgemm,9,16,1,1,2022-04-20T14:00:45Z,2022-04-20T14:12:59Z,2022-04-20T14:32:46Z,2022-04-20T14:32:46Z,32m41.567151116s,31.1707
