benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,4,16,2022-06-14T09:33:22Z,2022-06-14T09:33:32Z,2022-06-14T09:50:25Z,2022-06-14T09:50:25Z,17m46.441739137s,36.7128
hpccdgemm,1,16,4,16,2022-06-14T09:34:22Z,2022-06-14T09:34:31Z,2022-06-14T09:51:29Z,2022-06-14T09:51:30Z,17m44.461942478s,36.7301
hpccdgemm,2,16,4,16,2022-06-14T09:35:22Z,2022-06-14T09:35:33Z,2022-06-14T09:52:33Z,2022-06-14T09:52:33Z,17m54.642045263s,36.5577
hpccdgemm,3,16,4,16,2022-06-14T09:36:22Z,2022-06-14T09:36:34Z,2022-06-14T09:53:46Z,2022-06-14T09:53:46Z,18m5.042266892s,36.5069
hpccdgemm,4,16,4,16,2022-06-14T09:37:22Z,2022-06-14T09:37:34Z,2022-06-14T09:54:37Z,2022-06-14T09:54:37Z,17m55.063229579s,36.5866
hpccdgemm,5,16,4,16,2022-06-14T09:38:22Z,2022-06-14T09:38:32Z,2022-06-14T09:55:47Z,2022-06-14T09:55:47Z,18m4.332998384s,36.21
hpccdgemm,6,16,4,16,2022-06-14T09:39:23Z,2022-06-14T09:39:33Z,2022-06-14T09:57:00Z,2022-06-14T09:57:00Z,18m13.662058283s,36.2913
hpccdgemm,7,16,4,16,2022-06-14T09:40:23Z,2022-06-14T09:40:35Z,2022-06-14T09:57:52Z,2022-06-14T09:57:52Z,18m13.711836321s,36.5673
hpccdgemm,8,16,4,16,2022-06-14T09:41:23Z,2022-06-14T09:51:20Z,2022-06-14T10:07:49Z,2022-06-14T10:07:49Z,27m6.45483744s,38.5633
hpccdgemm,9,16,4,16,2022-06-14T09:42:23Z,2022-06-14T09:52:14Z,2022-06-14T10:08:38Z,2022-06-14T10:08:38Z,26m53.65709975s,38.7145
