benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,4,16,2022-04-20T13:10:24Z,2022-04-20T13:10:32Z,2022-04-20T13:27:23Z,2022-04-20T13:27:23Z,17m42.606571128s,36.7922
hpccdgemm,1,16,4,16,2022-04-20T13:11:24Z,2022-04-20T13:11:31Z,2022-04-20T13:28:24Z,2022-04-20T13:28:24Z,17m42.629308013s,36.5281
hpccdgemm,2,16,4,16,2022-04-20T13:12:24Z,2022-04-20T13:12:31Z,2022-04-20T13:29:28Z,2022-04-20T13:29:28Z,17m42.694683459s,36.4708
hpccdgemm,3,16,4,16,2022-04-20T13:13:24Z,2022-04-20T13:13:32Z,2022-04-20T13:30:23Z,2022-04-20T13:30:23Z,17m42.606191423s,36.4259
hpccdgemm,4,16,4,16,2022-04-20T13:14:24Z,2022-04-20T13:14:32Z,2022-04-20T13:31:16Z,2022-04-20T13:31:16Z,17m32.600106346s,36.9486
hpccdgemm,5,16,4,16,2022-04-20T13:15:25Z,2022-04-20T13:15:32Z,2022-04-20T13:32:10Z,2022-04-20T13:32:10Z,17m21.610888949s,36.8768
hpccdgemm,6,16,4,16,2022-04-20T13:16:25Z,2022-04-20T13:16:31Z,2022-04-20T13:33:11Z,2022-04-20T13:33:11Z,17m31.576045512s,36.979
hpccdgemm,7,16,4,16,2022-04-20T13:17:25Z,2022-04-20T13:17:32Z,2022-04-20T13:34:08Z,2022-04-20T13:34:08Z,17m21.591208892s,37.326
hpccdgemm,8,16,4,16,2022-04-20T13:18:25Z,2022-04-20T13:28:14Z,2022-04-20T13:44:25Z,2022-04-20T13:44:25Z,26m41.594958538s,37.7151
hpccdgemm,9,16,4,16,2022-04-20T13:19:25Z,2022-04-20T13:29:13Z,2022-04-20T13:45:17Z,2022-04-20T13:45:17Z,26m31.599462006s,38.1294
