benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
minife,0,16,1,1,2022-05-09T11:06:55Z,2022-05-09T11:06:59Z,2022-05-09T11:11:44Z,2022-05-09T11:11:44Z,5m21.290590426s,8520.6
minife,1,16,1,1,2022-05-09T11:07:55Z,2022-05-09T11:07:58Z,2022-05-09T11:12:40Z,2022-05-09T11:12:40Z,5m20.812219404s,8452.29
minife,2,16,1,1,2022-05-09T11:08:55Z,2022-05-09T11:09:00Z,2022-05-09T11:14:40Z,2022-05-09T11:14:40Z,6m20.837509395s,8575.17
minife,3,16,1,1,2022-05-09T11:09:55Z,2022-05-09T11:09:59Z,2022-05-09T11:14:38Z,2022-05-09T11:14:39Z,5m15.587164288s,8522.14
minife,4,16,1,1,2022-05-09T11:10:55Z,2022-05-09T11:11:00Z,2022-05-09T11:15:55Z,2022-05-09T11:15:55Z,5m40.828153038s,8439.99
minife,5,16,1,1,2022-05-09T11:11:56Z,2022-05-09T11:12:01Z,2022-05-09T11:16:51Z,2022-05-09T11:16:51Z,5m30.824919118s,8463.45
minife,6,16,1,1,2022-05-09T11:12:56Z,2022-05-09T11:12:59Z,2022-05-09T11:17:38Z,2022-05-09T11:17:38Z,5m13.886499261s,8620.77
minife,7,16,1,1,2022-05-09T11:13:56Z,2022-05-09T11:14:00Z,2022-05-09T11:18:39Z,2022-05-09T11:18:39Z,5m16.110000093s,8559.7
minife,8,16,1,1,2022-05-09T11:14:56Z,2022-05-09T11:15:01Z,2022-05-09T11:19:48Z,2022-05-09T11:19:48Z,5m29.811907459s,8574.12
minife,9,16,1,1,2022-05-09T11:15:56Z,2022-05-09T11:16:01Z,2022-05-09T11:20:48Z,2022-05-09T11:20:48Z,5m24.473945613s,8442.01
