benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
minife,0,16,4,16,2022-05-09T11:29:31Z,2022-05-09T11:29:39Z,2022-05-09T11:32:56Z,2022-05-09T11:32:56Z,4m7.820007649s,14910
minife,1,16,4,16,2022-05-09T11:30:31Z,2022-05-09T11:30:37Z,2022-05-09T11:34:12Z,2022-05-09T11:34:12Z,4m24.889004955s,13216
minife,2,16,4,16,2022-05-09T11:31:31Z,2022-05-09T11:31:38Z,2022-05-09T11:35:15Z,2022-05-09T11:35:15Z,4m24.877670043s,13074
minife,3,16,4,16,2022-05-09T11:32:31Z,2022-05-09T11:32:39Z,2022-05-09T11:36:26Z,2022-05-09T11:36:26Z,4m34.940701838s,12705
minife,4,16,4,16,2022-05-09T11:33:31Z,2022-05-09T11:33:42Z,2022-05-09T11:37:14Z,2022-05-09T11:37:14Z,4m24.872123261s,13585
minife,5,16,4,16,2022-05-09T11:34:32Z,2022-05-09T11:34:38Z,2022-05-09T11:37:42Z,2022-05-09T11:37:42Z,3m54.868554619s,16312
minife,6,16,4,16,2022-05-09T11:35:32Z,2022-05-09T11:35:38Z,2022-05-09T11:39:14Z,2022-05-09T11:39:14Z,4m23.863133987s,13532
minife,7,16,4,16,2022-05-09T11:36:32Z,2022-05-09T11:36:40Z,2022-05-09T11:40:21Z,2022-05-09T11:40:22Z,4m33.889865783s,12682
minife,8,16,4,16,2022-05-09T11:37:32Z,2022-05-09T11:37:39Z,2022-05-09T11:41:26Z,2022-05-09T11:41:26Z,4m33.895386467s,12358
minife,9,16,4,16,2022-05-09T11:38:32Z,2022-05-09T11:38:39Z,2022-05-09T11:42:08Z,2022-05-09T11:42:08Z,4m13.865900534s,14067
