benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-04-28T14:26:07Z,2022-04-28T14:26:11Z,2022-04-28T14:37:03Z,2022-04-28T14:37:03Z,11m34.172121985s,1.78491
hpccdgemm,1,16,1,1,2022-04-28T14:26:49Z,2022-04-28T14:26:53Z,2022-04-28T14:59:58Z,2022-04-28T14:59:58Z,33m52.170785079s,18.8356
hpccstream,0,16,1,1,2022-04-28T14:28:41Z,2022-04-28T14:28:45Z,2022-04-28T14:32:57Z,2022-04-28T14:32:57Z,4m48.88408775s,5.21062
nasep,3,16,1,1,2022-04-28T14:29:23Z,2022-04-28T14:29:26Z,2022-04-28T14:45:22Z,2022-04-28T14:45:23Z,16m39.210153349s,36.39
hpccfft,1,16,1,1,2022-04-28T14:30:23Z,2022-04-28T14:30:27Z,2022-04-28T14:33:51Z,2022-04-28T14:33:51Z,4m0.908260273s,13.0784
nasep,2,16,1,1,2022-04-28T14:30:40Z,2022-04-28T14:30:44Z,2022-04-28T14:46:33Z,2022-04-28T14:46:34Z,16m31.23858404s,36.64
hpccstream,3,16,1,1,2022-04-28T14:32:33Z,2022-04-28T14:32:36Z,2022-04-28T14:38:12Z,2022-04-28T14:38:12Z,6m10.852792356s,5.19417
hpccrandomringbw,0,16,1,1,2022-04-28T14:34:00Z,2022-04-28T14:34:07Z,2022-04-28T14:44:44Z,2022-04-28T14:44:44Z,11m21.149839045s,1.8232
hpccfft,0,16,1,1,2022-04-28T14:34:26Z,2022-04-28T14:34:30Z,2022-04-28T14:38:55Z,2022-04-28T14:38:55Z,5m5.159329396s,8.8553
hpccdgemm,2,16,1,1,2022-04-28T14:35:22Z,2022-04-28T14:35:26Z,2022-04-28T15:05:31Z,2022-04-28T15:05:31Z,30m49.158122144s,20.3222
hpccstream,2,16,1,1,2022-04-28T14:35:53Z,2022-04-28T14:37:43Z,2022-04-28T14:44:36Z,2022-04-28T14:44:36Z,9m18.171782243s,3.8115
hpccrandomringbw,3,16,1,1,2022-04-28T14:36:21Z,2022-04-28T14:38:46Z,2022-04-28T14:50:02Z,2022-04-28T14:50:02Z,14m20.167810983s,1.80904
hpccdgemm,3,16,1,1,2022-04-28T14:37:00Z,2022-04-28T14:39:33Z,2022-04-28T15:05:44Z,2022-04-28T15:05:44Z,29m15.742774172s,26.4218
hpccfft,3,16,1,1,2022-04-28T14:37:33Z,2022-04-28T14:45:13Z,2022-04-28T14:49:07Z,2022-04-28T14:49:07Z,12m8.172855081s,10.688
nasep,0,16,1,1,2022-04-28T14:37:57Z,2022-04-28T14:45:23Z,2022-04-28T15:01:52Z,2022-04-28T15:01:52Z,24m34.154191536s,35.20
hpccrandomringbw,1,16,1,1,2022-04-28T14:38:36Z,2022-04-28T14:46:03Z,2022-04-28T14:53:29Z,2022-04-28T14:53:29Z,15m35.270923551s,1.93612
nasep,1,16,1,1,2022-04-28T14:39:40Z,2022-04-28T14:47:13Z,2022-04-28T15:03:31Z,2022-04-28T15:03:31Z,24m23.83165815s,35.62
hpccstream,1,16,1,1,2022-04-28T14:40:23Z,2022-04-28T14:49:44Z,2022-04-28T14:55:40Z,2022-04-28T14:55:40Z,15m48.961562363s,4.20399
hpccdgemm,0,16,1,1,2022-04-28T14:41:06Z,2022-04-28T14:50:43Z,2022-04-28T15:15:59Z,2022-04-28T15:15:59Z,35m25.573028158s,25.3857
hpccfft,2,16,1,1,2022-04-28T14:45:37Z,2022-04-28T14:54:13Z,2022-04-28T14:57:38Z,2022-04-28T14:57:38Z,12m44.211254032s,12.6876
