benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-04-28T19:05:56Z,2022-04-28T19:05:59Z,2022-04-28T19:13:05Z,2022-04-28T19:13:06Z,7m41.955096773s,1.9065
hpccdgemm,1,16,1,1,2022-04-28T19:06:38Z,2022-04-28T19:06:43Z,2022-04-28T19:26:19Z,2022-04-28T19:26:20Z,20m14.071555446s,31.0416
hpccstream,0,16,1,1,2022-04-28T19:08:30Z,2022-04-28T19:08:34Z,2022-04-28T19:15:53Z,2022-04-28T19:15:53Z,8m5.825762007s,2.77409
nasep,3,16,1,1,2022-04-28T19:09:12Z,2022-04-28T19:09:16Z,2022-04-28T19:24:59Z,2022-04-28T19:24:59Z,16m23.824304813s,36.91
hpccfft,1,16,1,1,2022-04-28T19:10:12Z,2022-04-28T19:10:16Z,2022-04-28T19:14:07Z,2022-04-28T19:14:07Z,4m33.828053424s,10.7684
nasep,2,16,1,1,2022-04-28T19:10:29Z,2022-04-28T19:10:33Z,2022-04-28T19:26:25Z,2022-04-28T19:26:25Z,16m36.835614014s,36.55
hpccstream,3,16,1,1,2022-04-28T19:12:22Z,2022-04-28T19:12:26Z,2022-04-28T19:19:36Z,2022-04-28T19:19:36Z,7m53.808545678s,2.73627
hpccrandomringbw,0,16,1,1,2022-04-28T19:13:49Z,2022-04-28T19:13:53Z,2022-04-28T19:21:01Z,2022-04-28T19:21:01Z,7m46.821591559s,1.89613
hpccfft,0,16,1,1,2022-04-28T19:14:16Z,2022-04-28T19:14:20Z,2022-04-28T19:18:16Z,2022-04-28T19:18:16Z,4m31.966732357s,9.41786
hpccdgemm,2,16,1,1,2022-04-28T19:15:11Z,2022-04-28T19:15:14Z,2022-04-28T19:35:38Z,2022-04-28T19:35:38Z,21m4.823889576s,29.5831
hpccstream,2,16,1,1,2022-04-28T19:15:42Z,2022-04-28T19:16:37Z,2022-04-28T19:23:58Z,2022-04-28T19:23:58Z,8m53.825040632s,2.76963
hpccrandomringbw,3,16,1,1,2022-04-28T19:16:10Z,2022-04-28T19:18:49Z,2022-04-28T19:26:09Z,2022-04-28T19:26:09Z,10m35.822026318s,1.87919
hpccdgemm,3,16,1,1,2022-04-28T19:16:49Z,2022-04-28T19:20:18Z,2022-04-28T19:39:23Z,2022-04-28T19:39:24Z,23m16.808857259s,31.8179
hpccfft,3,16,1,1,2022-04-28T19:17:22Z,2022-04-28T19:21:37Z,2022-04-28T19:25:26Z,2022-04-28T19:25:26Z,8m36.260096165s,10.633
nasep,0,16,1,1,2022-04-28T19:17:46Z,2022-04-28T19:24:37Z,2022-04-28T19:40:23Z,2022-04-28T19:40:23Z,23m10.079865298s,36.87
hpccrandomringbw,1,16,1,1,2022-04-28T19:18:26Z,2022-04-28T19:26:01Z,2022-04-28T19:33:16Z,2022-04-28T19:33:16Z,15m22.228546974s,1.88571
nasep,1,16,1,1,2022-04-28T19:19:29Z,2022-04-28T19:25:39Z,2022-04-28T19:41:33Z,2022-04-28T19:41:33Z,22m46.82615889s,36.60
hpccstream,1,16,1,1,2022-04-28T19:20:12Z,2022-04-28T19:27:08Z,2022-04-28T19:34:24Z,2022-04-28T19:34:24Z,14m44.625023751s,2.75427
hpccdgemm,0,16,1,1,2022-04-28T19:20:55Z,2022-04-28T19:26:48Z,2022-04-28T19:46:16Z,2022-04-28T19:46:16Z,26m0.825356807s,31.0271
hpccfft,2,16,1,1,2022-04-28T19:25:27Z,2022-04-28T19:26:54Z,2022-04-28T19:30:48Z,2022-04-28T19:30:48Z,5m58.830649163s,10.6644
