benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-04-28T16:44:45Z,2022-04-28T16:44:49Z,2022-04-28T16:52:02Z,2022-04-28T16:52:02Z,7m49.434471286s,1.88888
hpccdgemm,1,16,4,4,2022-04-28T16:45:27Z,2022-04-28T16:45:32Z,2022-04-28T17:04:00Z,2022-04-28T17:04:00Z,19m8.823647643s,34.6929
hpccstream,0,16,4,4,2022-04-28T16:47:19Z,2022-04-28T16:47:23Z,2022-04-28T16:50:25Z,2022-04-28T16:50:25Z,3m46.828322769s,7.94715
nasep,3,16,4,4,2022-04-28T16:48:00Z,2022-04-28T16:48:05Z,2022-04-28T17:04:14Z,2022-04-28T17:04:15Z,16m55.811766486s,35.90
hpccfft,1,16,1,1,2022-04-28T16:49:01Z,2022-04-28T16:49:04Z,2022-04-28T16:52:59Z,2022-04-28T16:52:59Z,4m34.828498205s,9.47127
nasep,2,16,4,4,2022-04-28T16:49:18Z,2022-04-28T16:49:22Z,2022-04-28T17:05:27Z,2022-04-28T17:05:27Z,16m47.819775934s,36.12
hpccstream,3,16,4,4,2022-04-28T16:51:11Z,2022-04-28T16:51:15Z,2022-04-28T16:54:20Z,2022-04-28T16:54:20Z,3m44.815196556s,7.71347
hpccrandomringbw,0,16,1,1,2022-04-28T16:52:38Z,2022-04-28T16:52:42Z,2022-04-28T16:59:58Z,2022-04-28T16:59:58Z,7m52.587006799s,1.87813
hpccfft,0,16,1,1,2022-04-28T16:53:04Z,2022-04-28T16:53:08Z,2022-04-28T16:56:53Z,2022-04-28T16:56:53Z,4m31.818245248s,10.6418
hpccdgemm,2,16,4,4,2022-04-28T16:54:00Z,2022-04-28T16:54:04Z,2022-04-28T17:12:17Z,2022-04-28T17:12:17Z,18m51.27141716s,33.3775
hpccstream,2,16,4,4,2022-04-28T16:54:31Z,2022-04-28T16:54:58Z,2022-04-28T16:58:03Z,2022-04-28T16:58:03Z,4m14.817866309s,7.69585
hpccrandomringbw,3,16,1,1,2022-04-28T16:54:59Z,2022-04-28T16:57:38Z,2022-04-28T17:05:06Z,2022-04-28T17:05:06Z,10m46.809936456s,1.83083
hpccdgemm,3,16,4,4,2022-04-28T16:55:38Z,2022-04-28T16:55:42Z,2022-04-28T17:13:44Z,2022-04-28T17:13:44Z,18m47.835838828s,33.7502
hpccfft,3,16,1,1,2022-04-28T16:56:11Z,2022-04-28T17:00:33Z,2022-04-28T17:04:33Z,2022-04-28T17:04:33Z,9m4.826206415s,9.3561
nasep,0,16,4,4,2022-04-28T16:56:35Z,2022-04-28T16:58:47Z,2022-04-28T17:14:55Z,2022-04-28T17:14:55Z,19m0.816921761s,36.03
hpccrandomringbw,1,16,1,1,2022-04-28T16:57:14Z,2022-04-28T17:05:48Z,2022-04-28T17:13:06Z,2022-04-28T17:13:06Z,16m31.826189575s,1.88096
nasep,1,16,4,4,2022-04-28T16:58:18Z,2022-04-28T17:04:39Z,2022-04-28T17:20:38Z,2022-04-28T17:20:38Z,22m57.861534629s,36.30
hpccstream,1,16,4,4,2022-04-28T16:59:01Z,2022-04-28T17:04:58Z,2022-04-28T17:08:05Z,2022-04-28T17:08:05Z,9m44.822390951s,8.09811
hpccdgemm,0,16,4,4,2022-04-28T16:59:44Z,2022-04-28T17:06:09Z,2022-04-28T17:25:31Z,2022-04-28T17:25:31Z,26m21.811157406s,33.6474
hpccfft,2,16,1,1,2022-04-28T17:04:15Z,2022-04-28T17:06:09Z,2022-04-28T17:09:49Z,2022-04-28T17:09:49Z,6m10.804206859s,11.5009
