benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-04-28T15:33:54Z,2022-04-28T15:33:58Z,2022-04-28T15:41:08Z,2022-04-28T15:41:08Z,7m51.808766123s,1.90254
hpccdgemm,1,16,4,16,2022-04-28T15:34:36Z,2022-04-28T15:34:44Z,2022-04-28T15:51:06Z,2022-04-28T15:51:06Z,17m9.874659816s,37.7353
hpccstream,0,16,4,16,2022-04-28T15:36:29Z,2022-04-28T15:36:36Z,2022-04-28T15:39:36Z,2022-04-28T15:39:36Z,3m46.878242517s,8.04033
nasep,3,16,4,16,2022-04-28T15:37:10Z,2022-04-28T15:37:17Z,2022-04-28T15:53:14Z,2022-04-28T15:53:14Z,16m45.888582077s,36.67
hpccfft,1,16,1,1,2022-04-28T15:38:10Z,2022-04-28T15:38:13Z,2022-04-28T15:42:10Z,2022-04-28T15:42:10Z,4m35.826770165s,9.38925
nasep,2,16,4,16,2022-04-28T15:38:27Z,2022-04-28T15:38:34Z,2022-04-28T15:54:32Z,2022-04-28T15:54:32Z,16m48.919251759s,36.59
hpccstream,3,16,4,16,2022-04-28T15:40:20Z,2022-04-28T15:40:27Z,2022-04-28T15:43:31Z,2022-04-28T15:43:31Z,3m55.842850901s,7.74851
hpccrandomringbw,0,16,1,1,2022-04-28T15:41:48Z,2022-04-28T15:41:52Z,2022-04-28T15:49:05Z,2022-04-28T15:49:05Z,7m49.970403287s,1.88612
hpccfft,0,16,1,1,2022-04-28T15:42:14Z,2022-04-28T15:42:17Z,2022-04-28T15:46:13Z,2022-04-28T15:46:13Z,4m41.836154565s,9.42602
hpccdgemm,2,16,4,16,2022-04-28T15:43:09Z,2022-04-28T15:43:22Z,2022-04-28T16:00:23Z,2022-04-28T16:00:23Z,17m58.419961024s,35.7032
hpccstream,2,16,4,16,2022-04-28T15:43:40Z,2022-04-28T15:44:22Z,2022-04-28T15:47:25Z,2022-04-28T15:47:25Z,4m25.884049557s,7.78914
hpccrandomringbw,3,16,1,1,2022-04-28T15:44:08Z,2022-04-28T15:46:58Z,2022-04-28T15:54:14Z,2022-04-28T15:54:14Z,10m47.827672187s,1.88057
hpccdgemm,3,16,4,16,2022-04-28T15:44:47Z,2022-04-28T15:45:00Z,2022-04-28T16:01:55Z,2022-04-28T16:01:55Z,17m49.619091748s,35.7817
hpccfft,3,16,1,1,2022-04-28T15:45:21Z,2022-04-28T15:49:40Z,2022-04-28T15:53:28Z,2022-04-28T15:53:28Z,8m44.822207503s,10.6165
nasep,0,16,4,16,2022-04-28T15:45:45Z,2022-04-28T15:48:13Z,2022-04-28T16:03:59Z,2022-04-28T16:03:59Z,18m50.855527049s,36.95
hpccrandomringbw,1,16,1,1,2022-04-28T15:46:24Z,2022-04-28T15:54:09Z,2022-04-28T16:01:38Z,2022-04-28T16:01:38Z,15m46.564563683s,1.8291
nasep,1,16,4,16,2022-04-28T15:47:27Z,2022-04-28T15:51:53Z,2022-04-28T16:07:42Z,2022-04-28T16:07:43Z,20m58.863325228s,36.88
hpccstream,1,16,4,16,2022-04-28T15:48:10Z,2022-04-28T15:54:04Z,2022-04-28T15:57:01Z,2022-04-28T15:57:01Z,9m35.8766212s,8.15407
hpccdgemm,0,16,4,16,2022-04-28T15:48:53Z,2022-04-28T15:55:24Z,2022-04-28T16:11:18Z,2022-04-28T16:11:19Z,23m2.868830224s,38.8978
hpccfft,2,16,1,1,2022-04-28T15:53:25Z,2022-04-28T15:55:25Z,2022-04-28T15:59:22Z,2022-04-28T15:59:22Z,6m40.828130262s,9.39895
