benchmark,nTasks,nNodes,nWorkers,model_time_mean,model_time_std,scenario
hpccrandomringbw,16,1,1,1.8383174999999998,0.05810206725022789,none
hpccdgemm,16,1,1,22.741325,3.2266650317123102,none
hpccstream,16,1,1,4.6050699999999996,0.613259350479061,none
nasep,16,1,1,35.9625,0.5788944204256936,none
hpccfft,16,1,1,11.327325000000002,1.690876679972552,none
hpccrandomringbw,16,1,1,1.8918825,0.010379208483791109,cpumem
hpccdgemm,16,1,1,30.867425,0.8075776228171504,cpumem
hpccstream,16,1,1,2.758565,0.01482374699595207,cpumem
nasep,16,1,1,36.732499999999995,0.15911866640969463,cpumem
hpccfft,16,1,1,10.370915,0.5525237892389795,cpumem
hpccrandomringbw,16,1,1,1.8697,0.022784873271536974,cpumem-scale
hpccdgemm,16,4,4,33.867000000000004,0.4958798896910436,cpumem-scale
hpccstream,16,4,4,7.863645,0.16782030114083335,cpumem-scale
nasep,16,4,4,36.0875,0.14549484526951378,cpumem-scale
hpccfft,16,1,1,10.2425175,0.8836729770784834,cpumem-scale
hpccrandomringbw,16,1,1,1.8745825000000003,0.02747382242699403,cpumem-granularity
hpccdgemm,16,4,16,37.0295,1.3513673686307492,cpumem-granularity
hpccstream,16,4,16,7.9330125,0.1696495895036301,cpumem-granularity
nasep,16,4,16,36.7725,0.14737282653189493,cpumem-granularity
hpccfft,16,1,1,9.70768,0.524880468725976,cpumem-granularity
