benchmark,nTasks,nNodes,nWorkers,init_mean,init_std,run_mean,run_std,final_mean,final_std,duration_mean,duration_std,scenario
hpccrandomringbw,16,1,1,150.75,180.27531028956793,602.75,91.56247866893949,0.0,0.0,792.6901738910001,108.43149280771519,none
hpccdgemm,16,1,1,184.5,234.63215892115045,1719.25,187.92601602758472,0.0,0.0,1940.66117738825,145.88867829777703,none
hpccstream,16,1,1,169.5,230.17656266440335,339.25,57.75541100191392,0.0,0.0,541.717556178,254.5770769346127,none
nasep,16,1,1,226.5,223.0140130126356,968.0000000000001,16.170961628796228,0.5,0.5,1232.10864676875,236.92915349393533,none
hpccfft,16,1,1,246.0,242.80856657045692,227.0,25.02998202156766,0.0,0.0,509.61292469550006,238.00851969223268,none
hpccrandomringbw,16,1,1,155.25,184.33715713333544,432.25,5.584576975922169,0.25,0.4330127018922193,621.706815406,187.09796531232766,cpumem
hpccdgemm,16,1,1,142.5,147.5626985386212,1178.25,28.760867511255636,0.5,0.5,1359.132414772,134.19790238510834,cpumem
hpccstream,16,1,1,119.75,172.30260444926537,436.5,4.153311931459037,0.0,0.0,594.5210930170001,168.99001114776277,cpumem
nasep,16,1,1,197.25,193.79289847669858,948.7500000000001,4.437059837324712,0.0,0.0,1184.3914857537502,194.29006571132695,cpumem
hpccfft,16,1,1,87.5,102.4707275274261,232.50000000000003,2.692582403567252,0.0,0.0,355.22138277725,99.37643696222696,cpumem
hpccrandomringbw,16,1,1,170.25,208.30791511606083,438.75,5.629165124598851,0.0,0.0,645.164401029,212.6270612077927,cpumem-scale
hpccdgemm,16,4,4,99.5,164.8340074135189,1111.25,30.719497066195597,0.0,0.0,1247.4355152592502,193.21590953224333,cpumem-scale
hpccstream,16,4,4,98.0,149.8282349892703,184.75,1.7853571071357126,0.0,0.0,322.82094414625,151.73075383942538,cpumem-scale
nasep,16,4,4,130.5,153.70832768591296,965.2500000000001,3.897114317029974,0.25,0.4330127018922193,1135.5774997025,149.49487613223303,cpumem-scale
hpccfft,16,1,1,95.75,106.05747262687339,230.0,7.9056941504209615,0.0,0.0,365.56928918175,110.88687492756974,cpumem-scale
hpccrandomringbw,16,1,1,160.75,188.27821833658828,437.0,7.245688373094719,0.0,0.0,634.0428513200001,194.35760120708292,cpumem-granularity
hpccdgemm,16,4,16,106.25,164.41316096955256,993.0000000000001,26.972207918522354,0.25,0.4330127018922193,1140.1956357029999,141.29603639023708,cpumem-granularity
hpccstream,16,4,16,102.5,145.90493480345344,181.0,2.7386127875258306,0.0,0.0,326.12044104375,144.91862340292175,cpumem-granularity
nasep,16,4,16,107.0,108.3535878501492,952.5000000000001,5.123475382979799,0.25,0.4330127018922193,1101.13167152825,104.08789388516261,cpumem-granularity
hpccfft,16,1,1,96.25,105.40724595586397,234.5,3.774917217635387,0.0,0.0,370.82831562375003,101.93013046188177,cpumem-granularity
