benchmark,nTasks,init_sum,run_sum,final_sum,duration_sum,scenario
hpccrandomringbw,16,603.0,2411.0,0.0,3170.7606955640003,none
hpccdgemm,16,738.0,6877.0,0.0,7762.644709553,none
hpccstream,16,678.0,1357.0,0.0,2166.870224712,none
nasep,16,906.0,3872.0000000000005,2.0,4928.434587075,none
hpccfft,16,984.0,908.0,0.0,2038.4516987820002,none
hpccrandomringbw,16,621.0,1729.0,1.0,2486.827261624,cpumem
hpccdgemm,16,570.0,4713.0,2.0,5436.529659088,cpumem
hpccstream,16,479.0,1746.0,0.0,2378.0843720680004,cpumem
nasep,16,789.0,3795.0000000000005,0.0,4737.565943015001,cpumem
hpccfft,16,350.0,930.0000000000001,0.0,1420.885531109,cpumem
hpccrandomringbw,16,681.0,1755.0,0.0,2580.657604116,cpumem-scale
hpccdgemm,16,398.0,4445.0,0.0,4989.742061037001,cpumem-scale
hpccstream,16,392.0,739.0,0.0,1291.283776585,cpumem-scale
nasep,16,522.0,3861.0000000000005,1.0,4542.30999881,cpumem-scale
hpccfft,16,383.0,920.0,0.0,1462.277156727,cpumem-scale
hpccrandomringbw,16,643.0,1748.0,0.0,2536.1714052800003,cpumem-granularity
hpccdgemm,16,425.0,3972.0000000000005,1.0,4560.7825428119995,cpumem-granularity
hpccstream,16,410.0,724.0,0.0,1304.481764175,cpumem-granularity
nasep,16,428.0,3810.0000000000005,1.0,4404.526686113,cpumem-granularity
hpccfft,16,385.0,938.0,0.0,1483.3132624950001,cpumem-granularity
