benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,2,16,1,1,2022-04-23T10:11:12Z,2022-04-23T10:11:16Z,2022-04-23T10:14:54Z,2022-04-23T10:14:54Z,4m20.822308208s,10.6786
hpccdgemm,1,16,4,4,2022-04-23T10:11:54Z,2022-04-23T10:11:58Z,2022-04-23T10:30:41Z,2022-04-23T10:30:41Z,19m19.642474022s,34.0893
hpccstream,0,16,4,4,2022-04-23T10:13:47Z,2022-04-23T10:13:50Z,2022-04-23T10:17:11Z,2022-04-23T10:17:11Z,4m5.853778737s,7.83394
nasep,3,16,4,4,2022-04-23T10:14:28Z,2022-04-23T10:14:32Z,2022-04-23T10:30:44Z,2022-04-23T10:30:44Z,16m54.834389615s,959.05
hpccfft,1,16,1,1,2022-04-23T10:15:28Z,2022-04-23T10:15:32Z,2022-04-23T10:19:17Z,2022-04-23T10:19:17Z,4m24.836163439s,9.69282
hpccstream,3,16,4,4,2022-04-23T10:15:45Z,2022-04-23T10:15:49Z,2022-04-23T10:19:16Z,2022-04-23T10:19:16Z,4m7.849308347s,7.62919
nasep,2,16,4,4,2022-04-23T10:17:38Z,2022-04-23T10:17:46Z,2022-04-23T10:34:07Z,2022-04-23T10:34:07Z,17m1.525717434s,965.51
hpccrandomringbw,2,16,1,1,2022-04-23T10:19:06Z,2022-04-23T10:19:09Z,2022-04-23T10:30:18Z,2022-04-23T10:30:18Z,11m46.849941281s,1.25308
hpccdgemm,0,16,4,4,2022-04-23T10:19:32Z,2022-04-23T10:19:56Z,2022-04-23T10:38:30Z,2022-04-23T10:38:30Z,19m40.826491247s,34.0833
hpccstream,2,16,4,4,2022-04-23T10:20:27Z,2022-04-23T10:20:32Z,2022-04-23T10:25:06Z,2022-04-23T10:25:06Z,5m15.841298466s,4.93337
hpccdgemm,2,16,4,4,2022-04-23T10:20:58Z,2022-04-23T10:21:02Z,2022-04-23T10:38:38Z,2022-04-23T10:38:38Z,18m14.852630682s,35.2242
nasep,1,16,4,4,2022-04-23T10:21:26Z,2022-04-23T10:21:30Z,2022-04-23T10:37:28Z,2022-04-23T10:37:28Z,16m36.844481262s,944.95
hpccdgemm,3,16,4,4,2022-04-23T10:22:05Z,2022-04-23T10:25:45Z,2022-04-23T10:44:21Z,2022-04-23T10:44:21Z,22m57.837770333s,34.3552
hpccfft,3,16,1,1,2022-04-23T10:22:38Z,2022-04-23T10:30:55Z,2022-04-23T10:34:44Z,2022-04-23T10:34:44Z,12m44.852912879s,9.69128
nasep,0,16,4,4,2022-04-23T10:23:03Z,2022-04-23T10:31:16Z,2022-04-23T10:47:19Z,2022-04-23T10:47:19Z,24m59.842731318s,949.47
hpccrandomringbw,1,16,1,1,2022-04-23T10:23:42Z,2022-04-23T10:35:24Z,2022-04-23T10:46:49Z,2022-04-23T10:46:49Z,23m39.584084915s,1.22508
hpccfft,0,16,1,1,2022-04-23T10:24:45Z,2022-04-23T10:38:05Z,2022-04-23T10:41:13Z,2022-04-23T10:41:13Z,17m7.839092633s,13.6072
hpccstream,1,16,4,4,2022-04-23T10:25:28Z,2022-04-23T10:31:25Z,2022-04-23T10:34:31Z,2022-04-23T10:34:31Z,9m44.841325878s,7.37385
hpccrandomringbw,3,16,1,1,2022-04-23T10:26:11Z,2022-04-23T10:39:06Z,2022-04-23T10:52:28Z,2022-04-23T10:52:28Z,26m51.8467372s,1.13387
hpccrandomringbw,0,16,1,1,2022-04-23T10:30:43Z,2022-04-23T10:39:14Z,2022-04-23T10:51:11Z,2022-04-23T10:51:11Z,21m0.60336722s,1.197
