benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,2,16,1,1,2022-04-23T13:44:33Z,2022-04-23T13:44:37Z,2022-04-23T13:48:22Z,2022-04-23T13:48:22Z,4m22.08946977s,10.9721
hpccdgemm,1,16,4,16,2022-04-23T13:45:15Z,2022-04-23T13:45:22Z,2022-04-23T14:01:36Z,2022-04-23T14:01:36Z,16m57.889442012s,37.9899
hpccstream,0,16,4,16,2022-04-23T13:47:08Z,2022-04-23T13:47:15Z,2022-04-23T13:50:39Z,2022-04-23T13:50:39Z,4m14.897982193s,8.04739
nasep,3,16,4,16,2022-04-23T13:47:49Z,2022-04-23T13:47:56Z,2022-04-23T14:03:51Z,2022-04-23T14:03:51Z,16m44.06787832s,936.24
hpccfft,1,16,1,1,2022-04-23T13:48:49Z,2022-04-23T13:48:56Z,2022-04-23T13:52:48Z,2022-04-23T13:52:48Z,4m33.866662388s,9.60287
hpccstream,3,16,4,16,2022-04-23T13:49:06Z,2022-04-23T13:49:13Z,2022-04-23T13:52:39Z,2022-04-23T13:52:39Z,4m16.873416867s,7.46669
nasep,2,16,4,16,2022-04-23T13:50:59Z,2022-04-23T13:51:21Z,2022-04-23T14:07:13Z,2022-04-23T14:07:13Z,16m53.881246729s,931.44
hpccrandomringbw,2,16,1,1,2022-04-23T13:52:27Z,2022-04-23T13:52:31Z,2022-04-23T14:03:38Z,2022-04-23T14:03:38Z,11m45.84113353s,1.28473
hpccdgemm,0,16,4,16,2022-04-23T13:52:53Z,2022-04-23T13:53:31Z,2022-04-23T14:10:00Z,2022-04-23T14:10:00Z,17m49.892536639s,37.4244
hpccstream,2,16,4,16,2022-04-23T13:53:48Z,2022-04-23T13:54:02Z,2022-04-23T13:58:46Z,2022-04-23T13:58:46Z,5m38.033369611s,5.33956
hpccdgemm,2,16,4,16,2022-04-23T13:54:19Z,2022-04-23T13:54:32Z,2022-04-23T14:10:56Z,2022-04-23T14:10:56Z,17m24.219858722s,37.5404
nasep,1,16,4,16,2022-04-23T13:54:47Z,2022-04-23T13:55:01Z,2022-04-23T14:11:07Z,2022-04-23T14:11:07Z,17m7.043177798s,950.15
hpccdgemm,3,16,4,16,2022-04-23T13:55:26Z,2022-04-23T13:59:33Z,2022-04-23T14:15:59Z,2022-04-23T14:15:59Z,21m17.242618143s,37.998
hpccfft,3,16,1,1,2022-04-23T13:55:59Z,2022-04-23T14:04:15Z,2022-04-23T14:08:16Z,2022-04-23T14:08:16Z,12m53.838045748s,9.30383
nasep,0,16,4,16,2022-04-23T13:56:24Z,2022-04-23T14:02:59Z,2022-04-23T14:19:09Z,2022-04-23T14:19:09Z,23m28.895236473s,956.34
hpccrandomringbw,1,16,1,1,2022-04-23T13:57:03Z,2022-04-23T14:08:55Z,2022-04-23T14:20:09Z,2022-04-23T14:20:09Z,23m49.840963285s,1.2733
hpccfft,0,16,1,1,2022-04-23T13:58:06Z,2022-04-23T14:10:46Z,2022-04-23T14:13:51Z,2022-04-23T14:13:51Z,16m17.315259986s,13.4563
hpccstream,1,16,4,16,2022-04-23T13:58:49Z,2022-04-23T14:04:40Z,2022-04-23T14:07:39Z,2022-04-23T14:07:39Z,9m33.887029247s,7.94916
hpccrandomringbw,3,16,1,1,2022-04-23T13:59:32Z,2022-04-23T14:11:38Z,2022-04-23T14:25:12Z,2022-04-23T14:25:12Z,26m20.841777378s,1.07809
hpccrandomringbw,0,16,1,1,2022-04-23T14:04:04Z,2022-04-23T14:11:36Z,2022-04-23T14:27:36Z,2022-04-23T14:27:36Z,24m4.876013756s,1.00949
