benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-05-10T08:13:34Z,2022-05-10T08:13:38Z,2022-05-10T08:22:48Z,2022-05-10T08:22:48Z,9m56.949695336s,1.79021
hpccdgemm,1,16,1,1,2022-05-10T08:14:16Z,2022-05-10T08:14:20Z,2022-05-10T08:41:24Z,2022-05-10T08:41:25Z,27m45.010327493s,23.9266
hpccstream,0,16,1,1,2022-05-10T08:16:08Z,2022-05-10T08:16:12Z,2022-05-10T08:21:34Z,2022-05-10T08:21:34Z,6m2.985398232s,4.819
minife,3,16,1,1,2022-05-10T08:16:49Z,2022-05-10T08:16:54Z,2022-05-10T08:34:25Z,2022-05-10T08:34:25Z,18m11.964739435s, 9299.31
hpccfft,1,16,1,1,2022-05-10T08:17:49Z,2022-05-10T08:17:53Z,2022-05-10T08:21:01Z,2022-05-10T08:21:01Z,3m51.96247069s,13.8269
minife,2,16,1,1,2022-05-10T08:18:06Z,2022-05-10T08:18:12Z,2022-05-10T08:37:14Z,2022-05-10T08:37:14Z,19m44.98412497s, 8446.99
hpccstream,3,16,1,1,2022-05-10T08:20:00Z,2022-05-10T08:20:03Z,2022-05-10T08:25:49Z,2022-05-10T08:25:49Z,6m30.999256017s,4.31974
hpccrandomringbw,0,16,1,1,2022-05-10T08:21:27Z,2022-05-10T08:21:31Z,2022-05-10T08:35:06Z,2022-05-10T08:35:06Z,14m13.984590574s,1.23587
hpccfft,0,16,1,1,2022-05-10T08:21:53Z,2022-05-10T08:22:01Z,2022-05-10T08:26:21Z,2022-05-10T08:26:21Z,5m0.174589343s,8.57726
hpccdgemm,2,16,1,1,2022-05-10T08:22:48Z,2022-05-10T08:22:54Z,2022-05-10T08:56:10Z,2022-05-10T08:56:10Z,34m2.977052261s,19.7337
hpccstream,2,16,1,1,2022-05-10T08:23:19Z,2022-05-10T08:23:33Z,2022-05-10T08:29:36Z,2022-05-10T08:29:36Z,6m51.966748785s,3.5526
hpccrandomringbw,3,16,1,1,2022-05-10T08:23:48Z,2022-05-10T08:26:56Z,2022-05-10T08:40:38Z,2022-05-10T08:40:38Z,17m32.950444323s,1.18835
hpccdgemm,3,16,1,1,2022-05-10T08:24:27Z,2022-05-10T08:26:33Z,2022-05-10T08:55:17Z,2022-05-10T08:55:17Z,31m33.998029612s,22.5092
hpccfft,3,16,1,1,2022-05-10T08:25:00Z,2022-05-10T08:30:12Z,2022-05-10T08:34:23Z,2022-05-10T08:34:23Z,10m0.944024044s,9.22241
minife,0,16,1,1,2022-05-10T08:25:24Z,2022-05-10T08:35:03Z,2022-05-10T08:53:24Z,2022-05-10T08:53:24Z,28m36.969996454s, 8805.74
hpccrandomringbw,1,16,1,1,2022-05-10T08:26:03Z,2022-05-10T08:35:03Z,2022-05-10T08:47:40Z,2022-05-10T08:47:40Z,22m17.952155779s,1.5523
minife,1,16,1,1,2022-05-10T08:27:07Z,2022-05-10T08:35:43Z,2022-05-10T08:51:32Z,2022-05-10T08:51:32Z,25m4.950541032s, 10286.8
hpccstream,1,16,1,1,2022-05-10T08:27:50Z,2022-05-10T08:37:53Z,2022-05-10T08:45:01Z,2022-05-10T08:45:01Z,17m43.656795593s,2.99206
hpccdgemm,0,16,1,1,2022-05-10T08:28:33Z,2022-05-10T08:41:23Z,2022-05-10T09:10:11Z,2022-05-10T09:10:12Z,42m10.576972904s,21.857
hpccfft,2,16,1,1,2022-05-10T08:33:04Z,2022-05-10T08:42:03Z,2022-05-10T08:45:47Z,2022-05-10T08:45:47Z,13m15.455092928s,11.1179
