benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-05-09T15:21:08Z,2022-05-09T15:21:12Z,2022-05-09T15:30:35Z,2022-05-09T15:30:35Z,10m9.814583831s,0
hpccdgemm,1,16,1,1,2022-05-09T15:21:50Z,2022-05-09T15:21:54Z,2022-05-09T15:47:11Z,2022-05-09T15:47:11Z,25m57.805217907s,0
hpccstream,0,16,1,1,2022-05-09T15:23:42Z,2022-05-09T15:23:46Z,2022-05-09T15:28:11Z,2022-05-09T15:28:11Z,5m5.783904348s,0
minife,3,16,1,1,2022-05-09T15:24:24Z,2022-05-09T15:24:28Z,2022-05-09T15:29:31Z,2022-05-09T15:29:31Z,5m43.808882987s,0
hpccfft,1,16,1,1,2022-05-09T15:25:24Z,2022-05-09T15:25:26Z,2022-05-09T15:29:07Z,2022-05-09T15:29:07Z,4m16.058637657s,0
minife,2,16,1,1,2022-05-09T15:25:41Z,2022-05-09T15:25:45Z,2022-05-09T15:28:56Z,2022-05-09T15:28:56Z,3m46.943714506s,0
hpccstream,3,16,1,1,2022-05-09T15:27:34Z,2022-05-09T15:27:38Z,2022-05-09T15:32:58Z,2022-05-09T15:32:58Z,5m56.623460762s,0
hpccrandomringbw,0,16,1,1,2022-05-09T15:29:01Z,2022-05-09T15:29:04Z,2022-05-09T15:38:59Z,2022-05-09T15:38:59Z,10m36.785540655s,0
hpccfft,0,16,1,1,2022-05-09T15:29:28Z,2022-05-09T15:29:31Z,2022-05-09T15:33:56Z,2022-05-09T15:33:56Z,5m10.787116532s,0
hpccdgemm,2,16,1,1,2022-05-09T15:30:23Z,2022-05-09T15:30:27Z,2022-05-09T15:59:00Z,2022-05-09T15:59:00Z,29m9.325906195s,0
hpccstream,2,16,1,1,2022-05-09T15:30:54Z,2022-05-09T15:30:58Z,2022-05-09T15:37:24Z,2022-05-09T15:37:24Z,7m13.805149279s,0
hpccrandomringbw,3,16,1,1,2022-05-09T15:31:22Z,2022-05-09T15:31:27Z,2022-05-09T15:44:48Z,2022-05-09T15:44:48Z,13m57.990988257s,0
hpccdgemm,3,16,1,1,2022-05-09T15:32:01Z,2022-05-09T15:32:05Z,2022-05-09T15:57:16Z,2022-05-09T15:57:16Z,25m56.77938982s,0
hpccfft,3,16,1,1,2022-05-09T15:32:34Z,2022-05-09T15:33:32Z,2022-05-09T15:37:05Z,2022-05-09T15:37:05Z,5m13.776342352s,0
minife,0,16,1,1,2022-05-09T15:32:58Z,2022-05-09T15:34:40Z,2022-05-09T15:38:54Z,2022-05-09T15:38:54Z,6m28.360527755s,0
hpccrandomringbw,1,16,1,1,2022-05-09T15:33:38Z,2022-05-09T15:37:49Z,2022-05-09T15:49:15Z,2022-05-09T15:49:15Z,16m19.780156909s,0
minife,1,16,1,1,2022-05-09T15:34:41Z,2022-05-09T15:38:10Z,2022-05-09T15:43:16Z,2022-05-09T15:43:16Z,9m7.445126445s,0
hpccstream,1,16,1,1,2022-05-09T15:35:24Z,2022-05-09T15:39:28Z,2022-05-09T15:45:49Z,2022-05-09T15:45:50Z,10m57.877568979s,0
hpccdgemm,0,16,1,1,2022-05-09T15:36:07Z,2022-05-09T15:39:39Z,2022-05-09T16:04:49Z,2022-05-09T16:04:49Z,29m20.778752712s,0
hpccfft,2,16,1,1,2022-05-09T15:40:39Z,2022-05-09T15:43:50Z,2022-05-09T15:47:15Z,2022-05-09T15:47:15Z,7m8.845144642s,0
