benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-05-10T09:35:36Z,2022-05-10T09:35:40Z,2022-05-10T09:42:47Z,2022-05-10T09:42:47Z,7m50.261599584s,1.90652
hpccdgemm,1,16,1,1,2022-05-10T09:36:18Z,2022-05-10T09:36:21Z,2022-05-10T09:56:10Z,2022-05-10T09:56:10Z,20m28.322881808s,31.2303
hpccstream,0,16,1,1,2022-05-10T09:38:10Z,2022-05-10T09:38:14Z,2022-05-10T09:45:34Z,2022-05-10T09:45:34Z,7m57.115371779s,2.77239
minife,3,16,1,1,2022-05-10T09:38:51Z,2022-05-10T09:38:55Z,2022-05-10T09:57:48Z,2022-05-10T09:57:48Z,19m29.808467251s, 8510.54
hpccfft,1,16,1,1,2022-05-10T09:39:51Z,2022-05-10T09:39:55Z,2022-05-10T09:43:51Z,2022-05-10T09:43:51Z,4m35.283306805s,9.41982
minife,2,16,1,1,2022-05-10T09:40:09Z,2022-05-10T09:40:13Z,2022-05-10T09:59:13Z,2022-05-10T09:59:13Z,19m48.254800685s, 8456.51
hpccstream,3,16,1,1,2022-05-10T09:42:02Z,2022-05-10T09:42:06Z,2022-05-10T09:49:24Z,2022-05-10T09:49:24Z,8m4.276835635s,2.78962
hpccrandomringbw,0,16,1,1,2022-05-10T09:43:29Z,2022-05-10T09:43:33Z,2022-05-10T09:50:47Z,2022-05-10T09:50:47Z,7m57.297525923s,1.87806
hpccfft,0,16,1,1,2022-05-10T09:43:55Z,2022-05-10T09:44:00Z,2022-05-10T09:47:54Z,2022-05-10T09:47:54Z,4m31.928247072s,10.7765
hpccdgemm,2,16,1,1,2022-05-10T09:44:50Z,2022-05-10T09:44:54Z,2022-05-10T10:04:26Z,2022-05-10T10:04:26Z,20m9.032500466s,30.7081
hpccstream,2,16,1,1,2022-05-10T09:45:21Z,2022-05-10T09:46:09Z,2022-05-10T09:53:30Z,2022-05-10T09:53:30Z,8m41.663688791s,2.76243
hpccrandomringbw,3,16,1,1,2022-05-10T09:45:50Z,2022-05-10T09:48:29Z,2022-05-10T09:55:43Z,2022-05-10T09:55:43Z,10m36.256541544s,1.88938
hpccdgemm,3,16,1,1,2022-05-10T09:46:29Z,2022-05-10T09:50:08Z,2022-05-10T10:10:19Z,2022-05-10T10:10:19Z,24m27.271786432s,30.0186
hpccfft,3,16,1,1,2022-05-10T09:47:02Z,2022-05-10T09:51:30Z,2022-05-10T09:55:29Z,2022-05-10T09:55:29Z,8m58.816310931s,9.36426
minife,0,16,1,1,2022-05-10T09:47:26Z,2022-05-10T09:54:05Z,2022-05-10T10:13:10Z,2022-05-10T10:13:10Z,26m20.269243148s, 8451.24
hpccrandomringbw,1,16,1,1,2022-05-10T09:48:05Z,2022-05-10T09:56:28Z,2022-05-10T10:03:41Z,2022-05-10T10:03:41Z,16m11.255729428s,1.89409
minife,1,16,1,1,2022-05-10T09:49:09Z,2022-05-10T09:56:04Z,2022-05-10T10:14:56Z,2022-05-10T10:14:56Z,26m27.270704177s, 8491.19
hpccstream,1,16,1,1,2022-05-10T09:49:52Z,2022-05-10T09:56:49Z,2022-05-10T10:04:14Z,2022-05-10T10:04:14Z,14m54.645010565s,2.76388
hpccdgemm,0,16,1,1,2022-05-10T09:50:35Z,2022-05-10T09:58:22Z,2022-05-10T10:17:45Z,2022-05-10T10:17:45Z,27m41.912745066s,31.3574
hpccfft,2,16,1,1,2022-05-10T09:55:06Z,2022-05-10T09:59:58Z,2022-05-10T10:03:54Z,2022-05-10T10:03:54Z,9m20.727216252s,9.35182
