benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-05-09T13:05:25Z,2022-05-09T13:05:30Z,2022-05-09T13:12:53Z,2022-05-09T13:12:53Z,8m0.962064594s,1.88111
hpccdgemm,1,16,1,1,2022-05-09T13:06:07Z,2022-05-09T13:06:12Z,2022-05-09T13:25:49Z,2022-05-09T13:25:49Z,20m15.263880192s,30.6408
hpccstream,0,16,1,1,2022-05-09T13:08:00Z,2022-05-09T13:08:05Z,2022-05-09T13:15:19Z,2022-05-09T13:15:19Z,7m52.246647415s,2.79064
minife,3,16,1,1,2022-05-09T13:08:41Z,2022-05-09T13:08:45Z,2022-05-09T13:13:28Z,2022-05-09T13:13:28Z,5m19.315725909s,8565.88
hpccfft,1,16,1,1,2022-05-09T13:09:41Z,2022-05-09T13:09:45Z,2022-05-09T13:13:42Z,2022-05-09T13:13:42Z,4m33.475669557s,9.37043
minife,2,16,1,1,2022-05-09T13:09:58Z,2022-05-09T13:10:02Z,2022-05-09T13:14:40Z,2022-05-09T13:14:40Z,5m17.833881771s,8538.58
hpccstream,3,16,1,1,2022-05-09T13:11:51Z,2022-05-09T13:11:55Z,2022-05-09T13:19:18Z,2022-05-09T13:19:18Z,8m4.836263716s,2.76428
hpccrandomringbw,0,16,1,1,2022-05-09T13:13:19Z,2022-05-09T13:13:22Z,2022-05-09T13:20:39Z,2022-05-09T13:20:39Z,7m56.834160437s,1.87766
hpccfft,0,16,1,1,2022-05-09T13:13:45Z,2022-05-09T13:13:50Z,2022-05-09T13:17:46Z,2022-05-09T13:17:46Z,4m40.828114514s,10.7014
hpccdgemm,2,16,1,1,2022-05-09T13:14:40Z,2022-05-09T13:14:43Z,2022-05-09T13:34:57Z,2022-05-09T13:34:57Z,20m55.828339432s,29.8049
hpccstream,2,16,1,1,2022-05-09T13:15:11Z,2022-05-09T13:15:14Z,2022-05-09T13:22:24Z,2022-05-09T13:22:24Z,7m54.845697604s,2.73601
hpccrandomringbw,3,16,1,1,2022-05-09T13:15:39Z,2022-05-09T13:15:44Z,2022-05-09T13:23:05Z,2022-05-09T13:23:05Z,8m6.876704812s,1.88273
hpccdgemm,3,16,1,1,2022-05-09T13:16:18Z,2022-05-09T13:16:22Z,2022-05-09T13:36:20Z,2022-05-09T13:36:20Z,20m34.237014951s,31.8921
hpccfft,3,16,1,1,2022-05-09T13:16:52Z,2022-05-09T13:18:28Z,2022-05-09T13:22:19Z,2022-05-09T13:22:19Z,6m3.825864624s,10.6883
minife,0,16,1,1,2022-05-09T13:17:16Z,2022-05-09T13:19:58Z,2022-05-09T13:24:46Z,2022-05-09T13:24:46Z,8m2.433190472s,8436.63
hpccrandomringbw,1,16,1,1,2022-05-09T13:17:55Z,2022-05-09T13:21:18Z,2022-05-09T13:28:50Z,2022-05-09T13:28:50Z,11m30.852310098s,1.81674
minife,1,16,1,1,2022-05-09T13:18:58Z,2022-05-09T13:23:09Z,2022-05-09T13:27:51Z,2022-05-09T13:27:51Z,9m27.814078404s,8453.98
hpccstream,1,16,1,1,2022-05-09T13:19:41Z,2022-05-09T13:22:57Z,2022-05-09T13:30:20Z,2022-05-09T13:30:20Z,11m11.457738952s,2.77335
hpccdgemm,0,16,1,1,2022-05-09T13:20:24Z,2022-05-09T13:23:48Z,2022-05-09T13:43:04Z,2022-05-09T13:43:04Z,23m10.724015096s,31.2146
hpccfft,2,16,1,1,2022-05-09T13:24:56Z,2022-05-09T13:25:20Z,2022-05-09T13:29:15Z,2022-05-09T13:29:15Z,4m52.147001537s,10.655
