benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-05-10T10:56:22Z,2022-05-10T10:56:26Z,2022-05-10T11:03:41Z,2022-05-10T11:03:41Z,7m54.25549042s,1.88816
hpccdgemm,1,16,4,4,2022-05-10T10:57:05Z,2022-05-10T10:57:09Z,2022-05-10T11:16:32Z,2022-05-10T11:16:32Z,20m1.318096721s,32.6816
hpccstream,0,16,4,4,2022-05-10T10:58:57Z,2022-05-10T10:59:01Z,2022-05-10T11:02:19Z,2022-05-10T11:02:20Z,3m59.266420623s,7.93604
minife,3,16,4,4,2022-05-10T10:59:38Z,2022-05-10T10:59:42Z,2022-05-10T11:15:13Z,2022-05-10T11:15:13Z,16m18.320149321s,10508.4
hpccfft,1,16,1,1,2022-05-10T11:00:38Z,2022-05-10T11:00:42Z,2022-05-10T11:04:39Z,2022-05-10T11:04:39Z,4m38.276174838s,9.41495
minife,2,16,4,4,2022-05-10T11:00:55Z,2022-05-10T11:01:00Z,2022-05-10T11:16:05Z,2022-05-10T11:16:05Z,15m51.265116656s, 10928.7
hpccstream,3,16,4,4,2022-05-10T11:02:49Z,2022-05-10T11:02:59Z,2022-05-10T11:07:37Z,2022-05-10T11:07:37Z,5m27.323323798s,5.00776
hpccrandomringbw,0,16,1,1,2022-05-10T11:04:16Z,2022-05-10T11:04:19Z,2022-05-10T11:11:52Z,2022-05-10T11:11:52Z,8m20.253791007s,1.83036
hpccfft,0,16,1,1,2022-05-10T11:04:42Z,2022-05-10T11:04:46Z,2022-05-10T11:08:42Z,2022-05-10T11:08:42Z,4m34.327394188s,9.47235
hpccdgemm,2,16,4,4,2022-05-10T11:05:37Z,2022-05-10T11:05:42Z,2022-05-10T11:24:12Z,2022-05-10T11:24:12Z,19m19.27570641s,32.9252
hpccstream,2,16,4,4,2022-05-10T11:06:08Z,2022-05-10T11:06:13Z,2022-05-10T11:10:57Z,2022-05-10T11:10:57Z,5m28.381197946s,4.6038
hpccrandomringbw,3,16,1,1,2022-05-10T11:06:36Z,2022-05-10T11:09:19Z,2022-05-10T11:16:34Z,2022-05-10T11:16:34Z,10m40.322161748s,1.87951
hpccdgemm,3,16,4,4,2022-05-10T11:07:16Z,2022-05-10T11:08:21Z,2022-05-10T11:27:58Z,2022-05-10T11:27:58Z,21m20.267498502s,32.575
hpccfft,3,16,1,1,2022-05-10T11:07:49Z,2022-05-10T11:12:38Z,2022-05-10T11:16:28Z,2022-05-10T11:16:28Z,9m11.865419899s,10.7018
minife,0,16,4,4,2022-05-10T11:08:13Z,2022-05-10T11:11:39Z,2022-05-10T11:25:36Z,2022-05-10T11:25:36Z,18m3.2849368s,11728.6
hpccrandomringbw,1,16,1,1,2022-05-10T11:08:52Z,2022-05-10T11:17:03Z,2022-05-10T11:24:17Z,2022-05-10T11:24:17Z,15m56.821893733s,1.89755
minife,1,16,4,4,2022-05-10T11:09:56Z,2022-05-10T11:15:59Z,2022-05-10T11:28:12Z,2022-05-10T11:28:13Z,19m0.314691477s, 13643.3
hpccstream,1,16,4,4,2022-05-10T11:10:39Z,2022-05-10T11:16:49Z,2022-05-10T11:20:53Z,2022-05-10T11:20:53Z,10m57.317401382s,7.19906
hpccdgemm,0,16,4,4,2022-05-10T11:11:22Z,2022-05-10T11:17:09Z,2022-05-10T11:38:00Z,2022-05-10T11:38:00Z,27m10.834454213s,32.4243
hpccfft,2,16,1,1,2022-05-10T11:15:54Z,2022-05-10T11:17:19Z,2022-05-10T11:21:16Z,2022-05-10T11:21:16Z,6m2.324418692s,9.47011
