benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-06-14T13:06:58Z,2022-06-14T13:07:02Z,2022-06-14T13:14:18Z,2022-06-14T13:14:18Z,7m52.543872048s,1.89402
hpccdgemm,1,16,4,4,2022-06-14T13:07:41Z,2022-06-14T13:07:45Z,2022-06-14T13:27:17Z,2022-06-14T13:27:17Z,20m15.328496854s,32.7426
hpccstream,0,16,4,4,2022-06-14T13:09:33Z,2022-06-14T13:09:39Z,2022-06-14T13:14:39Z,2022-06-14T13:14:39Z,5m43.294813786s,5.32464
minife,3,16,4,4,2022-06-14T13:10:14Z,2022-06-14T13:10:18Z,2022-06-14T13:27:53Z,2022-06-14T13:27:53Z,18m22.330348475s, 9161.71
hpccfft,1,16,1,1,2022-06-14T13:11:14Z,2022-06-14T13:11:19Z,2022-06-14T13:15:13Z,2022-06-14T13:15:14Z,4m32.595900952s,10.2844
minife,2,16,4,4,2022-06-14T13:11:31Z,2022-06-14T13:11:36Z,2022-06-14T13:28:36Z,2022-06-14T13:28:37Z,17m45.318482195s, 9597.4
hpccstream,3,16,4,4,2022-06-14T13:13:25Z,2022-06-14T13:13:30Z,2022-06-14T13:18:53Z,2022-06-14T13:18:53Z,6m1.324670907s,4.47563
hpccrandomringbw,0,16,1,1,2022-06-14T13:14:52Z,2022-06-14T13:14:56Z,2022-06-14T13:22:16Z,2022-06-14T13:22:16Z,8m4.271608737s,1.87472
hpccfft,0,16,1,1,2022-06-14T13:15:18Z,2022-06-14T13:15:21Z,2022-06-14T13:19:11Z,2022-06-14T13:19:11Z,4m28.281375794s,10.7405
hpccdgemm,2,16,4,4,2022-06-14T13:16:13Z,2022-06-14T13:16:18Z,2022-06-14T13:34:52Z,2022-06-14T13:34:52Z,19m23.278619442s,33.6645
hpccstream,2,16,4,4,2022-06-14T13:16:44Z,2022-06-14T13:16:52Z,2022-06-14T13:24:12Z,2022-06-14T13:24:12Z,8m12.414042812s,2.76631
hpccrandomringbw,3,16,1,1,2022-06-14T13:17:12Z,2022-06-14T13:19:50Z,2022-06-14T13:27:10Z,2022-06-14T13:27:10Z,10m30.47557373s,1.87514
hpccdgemm,3,16,4,4,2022-06-14T13:17:52Z,2022-06-14T13:19:29Z,2022-06-14T13:37:57Z,2022-06-14T13:37:57Z,20m44.279003749s,34.1153
hpccfft,3,16,1,1,2022-06-14T13:18:25Z,2022-06-14T13:22:59Z,2022-06-14T13:26:54Z,2022-06-14T13:26:55Z,9m1.616048991s,9.50357
minife,0,16,4,4,2022-06-14T13:18:49Z,2022-06-14T13:25:03Z,2022-06-14T13:43:58Z,2022-06-14T13:43:58Z,25m47.363093031s, 8476.02
hpccrandomringbw,1,16,1,1,2022-06-14T13:19:28Z,2022-06-14T13:27:34Z,2022-06-14T13:34:54Z,2022-06-14T13:34:54Z,16m8.262921753s,1.88701
minife,1,16,4,4,2022-06-14T13:20:31Z,2022-06-14T13:28:05Z,2022-06-14T13:42:09Z,2022-06-14T13:42:09Z,22m15.321612183s, 11774.2
hpccstream,1,16,4,4,2022-06-14T13:21:15Z,2022-06-14T13:27:51Z,2022-06-14T13:35:14Z,2022-06-14T13:35:14Z,14m41.308699828s,2.78473
hpccdgemm,0,16,4,4,2022-06-14T13:21:58Z,2022-06-14T13:28:42Z,2022-06-14T13:49:13Z,2022-06-14T13:49:13Z,27m58.331600184s,32.5472
hpccfft,2,16,1,1,2022-06-14T13:26:29Z,2022-06-14T13:35:39Z,2022-06-14T13:41:09Z,2022-06-14T13:41:09Z,15m17.249044289s,7.81837
