benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-05-09T14:31:32Z,2022-05-09T14:31:35Z,2022-05-09T14:38:56Z,2022-05-09T14:38:56Z,7m56.742755558s,1.87317
hpccdgemm,1,16,4,4,2022-05-09T14:32:14Z,2022-05-09T14:32:18Z,2022-05-09T14:52:15Z,2022-05-09T14:52:15Z,20m41.833060781s,32.5146
hpccstream,0,16,4,4,2022-05-09T14:34:06Z,2022-05-09T14:34:10Z,2022-05-09T14:37:20Z,2022-05-09T14:37:20Z,3m49.831271642s,7.92152
minife,3,16,4,4,2022-05-09T14:34:47Z,2022-05-09T14:34:51Z,2022-05-09T14:39:00Z,2022-05-09T14:39:00Z,4m48.836898419s,10720.2
hpccfft,1,16,1,1,2022-05-09T14:35:47Z,2022-05-09T14:35:51Z,2022-05-09T14:39:46Z,2022-05-09T14:39:47Z,4m31.577940762s,9.41274
minife,2,16,4,4,2022-05-09T14:36:04Z,2022-05-09T14:36:09Z,2022-05-09T14:40:08Z,2022-05-09T14:40:08Z,4m41.8290759s,10867
hpccstream,3,16,4,4,2022-05-09T14:37:59Z,2022-05-09T14:38:03Z,2022-05-09T14:41:30Z,2022-05-09T14:41:30Z,4m6.833277344s,7.31408
hpccrandomringbw,0,16,1,1,2022-05-09T14:39:26Z,2022-05-09T14:39:30Z,2022-05-09T14:46:47Z,2022-05-09T14:46:47Z,7m59.819391826s,1.86691
hpccfft,0,16,1,1,2022-05-09T14:39:52Z,2022-05-09T14:39:55Z,2022-05-09T14:43:53Z,2022-05-09T14:43:53Z,4m43.834047171s,9.36451
hpccdgemm,2,16,4,4,2022-05-09T14:40:47Z,2022-05-09T14:40:51Z,2022-05-09T15:00:50Z,2022-05-09T15:00:50Z,20m38.824016809s,32.2319
hpccstream,2,16,4,4,2022-05-09T14:41:18Z,2022-05-09T14:41:24Z,2022-05-09T14:45:01Z,2022-05-09T14:45:01Z,4m17.82908651s,7.37762
hpccrandomringbw,3,16,1,1,2022-05-09T14:41:47Z,2022-05-09T14:41:51Z,2022-05-09T14:49:36Z,2022-05-09T14:49:36Z,8m21.677912674s,1.81797
hpccdgemm,3,16,4,4,2022-05-09T14:42:26Z,2022-05-09T14:42:30Z,2022-05-09T15:03:17Z,2022-05-09T15:03:17Z,21m29.806707217s,32.3368
hpccfft,3,16,1,1,2022-05-09T14:42:59Z,2022-05-09T14:43:03Z,2022-05-09T14:46:58Z,2022-05-09T14:46:58Z,4m36.848171922s,10.1432
minife,0,16,4,4,2022-05-09T14:43:23Z,2022-05-09T14:45:38Z,2022-05-09T14:48:55Z,2022-05-09T14:48:55Z,6m12.824031598s,14541.7
hpccrandomringbw,1,16,1,1,2022-05-09T14:44:02Z,2022-05-09T14:45:38Z,2022-05-09T14:52:59Z,2022-05-09T14:52:59Z,9m33.830344863s,1.87186
minife,1,16,4,4,2022-05-09T14:45:05Z,2022-05-09T14:48:15Z,2022-05-09T14:53:52Z,2022-05-09T14:53:52Z,9m30.844817468s,6913.98
hpccstream,1,16,4,4,2022-05-09T14:45:49Z,2022-05-09T14:48:14Z,2022-05-09T14:53:31Z,2022-05-09T14:53:31Z,8m16.831895134s,4.99652
hpccdgemm,0,16,4,4,2022-05-09T14:46:32Z,2022-05-09T14:49:38Z,2022-05-09T15:10:08Z,2022-05-09T15:10:08Z,24m13.825519875s,33.1717
hpccfft,2,16,1,1,2022-05-09T14:51:03Z,2022-05-09T14:51:08Z,2022-05-09T14:55:03Z,2022-05-09T14:55:03Z,4m33.242520433s,9.41944
