benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-05-10T12:44:15Z,2022-05-10T12:44:19Z,2022-05-10T12:51:35Z,2022-05-10T12:51:35Z,8m1.269939626s,1.89477
hpccdgemm,1,16,4,16,2022-05-10T12:44:57Z,2022-05-10T12:45:04Z,2022-05-10T13:02:05Z,2022-05-10T13:02:06Z,17m49.445662786s,36.6847
hpccstream,0,16,4,16,2022-05-10T12:46:49Z,2022-05-10T12:46:57Z,2022-05-10T12:50:12Z,2022-05-10T12:50:12Z,4m7.363420705s,7.98153
minife,3,16,4,16,2022-05-10T12:47:30Z,2022-05-10T12:47:38Z,2022-05-10T13:03:09Z,2022-05-10T13:03:09Z,16m16.43222065s, 10591.8
hpccfft,1,16,1,1,2022-05-10T12:48:31Z,2022-05-10T12:48:34Z,2022-05-10T12:52:30Z,2022-05-10T12:52:30Z,4m35.291990748s,9.41924
minife,2,16,4,16,2022-05-10T12:48:48Z,2022-05-10T12:48:55Z,2022-05-10T13:04:15Z,2022-05-10T13:04:15Z,16m8.380657912s, 10763.1
hpccstream,3,16,4,16,2022-05-10T12:50:41Z,2022-05-10T12:51:03Z,2022-05-10T12:55:39Z,2022-05-10T12:55:39Z,5m35.447274922s,5.31743
hpccrandomringbw,0,16,1,1,2022-05-10T12:52:08Z,2022-05-10T12:52:13Z,2022-05-10T12:59:30Z,2022-05-10T12:59:30Z,7m58.274620527s,1.87725
hpccfft,0,16,1,1,2022-05-10T12:52:34Z,2022-05-10T12:52:39Z,2022-05-10T12:56:36Z,2022-05-10T12:56:36Z,4m34.564330672s,10.6768
hpccdgemm,2,16,4,16,2022-05-10T12:53:30Z,2022-05-10T12:53:43Z,2022-05-10T13:10:52Z,2022-05-10T13:10:53Z,18m7.163369056s,36.1775
hpccstream,2,16,4,16,2022-05-10T12:54:01Z,2022-05-10T12:54:15Z,2022-05-10T12:59:10Z,2022-05-10T12:59:11Z,5m56.007822916s,4.97582
hpccrandomringbw,3,16,1,1,2022-05-10T12:54:29Z,2022-05-10T12:57:11Z,2022-05-10T13:04:38Z,2022-05-10T13:04:38Z,10m41.702931962s,1.88786
hpccdgemm,3,16,4,16,2022-05-10T12:55:08Z,2022-05-10T12:56:28Z,2022-05-10T13:13:21Z,2022-05-10T13:13:21Z,18m58.38339101s,36.5936
hpccfft,3,16,1,1,2022-05-10T12:55:41Z,2022-05-10T13:00:15Z,2022-05-10T13:04:16Z,2022-05-10T13:04:16Z,9m15.369911472s,9.40529
minife,0,16,4,16,2022-05-10T12:56:05Z,2022-05-10T13:00:25Z,2022-05-10T13:14:14Z,2022-05-10T13:14:14Z,18m52.461508219s, 11971.9
hpccrandomringbw,1,16,1,1,2022-05-10T12:56:45Z,2022-05-10T13:05:03Z,2022-05-10T13:12:19Z,2022-05-10T13:12:19Z,16m11.313659842s,1.88684
minife,1,16,4,16,2022-05-10T12:57:48Z,2022-05-10T13:02:55Z,2022-05-10T13:15:31Z,2022-05-10T13:15:31Z,18m28.34116156s,13238.1
hpccstream,1,16,4,16,2022-05-10T12:58:31Z,2022-05-10T13:03:54Z,2022-05-10T13:07:53Z,2022-05-10T13:07:54Z,10m5.360271048s,6.64223
hpccdgemm,0,16,4,16,2022-05-10T12:59:14Z,2022-05-10T13:05:06Z,2022-05-10T13:21:53Z,2022-05-10T13:21:53Z,23m22.366122318s,38.8813
hpccfft,2,16,1,1,2022-05-10T13:03:46Z,2022-05-10T13:05:12Z,2022-05-10T13:09:05Z,2022-05-10T13:09:05Z,5m52.310720318s,10.7283
