benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,1,1,2022-06-14T14:02:58Z,2022-06-14T14:03:02Z,2022-06-14T14:10:21Z,2022-06-14T14:10:21Z,7m54.986793953s,1.8776
hpccdgemm,1,16,4,16,2022-06-14T14:03:40Z,2022-06-14T14:03:55Z,2022-06-14T14:21:01Z,2022-06-14T14:21:01Z,18m10.258931299s,36.681
hpccstream,0,16,4,16,2022-06-14T14:05:32Z,2022-06-14T14:05:42Z,2022-06-14T14:09:05Z,2022-06-14T14:09:06Z,4m17.394192291s,6.63249
minife,3,16,4,16,2022-06-14T14:06:13Z,2022-06-14T14:06:24Z,2022-06-14T14:23:17Z,2022-06-14T14:23:17Z,17m43.643192037s, 9726.98
hpccfft,1,16,1,1,2022-06-14T14:07:14Z,2022-06-14T14:07:17Z,2022-06-14T14:11:28Z,2022-06-14T14:11:29Z,4m52.268730587s,8.67418
minife,2,16,4,16,2022-06-14T14:07:31Z,2022-06-14T14:07:44Z,2022-06-14T14:26:32Z,2022-06-14T14:26:32Z,19m46.924732811s, 8609.87
hpccstream,3,16,4,16,2022-06-14T14:09:24Z,2022-06-14T14:09:46Z,2022-06-14T14:14:43Z,2022-06-14T14:14:43Z,6m2.365530088s,5.68706
hpccrandomringbw,0,16,1,1,2022-06-14T14:10:51Z,2022-06-14T14:10:55Z,2022-06-14T14:19:06Z,2022-06-14T14:19:06Z,8m47.888779827s,1.67854
hpccfft,0,16,1,1,2022-06-14T14:11:17Z,2022-06-14T14:11:21Z,2022-06-14T14:15:15Z,2022-06-14T14:15:16Z,4m31.5465323s,10.5781
hpccdgemm,2,16,4,16,2022-06-14T14:12:13Z,2022-06-14T14:12:22Z,2022-06-14T14:30:04Z,2022-06-14T14:30:04Z,18m33.665002499s,36.3745
hpccstream,2,16,4,16,2022-06-14T14:12:44Z,2022-06-14T14:12:57Z,2022-06-14T14:18:34Z,2022-06-14T14:18:34Z,6m32.644296226s,3.87925
hpccrandomringbw,3,16,1,1,2022-06-14T14:13:12Z,2022-06-14T14:15:50Z,2022-06-14T14:23:32Z,2022-06-14T14:23:32Z,10m52.460722043s,1.85827
hpccdgemm,3,16,4,16,2022-06-14T14:13:52Z,2022-06-14T14:15:37Z,2022-06-14T14:33:46Z,2022-06-14T14:33:46Z,20m34.666928497s,36.5695
hpccfft,3,16,1,1,2022-06-14T14:14:25Z,2022-06-14T14:19:41Z,2022-06-14T14:23:44Z,2022-06-14T14:23:44Z,9m51.968606675s,9.04465
minife,0,16,4,16,2022-06-14T14:14:49Z,2022-06-14T14:19:31Z,2022-06-14T14:35:01Z,2022-06-14T14:35:01Z,20m58.063752367s, 10501.3
hpccrandomringbw,1,16,1,1,2022-06-14T14:15:28Z,2022-06-14T14:24:07Z,2022-06-14T14:31:32Z,2022-06-14T14:31:32Z,16m38.324132486s,1.87352
minife,1,16,4,16,2022-06-14T14:16:32Z,2022-06-14T14:22:00Z,2022-06-14T14:36:48Z,2022-06-14T14:36:48Z,20m55.623306048s, 11106.7
hpccstream,1,16,4,16,2022-06-14T14:17:15Z,2022-06-14T14:24:07Z,2022-06-14T14:28:59Z,2022-06-14T14:29:00Z,12m21.643069587s,4.77655
hpccdgemm,0,16,4,16,2022-06-14T14:17:58Z,2022-06-14T14:24:31Z,2022-06-14T14:41:08Z,2022-06-14T14:41:08Z,23m58.324069393s,38.4099
hpccfft,2,16,1,1,2022-06-14T14:22:29Z,2022-06-14T14:30:49Z,2022-06-14T14:34:33Z,2022-06-14T14:34:33Z,12m47.266889831s,10.876
