benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance,init,run,final,start,afterstart
hpccrandomringbw,2,16,1,1,2022-05-10 10:56:22+00:00,2022-05-10 10:56:26+00:00,2022-05-10 11:03:41+00:00,2022-05-10 11:03:41+00:00,0 days 00:07:54.255490420,1.88816,0 days 00:00:04,0 days 00:07:15,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:00:00
hpccdgemm,1,16,4,4,2022-05-10 10:57:05+00:00,2022-05-10 10:57:09+00:00,2022-05-10 11:16:32+00:00,2022-05-10 11:16:32+00:00,0 days 00:20:01.318096721,32.6816,0 days 00:00:04,0 days 00:19:23,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:00:43
hpccstream,0,16,4,4,2022-05-10 10:58:57+00:00,2022-05-10 10:59:01+00:00,2022-05-10 11:02:19+00:00,2022-05-10 11:02:20+00:00,0 days 00:03:59.266420623,7.93604,0 days 00:00:04,0 days 00:03:18,0 days 00:00:01,2022-05-10 10:56:22+00:00,0 days 00:02:35
minife,3,16,4,4,2022-05-10 10:59:38+00:00,2022-05-10 10:59:42+00:00,2022-05-10 11:15:13+00:00,2022-05-10 11:15:13+00:00,0 days 00:16:18.320149321,10508.4,0 days 00:00:04,0 days 00:15:31,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:03:16
hpccfft,1,16,1,1,2022-05-10 11:00:38+00:00,2022-05-10 11:00:42+00:00,2022-05-10 11:04:39+00:00,2022-05-10 11:04:39+00:00,0 days 00:04:38.276174838,9.41495,0 days 00:00:04,0 days 00:03:57,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:04:16
minife,2,16,4,4,2022-05-10 11:00:55+00:00,2022-05-10 11:01:00+00:00,2022-05-10 11:16:05+00:00,2022-05-10 11:16:05+00:00,0 days 00:15:51.265116656,10928.7,0 days 00:00:05,0 days 00:15:05,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:04:33
hpccstream,3,16,4,4,2022-05-10 11:02:49+00:00,2022-05-10 11:02:59+00:00,2022-05-10 11:07:37+00:00,2022-05-10 11:07:37+00:00,0 days 00:05:27.323323798,5.00776,0 days 00:00:10,0 days 00:04:38,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:06:27
hpccrandomringbw,0,16,1,1,2022-05-10 11:04:16+00:00,2022-05-10 11:04:19+00:00,2022-05-10 11:11:52+00:00,2022-05-10 11:11:52+00:00,0 days 00:08:20.253791007,1.83036,0 days 00:00:03,0 days 00:07:33,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:07:54
hpccfft,0,16,1,1,2022-05-10 11:04:42+00:00,2022-05-10 11:04:46+00:00,2022-05-10 11:08:42+00:00,2022-05-10 11:08:42+00:00,0 days 00:04:34.327394188,9.47235,0 days 00:00:04,0 days 00:03:56,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:08:20
hpccdgemm,2,16,4,4,2022-05-10 11:05:37+00:00,2022-05-10 11:05:42+00:00,2022-05-10 11:24:12+00:00,2022-05-10 11:24:12+00:00,0 days 00:19:19.275706410,32.9252,0 days 00:00:05,0 days 00:18:30,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:09:15
hpccstream,2,16,4,4,2022-05-10 11:06:08+00:00,2022-05-10 11:06:13+00:00,2022-05-10 11:10:57+00:00,2022-05-10 11:10:57+00:00,0 days 00:05:28.381197946,4.6038,0 days 00:00:05,0 days 00:04:44,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:09:46
hpccrandomringbw,3,16,1,1,2022-05-10 11:06:36+00:00,2022-05-10 11:09:19+00:00,2022-05-10 11:16:34+00:00,2022-05-10 11:16:34+00:00,0 days 00:10:40.322161748,1.87951,0 days 00:02:43,0 days 00:07:15,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:10:14
hpccdgemm,3,16,4,4,2022-05-10 11:07:16+00:00,2022-05-10 11:08:21+00:00,2022-05-10 11:27:58+00:00,2022-05-10 11:27:58+00:00,0 days 00:21:20.267498502,32.575,0 days 00:01:05,0 days 00:19:37,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:10:54
hpccfft,3,16,1,1,2022-05-10 11:07:49+00:00,2022-05-10 11:12:38+00:00,2022-05-10 11:16:28+00:00,2022-05-10 11:16:28+00:00,0 days 00:09:11.865419899,10.7018,0 days 00:04:49,0 days 00:03:50,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:11:27
minife,0,16,4,4,2022-05-10 11:08:13+00:00,2022-05-10 11:11:39+00:00,2022-05-10 11:25:36+00:00,2022-05-10 11:25:36+00:00,0 days 00:18:03.284936800,11728.6,0 days 00:03:26,0 days 00:13:57,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:11:51
hpccrandomringbw,1,16,1,1,2022-05-10 11:08:52+00:00,2022-05-10 11:17:03+00:00,2022-05-10 11:24:17+00:00,2022-05-10 11:24:17+00:00,0 days 00:15:56.821893733,1.89755,0 days 00:08:11,0 days 00:07:14,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:12:30
minife,1,16,4,4,2022-05-10 11:09:56+00:00,2022-05-10 11:15:59+00:00,2022-05-10 11:28:12+00:00,2022-05-10 11:28:13+00:00,0 days 00:19:00.314691477,13643.3,0 days 00:06:03,0 days 00:12:13,0 days 00:00:01,2022-05-10 10:56:22+00:00,0 days 00:13:34
hpccstream,1,16,4,4,2022-05-10 11:10:39+00:00,2022-05-10 11:16:49+00:00,2022-05-10 11:20:53+00:00,2022-05-10 11:20:53+00:00,0 days 00:10:57.317401382,7.19906,0 days 00:06:10,0 days 00:04:04,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:14:17
hpccdgemm,0,16,4,4,2022-05-10 11:11:22+00:00,2022-05-10 11:17:09+00:00,2022-05-10 11:38:00+00:00,2022-05-10 11:38:00+00:00,0 days 00:27:10.834454213,32.4243,0 days 00:05:47,0 days 00:20:51,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:15:00
hpccfft,2,16,1,1,2022-05-10 11:15:54+00:00,2022-05-10 11:17:19+00:00,2022-05-10 11:21:16+00:00,2022-05-10 11:21:16+00:00,0 days 00:06:02.324418692,9.47011,0 days 00:01:25,0 days 00:03:57,0 days 00:00:00,2022-05-10 10:56:22+00:00,0 days 00:19:32
