benchmark,nTasks,nNodes,nWorkers,model_time_mean,model_time_std,scenario
hpccrandomringbw,16,1,1,1.4416825,0.24507335140473763,none
hpccdgemm,16,1,1,22.006625,1.5105844338781602,none
hpccstream,16,1,1,3.92085,0.7007220528140955,none
minife,16,1,1,9209.71,691.5715052328283,none
hpccfft,16,1,1,10.6861175,2.03964889383412,none
hpccrandomringbw,16,1,1,1.8920125,0.010202767700482035,cpumem
hpccdgemm,16,1,1,30.828599999999998,0.5271651970682432,cpumem
hpccstream,16,1,1,2.7720800000000003,0.010817927250633623,cpumem
minife,16,1,1,8477.37,24.541586134559818,cpumem
hpccfft,16,1,1,9.728100000000001,0.6058352297448543,cpumem
hpccrandomringbw,16,1,1,1.8738949999999999,0.025931996163041548,cpumem-scale
hpccdgemm,16,4,4,32.651525,0.1825443696064034,cpumem-scale
hpccstream,16,4,4,6.186665,1.4124920472253994,cpumem-scale
minife,16,4,4,11702.25,1203.331505654198,cpumem-scale
hpccfft,16,1,1,9.7648025,0.5414640387585774,cpumem-scale
hpccrandomringbw,16,1,1,1.8866800000000001,0.006240813248287432,cpumem-granularity
hpccdgemm,16,4,16,37.084275000000005,1.0549836358328035,cpumem-granularity
hpccstream,16,4,16,6.229252499999999,1.1878068188972273,cpumem-granularity
minife,16,4,16,11641.225,1064.3956110746608,cpumem-granularity
hpccfft,16,1,1,10.0574075,0.64541823794246,cpumem-granularity
