benchmark,nTasks,nNodes,nWorkers,init_mean,init_std,run_mean,run_std,final_mean,final_std,duration_mean,duration_std,scenario
hpccrandomringbw,16,1,1,184.0,218.8332698654389,736.0,110.31092420970826,0.0,0.0,960.4592215030002,271.3538116429669,none
hpccdgemm,16,1,1,226.5,317.6550802364099,1768.0,138.07244475274575,0.5,0.5,2033.1405955675002,317.1830123569151,none
hpccstream,16,1,1,156.0,258.1114100538758,364.75,39.31523241696531,0.0,0.0,557.40204965675,292.8024157196109,none
minife,16,1,1,276.5,271.9140489198747,1060.75,72.11925887029064,0.0,0.0,1374.71735047275,250.02264573071741,none
hpccfft,16,1,1,215.75,224.5844774244204,230.75,28.012274095474652,0.0,0.0,482.13404425125,228.02464246812852,none
hpccrandomringbw,16,1,1,167.5,203.77499846644585,432.0,2.9154759474226504,0.0,0.0,638.7678491195,203.11420348095768,cpumem
hpccdgemm,16,1,1,173.25,191.0580736320766,1183.75,18.2944663764757,0.0,0.0,1391.6349784430001,186.2696323371996,cpumem
hpccstream,16,1,1,118.25,173.41622617275468,441.0,2.5495097567963922,0.0,0.0,594.4252266925,174.15541201655518,cpumem
minife,16,1,1,205.5,201.57938882733026,1137.5,5.315072906367325,0.0,0.0,1381.4008038152501,202.48936234745145,cpumem
hpccfft,16,1,1,142.25,138.0115484298325,236.25000000000003,1.7853571071357126,0.0,0.0,411.6887702650001,138.3052098466684,cpumem
hpccrandomringbw,16,1,1,165.25,199.02559508766709,439.25,7.949056547792323,0.0,0.0,642.913334227,191.9261000068212,cpumem-scale
hpccdgemm,16,4,4,105.25,141.74338608908707,1175.25,50.3705022806007,0.0,0.0,1317.9239389615,185.80714612157027,cpumem-scale
hpccstream,16,4,4,97.25,157.48869007011265,251.0,34.19064199455752,0.25,0.4330127018922193,388.07208593725005,159.60073631502667,cpumem-scale
minife,16,4,4,144.5,150.60295481829033,851.5,76.54247187019769,0.25,0.4330127018922193,1038.2962235635,76.8168197160954,cpumem-scale
hpccfft,16,1,1,95.5,116.50858337478832,235.00000000000003,2.9154759474226504,0.0,0.0,366.69835190425,112.53538286697889,cpumem-scale
hpccrandomringbw,16,1,1,167.25,201.49364133887704,439.0,4.636809247747852,0.0,0.0,643.14028798925,200.6754381909789,cpumem-granularity
hpccdgemm,16,4,16,113.0,140.93083409956816,1017.5,8.29156197588846,0.5,0.5,1174.3396362925,134.06283708696543,cpumem-granularity
hpccstream,16,4,16,91.75,133.60459385814545,251.25,38.21239981995373,0.5,0.5,386.04469739750004,133.03583195943054,cpumem-granularity
minife,16,4,16,145.5,138.99730213209176,859.0,71.43878498406876,0.0,0.0,1046.40388708525,74.5415966405804,cpumem-granularity
hpccfft,16,1,1,92.0,110.28372500056389,236.75000000000003,2.8613807855648994,0.0,0.0,364.3842383025,114.70215949753624,cpumem-granularity
