benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,2,16,1,1,2022-04-21T10:41:32Z,2022-04-21T10:41:36Z,2022-04-21T10:42:44Z,2022-04-21T10:42:45Z,1m45.346876816s,10.4817
hpccdgemm,1,16,1,1,2022-04-21T10:42:14Z,2022-04-21T10:42:17Z,2022-04-21T11:01:43Z,2022-04-21T11:01:43Z,20m1.440032479s,30.9895
hpccstream,0,16,1,1,2022-04-21T10:44:06Z,2022-04-21T10:44:11Z,2022-04-21T11:06:06Z,2022-04-21T11:06:06Z,22m33.075206498s,2.77285
nasep,3,16,1,1,2022-04-21T10:44:47Z,2022-04-21T10:44:52Z,2022-04-21T11:00:32Z,2022-04-21T11:00:32Z,16m17.805460938s,931.68
hpccfft,1,16,1,1,2022-04-21T10:45:48Z,2022-04-21T10:45:52Z,2022-04-21T10:47:01Z,2022-04-21T10:47:01Z,1m45.203549839s,10.9789
hpccstream,3,16,1,1,2022-04-21T10:46:05Z,2022-04-21T10:46:08Z,2022-04-21T11:07:47Z,2022-04-21T11:07:47Z,22m21.55080077s,2.78958
nasep,2,16,1,1,2022-04-21T10:47:58Z,2022-04-21T10:48:02Z,2022-04-21T11:04:06Z,2022-04-21T11:04:06Z,16m40.659835972s,961.05
hpccrandomringbw,2,16,1,1,2022-04-21T10:49:25Z,2022-04-21T10:49:29Z,2022-04-21T10:49:44Z,2022-04-21T10:49:44Z,1m1.550201637s,1.3471
hpccdgemm,0,16,1,1,2022-04-21T10:49:51Z,2022-04-21T10:49:56Z,2022-04-21T11:09:25Z,2022-04-21T11:09:25Z,20m5.963586038s,31.6765
hpccstream,2,16,1,1,2022-04-21T10:50:46Z,2022-04-21T10:50:50Z,2022-04-21T11:12:30Z,2022-04-21T11:12:30Z,22m20.567401015s,2.7561
hpccdgemm,2,16,1,1,2022-04-21T10:51:18Z,2022-04-21T10:51:22Z,2022-04-21T11:10:26Z,2022-04-21T11:10:27Z,19m48.551447123s,32.3017
nasep,1,16,1,1,2022-04-21T10:51:43Z,2022-04-21T11:01:07Z,2022-04-21T11:01:09Z,2022-04-21T11:01:09Z,9m58.354964229s,
hpccdgemm,3,16,1,1,2022-04-21T10:52:25Z,2022-04-21T11:01:44Z,2022-04-21T11:21:04Z,2022-04-21T11:21:04Z,29m12.139428126s,31.0755
hpccfft,3,16,1,1,2022-04-21T10:52:58Z,2022-04-21T11:02:17Z,2022-04-21T11:03:30Z,2022-04-21T11:03:30Z,11m4.626117673s,10.8975
nasep,0,16,1,1,2022-04-21T10:53:22Z,2022-04-21T11:04:04Z,2022-04-21T11:19:42Z,2022-04-21T11:19:42Z,26m54.569003612s,932.30
hpccrandomringbw,1,16,1,1,2022-04-21T10:54:01Z,2022-04-21T11:04:41Z,2022-04-21T11:05:01Z,2022-04-21T11:05:02Z,11m35.561230736s,1.32369
hpccfft,0,16,1,1,2022-04-21T10:55:05Z,2022-04-21T11:05:39Z,2022-04-21T11:06:51Z,2022-04-21T11:06:52Z,12m22.567442999s,11.0841
hpccstream,1,16,1,1,2022-04-21T10:55:48Z,2022-04-21T11:06:41Z,2022-04-21T11:28:41Z,2022-04-21T11:28:41Z,33m28.566226672s,2.77149
hpccrandomringbw,3,16,1,1,2022-04-21T10:56:31Z,2022-04-21T11:07:28Z,2022-04-21T11:07:46Z,2022-04-21T11:07:46Z,11m55.577144332s,1.32279
hpccrandomringbw,0,16,1,1,2022-04-21T11:01:02Z,2022-04-21T11:08:28Z,2022-04-21T11:08:48Z,2022-04-21T11:08:48Z,8m24.541109807s,1.32671
