benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,2,16,1,1,2022-04-21T14:48:03Z,2022-04-21T14:48:07Z,2022-04-21T14:49:16Z,2022-04-21T14:49:16Z,1m53.562981556s,10.9413
hpccdgemm,1,16,1,1,2022-04-21T14:48:45Z,2022-04-21T14:48:48Z,2022-04-21T15:08:26Z,2022-04-21T15:08:26Z,20m21.567444595s,30.6986
hpccstream,0,16,1,1,2022-04-21T14:50:37Z,2022-04-21T14:50:41Z,2022-04-21T15:12:22Z,2022-04-21T15:12:22Z,22m19.56993068s,2.75408
nasep,3,16,1,1,2022-04-21T14:51:18Z,2022-04-21T14:51:22Z,2022-04-21T15:07:31Z,2022-04-21T15:07:31Z,16m48.545689703s,966.45
hpccfft,1,16,1,1,2022-04-21T14:52:19Z,2022-04-21T14:52:22Z,2022-04-21T14:53:31Z,2022-04-21T14:53:31Z,1m47.566556631s,11.0292
hpccstream,3,16,1,1,2022-04-21T14:52:36Z,2022-04-21T14:52:40Z,2022-04-21T15:14:01Z,2022-04-21T15:14:02Z,22m0.550041912s,2.74111
nasep,2,16,1,1,2022-04-21T14:54:29Z,2022-04-21T14:54:33Z,2022-04-21T15:10:09Z,2022-04-21T15:10:09Z,16m12.005124684s,933.48
hpccrandomringbw,2,16,1,1,2022-04-21T14:55:56Z,2022-04-21T14:56:00Z,2022-04-21T14:56:16Z,2022-04-21T14:56:16Z,1m0.560882602s,1.30862
hpccdgemm,0,16,1,1,2022-04-21T14:56:22Z,2022-04-21T14:56:27Z,2022-04-21T15:15:46Z,2022-04-21T15:15:47Z,20m4.569302325s,30.9056
hpccstream,2,16,1,1,2022-04-21T14:57:17Z,2022-04-21T14:57:21Z,2022-04-21T15:19:14Z,2022-04-21T15:19:14Z,22m29.637323656s,2.78591
hpccdgemm,2,16,1,1,2022-04-21T14:57:49Z,2022-04-21T14:57:53Z,2022-04-21T15:17:25Z,2022-04-21T15:17:25Z,20m17.561378903s,31.7798
nasep,1,16,1,1,2022-04-21T14:58:17Z,2022-04-21T15:08:08Z,2022-04-21T15:08:11Z,2022-04-21T15:08:11Z,10m25.734267092s,
hpccdgemm,3,16,1,1,2022-04-21T14:58:56Z,2022-04-21T15:09:08Z,2022-04-21T15:28:46Z,2022-04-21T15:28:46Z,30m30.564324022s,30.6263
hpccfft,3,16,1,1,2022-04-21T14:59:29Z,2022-04-21T15:08:45Z,2022-04-21T15:09:56Z,2022-04-21T15:09:57Z,11m7.557501724s,10.5273
nasep,0,16,1,1,2022-04-21T14:59:53Z,2022-04-21T15:10:38Z,2022-04-21T15:26:08Z,2022-04-21T15:26:08Z,26m53.540237875s,927.95
hpccrandomringbw,1,16,1,1,2022-04-21T15:00:32Z,2022-04-21T15:10:43Z,2022-04-21T15:11:03Z,2022-04-21T15:11:04Z,11m14.573782063s,1.2591
hpccfft,0,16,1,1,2022-04-21T15:01:36Z,2022-04-21T15:11:48Z,2022-04-21T15:12:58Z,2022-04-21T15:12:58Z,12m0.573725531s,10.958
hpccstream,1,16,1,1,2022-04-21T15:02:19Z,2022-04-21T15:12:58Z,2022-04-21T15:34:39Z,2022-04-21T15:34:39Z,32m57.563214789s,2.75397
hpccrandomringbw,3,16,1,1,2022-04-21T15:03:02Z,2022-04-21T15:13:38Z,2022-04-21T15:13:54Z,2022-04-21T15:13:54Z,11m24.851043693s,1.26425
hpccrandomringbw,0,16,1,1,2022-04-21T15:07:33Z,2022-04-21T15:14:31Z,2022-04-21T15:14:48Z,2022-04-21T15:14:48Z,7m53.569619685s,1.26334
