benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,4,4,2022-03-30T12:43:54Z,2022-03-30T12:44:00Z,2022-03-30T12:47:31Z,2022-03-30T12:47:32Z,4m12.152786469s,32.8329
hpccdgemm,1,16,4,4,2022-03-30T12:44:54Z,2022-03-30T12:45:00Z,2022-03-30T12:48:30Z,2022-03-30T12:48:30Z,4m8.900490008s,29.7737
hpccdgemm,2,16,4,4,2022-03-30T12:45:54Z,2022-03-30T12:45:59Z,2022-03-30T12:49:34Z,2022-03-30T12:49:34Z,4m22.147506835s,31.8622
hpccdgemm,3,16,4,4,2022-03-30T12:46:54Z,2022-03-30T12:47:00Z,2022-03-30T12:50:37Z,2022-03-30T12:50:37Z,4m22.148127306s,31.2756
hpccdgemm,4,16,4,4,2022-03-30T12:47:55Z,2022-03-30T12:48:00Z,2022-03-30T12:51:25Z,2022-03-30T12:51:25Z,4m11.142247147s,36.6319
hpccdgemm,5,16,4,4,2022-03-30T12:48:55Z,2022-03-30T12:48:59Z,2022-03-30T12:52:37Z,2022-03-30T12:52:37Z,4m21.147015356s,31.2375
hpccdgemm,6,16,4,4,2022-03-30T12:49:55Z,2022-03-30T12:50:00Z,2022-03-30T12:53:36Z,2022-03-30T12:53:37Z,4m21.111586633s,31.0654
hpccdgemm,7,16,4,4,2022-03-30T12:50:55Z,2022-03-30T12:51:00Z,2022-03-30T12:54:37Z,2022-03-30T12:54:38Z,4m21.14647605s,30.6373
hpccdgemm,8,16,4,4,2022-03-30T12:51:55Z,2022-03-30T12:52:00Z,2022-03-30T12:55:29Z,2022-03-30T12:55:29Z,4m11.155174581s,31.6121
hpccdgemm,9,16,4,4,2022-03-30T12:52:55Z,2022-03-30T12:53:02Z,2022-03-30T12:56:13Z,2022-03-30T12:56:13Z,4m1.129053667s,36.594
