benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccdgemm,0,16,4,16,2022-03-30T13:57:26Z,2022-03-30T13:57:35Z,2022-03-30T14:02:20Z,2022-03-30T14:02:20Z,5m30.185260522s,39.5916
hpccdgemm,1,16,4,16,2022-03-30T13:58:26Z,2022-03-30T13:58:35Z,2022-03-30T14:03:19Z,2022-03-30T14:03:19Z,5m30.197581591s,38.4266
hpccdgemm,2,16,4,16,2022-03-30T13:59:26Z,2022-03-30T13:59:34Z,2022-03-30T14:04:19Z,2022-03-30T14:04:19Z,5m30.183657226s,38.5439
hpccdgemm,3,16,4,16,2022-03-30T14:00:26Z,2022-03-30T14:00:34Z,2022-03-30T14:05:19Z,2022-03-30T14:05:19Z,5m30.543505989s,39.4973
hpccdgemm,4,16,4,16,2022-03-30T14:01:26Z,2022-03-30T14:01:35Z,2022-03-30T14:06:17Z,2022-03-30T14:06:17Z,5m30.19069513s,41.6265
hpccdgemm,5,16,4,16,2022-03-30T14:02:26Z,2022-03-30T14:02:36Z,2022-03-30T14:07:07Z,2022-03-30T14:07:07Z,5m20.194788106s,41.618
hpccdgemm,6,16,4,16,2022-03-30T14:03:27Z,2022-03-30T14:03:35Z,2022-03-30T14:08:17Z,2022-03-30T14:08:17Z,5m30.192451053s,39.6808
hpccdgemm,7,16,4,16,2022-03-30T14:04:27Z,2022-03-30T14:04:35Z,2022-03-30T14:09:19Z,2022-03-30T14:09:19Z,5m29.195202799s,38.8102
hpccdgemm,8,16,4,16,2022-03-30T14:05:27Z,2022-03-30T14:05:36Z,2022-03-30T14:10:20Z,2022-03-30T14:10:21Z,5m29.196599014s,38.9657
hpccdgemm,9,16,4,16,2022-03-30T14:06:27Z,2022-03-30T14:06:35Z,2022-03-30T14:11:21Z,2022-03-30T14:11:21Z,5m39.157631414s,40.4942
