benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccfft,2,16,1,1,2022-04-25T09:06:02Z,2022-04-25T09:06:07Z,2022-04-25T09:09:51Z,2022-04-25T09:09:51Z,4m25.336611536s,11.0066
hpccdgemm,1,16,4,16,2022-04-25T09:06:45Z,2022-04-25T09:06:52Z,2022-04-25T09:23:13Z,2022-04-25T09:23:13Z,17m12.393975889s,37.788
hpccstream,0,16,4,16,2022-04-25T09:08:37Z,2022-04-25T09:08:44Z,2022-04-25T09:12:10Z,2022-04-25T09:12:10Z,4m10.36339087s,7.91707
nasep,3,16,4,16,2022-04-25T09:09:18Z,2022-04-25T09:09:26Z,2022-04-25T09:26:00Z,2022-04-25T09:26:00Z,17m19.65384551s,                   975.51
hpccfft,1,16,1,1,2022-04-25T09:10:18Z,2022-04-25T09:10:22Z,2022-04-25T09:14:38Z,2022-04-25T09:14:38Z,4m59.246016291s,8.47314
hpccstream,3,16,4,16,2022-04-25T09:10:35Z,2022-04-25T09:10:42Z,2022-04-25T09:15:10Z,2022-04-25T09:15:10Z,5m12.374720629s,7.28057
nasep,2,16,4,16,2022-04-25T09:12:28Z,2022-04-25T09:12:54Z,2022-04-25T09:28:44Z,2022-04-25T09:28:44Z,16m59.477525485s,                   932.46
hpccrandomringbw,2,16,1,1,2022-04-25T09:13:56Z,2022-04-25T09:13:59Z,2022-04-25T09:28:46Z,2022-04-25T09:28:46Z,15m31.43663547s,0.966231
hpccrandomringlat,2,16,1,1,2022-04-25T09:13:56Z,2022-04-25T09:13:59Z,2022-04-25T09:28:46Z,2022-04-25T09:28:46Z,15m31.43663547s,0
hpccdgemm,0,16,4,16,2022-04-25T09:14:22Z,2022-04-25T09:14:34Z,2022-04-25T09:31:05Z,2022-04-25T09:31:05Z,17m27.456931721s,36.6698
hpccstream,2,16,4,16,2022-04-25T09:15:17Z,2022-04-25T09:16:03Z,2022-04-25T09:19:03Z,2022-04-25T09:19:03Z,4m30.375444852s,7.68877
hpccdgemm,2,16,4,16,2022-04-25T09:15:48Z,2022-04-25T09:16:09Z,2022-04-25T09:32:37Z,2022-04-25T09:32:37Z,17m30.45654997s,36.9993
nasep,1,16,4,16,2022-04-25T09:16:16Z,2022-04-25T09:16:29Z,2022-04-25T09:32:59Z,2022-04-25T09:32:59Z,17m22.039769794s,                   974.31
hpccdgemm,3,16,4,16,2022-04-25T09:16:55Z,2022-04-25T09:20:43Z,2022-04-25T09:37:14Z,2022-04-25T09:37:14Z,21m2.363396595s,37.4235
hpccfft,3,16,1,1,2022-04-25T09:17:29Z,2022-04-25T09:29:31Z,2022-04-25T09:32:39Z,2022-04-25T09:32:39Z,15m48.323220389s,13.508
nasep,0,16,4,16,2022-04-25T09:17:53Z,2022-04-25T09:24:46Z,2022-04-25T09:40:30Z,2022-04-25T09:40:30Z,23m14.360953097s,                   927.35
hpccrandomringbw,1,16,1,1,2022-04-25T09:18:32Z,2022-04-25T09:31:52Z,2022-04-25T09:45:14Z,2022-04-25T09:45:14Z,27m25.313378991s,1.06613
hpccrandomringlat,1,16,1,1,2022-04-25T09:18:32Z,2022-04-25T09:31:52Z,2022-04-25T09:45:14Z,2022-04-25T09:45:14Z,27m25.313378991s,0
hpccfft,0,16,1,1,2022-04-25T09:19:35Z,2022-04-25T09:31:51Z,2022-04-25T09:35:15Z,2022-04-25T09:35:15Z,16m12.37650479s,12.7129
hpccstream,1,16,4,16,2022-04-25T09:20:18Z,2022-04-25T09:26:45Z,2022-04-25T09:29:45Z,2022-04-25T09:29:45Z,10m9.366447309s,7.67179
hpccrandomringbw,3,16,1,1,2022-04-25T09:21:02Z,2022-04-25T09:33:27Z,2022-04-25T09:47:20Z,2022-04-25T09:47:20Z,26m50.970216673s,1.0988
hpccrandomringlat,3,16,1,1,2022-04-25T09:21:02Z,2022-04-25T09:33:27Z,2022-04-25T09:47:20Z,2022-04-25T09:47:20Z,26m50.970216673s,0
hpccrandomringbw,0,16,1,1,2022-04-25T09:25:33Z,2022-04-25T09:33:27Z,2022-04-25T09:48:23Z,2022-04-25T09:48:23Z,23m22.627113224s,0.988619
hpccrandomringlat,0,16,1,1,2022-04-25T09:25:33Z,2022-04-25T09:33:27Z,2022-04-25T09:48:23Z,2022-04-25T09:48:23Z,23m22.627113224s,0
