index,benchmark,times,nTasks,nNodes,starttime,characteristic
0,hpccrandomaccess,2,16,4,14,network
1,hpccrandomring,2,16,2,7,network
2,hpccptrans,3,16,1,12,network
3,hpccfft,4,16,1,11,network
4,hpccptrans,6,16,4,10,network
5,hpccptrans,4,16,2,5,network
6,hpccptrans,2,16,3,5,network
7,hpccrandomring,4,16,2,6,network
8,hpccptrans,1,16,4,8,network
9,hpccfft,8,16,3,8,network
10,hpccptrans,9,16,2,13,network
11,hpccdgemm,8,16,2,11,cpu
12,hpccstream,5,16,4,9,memory
13,hpccstream,8,16,1,13,memory
14,hpccfft,1,16,3,6,network
15,hpccptrans,8,16,2,9,network
16,hpccstream,3,16,4,7,memory
17,hpccrandomring,1,16,1,8,network
18,hpccrandomring,7,16,3,5,network
19,hpccfft,9,16,2,10,network
20,hpccrandomaccess,6,16,2,9,network
21,hpccdgemm,4,16,3,12,cpu
22,hpccfft,2,16,4,16,network
23,hpccrandomring,8,16,4,8,network
24,hpccstream,4,16,1,11,memory
25,hpccstream,2,16,3,7,memory
26,hpccdgemm,0,16,3,15,cpu
27,hpccstream,0,16,1,11,memory
28,hpccrandomaccess,5,16,2,14,network
29,hpccfft,3,16,3,12,network
30,hpccstream,7,16,3,8,memory
31,hpccptrans,7,16,2,12,network
32,hpccrandomring,5,16,4,7,network
33,hpccstream,9,16,4,5,memory
34,hpccdgemm,2,16,2,14,cpu
35,hpccfft,6,16,4,9,network
36,hpccdgemm,9,16,4,9,cpu
37,hpccdgemm,3,16,1,10,cpu
38,hpccdgemm,5,16,2,6,cpu
39,hpccrandomaccess,1,16,1,6,network
40,hpccrandomaccess,8,16,3,7,network
41,hpccdgemm,1,16,2,7,cpu
42,hpccstream,6,16,1,10,memory
43,hpccfft,0,16,2,8,network
44,hpccrandomaccess,7,16,1,9,network
45,hpccfft,5,16,3,7,network
46,hpccrandomaccess,3,16,4,13,network
47,hpccdgemm,6,16,1,9,cpu
48,hpccrandomaccess,0,16,4,10,network
49,hpccrandomaccess,9,16,4,14,network
50,hpccstream,1,16,1,10,memory
51,hpccptrans,0,16,2,8,network
52,hpccrandomring,6,16,2,9,network
53,hpccptrans,5,16,4,10,network
54,hpccfft,7,16,2,5,network
55,hpccrandomring,9,16,3,13,network
56,hpccrandomaccess,4,16,4,8,network
57,hpccrandomring,0,16,3,9,network
58,hpccdgemm,7,16,3,12,cpu
59,hpccrandomring,3,16,2,11,network
