benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,3,2022-03-30T08:46:53Z,2022-03-30T08:47:00Z,2022-03-30T08:48:43Z,2022-03-30T08:48:43Z,2m33.154096437s,6.46266
hpccfft,5,16,4,4,2022-03-30T08:47:53Z,2022-03-30T08:48:01Z,2022-03-30T08:55:14Z,2022-03-30T08:55:19Z,8m4.35890447s,0.538697
hpccfft,7,16,4,4,2022-03-30T08:47:53Z,2022-03-30T08:48:01Z,2022-03-30T08:55:20Z,2022-03-30T08:55:22Z,8m4.17680959s,0.529172
hpccptrans,5,16,3,3,2022-03-30T08:48:54Z,2022-03-30T08:49:05Z,2022-03-30T08:59:20Z,2022-03-30T08:59:21Z,11m2.195024882s,0.0840686
hpccptrans,1,16,3,3,2022-03-30T08:48:54Z,2022-03-30T08:49:03Z,2022-03-30T08:59:21Z,2022-03-30T08:59:21Z,11m12.125903191s,0.0751946
hpccrandomringbw,1,16,1,1,2022-03-30T08:48:54Z,2022-03-30T08:49:03Z,2022-03-30T08:50:11Z,2022-03-30T08:50:12Z,1m52.55651383s,1.70852
hpccrandomringlat,1,16,1,1,2022-03-30T08:48:54Z,2022-03-30T08:49:03Z,2022-03-30T08:50:11Z,2022-03-30T08:50:12Z,1m52.55651383s,0.315779
hpccdgemm,7,16,3,3,2022-03-30T08:48:54Z,2022-03-30T08:49:06Z,2022-03-30T08:54:52Z,2022-03-30T08:54:54Z,6m42.239149445s,26.3685
hpccdgemm,8,16,3,3,2022-03-30T08:48:55Z,2022-03-30T08:49:05Z,2022-03-30T08:53:55Z,2022-03-30T08:53:57Z,5m43.058046833s,31.1908
hpccptrans,6,16,3,3,2022-03-30T08:49:55Z,2022-03-30T08:50:17Z,2022-03-30T08:59:30Z,2022-03-30T08:59:30Z,10m12.1394636s,0.0885398
hpccrandomringbw,3,16,1,1,2022-03-30T08:49:55Z,2022-03-30T08:50:52Z,2022-03-30T08:52:00Z,2022-03-30T08:52:01Z,2m37.802150579s,1.74071
hpccrandomringlat,3,16,1,1,2022-03-30T08:49:55Z,2022-03-30T08:50:52Z,2022-03-30T08:52:00Z,2022-03-30T08:52:01Z,2m37.802150579s,0.327948
hpccrandomringbw,9,16,2,2,2022-03-30T08:49:56Z,2022-03-30T08:54:41Z,2022-03-30T08:57:19Z,2022-03-30T08:57:21Z,8m1.328621007s,0.0192883
hpccrandomringlat,9,16,2,2,2022-03-30T08:49:56Z,2022-03-30T08:54:41Z,2022-03-30T08:57:19Z,2022-03-30T08:57:21Z,8m1.328621007s,138.648
hpccrandomaccess,3,16,1,1,2022-03-30T08:49:56Z,2022-03-30T08:52:37Z,2022-03-30T08:55:14Z,2022-03-30T08:55:15Z,5m50.497413807s,0.169793
hpccrandomaccess,6,16,2,2,2022-03-30T08:49:56Z,2022-03-30T08:56:02Z,2022-03-30T08:59:37Z,2022-03-30T08:59:37Z,10m20.150087932s,0.026137
hpccstream,6,16,3,3,2022-03-30T08:50:57Z,2022-03-30T08:55:45Z,2022-03-30T08:57:40Z,2022-03-30T08:57:41Z,7m16.486368938s,4.91468
