benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,3,2022-03-30T07:38:19Z,2022-03-30T07:38:24Z,2022-03-30T07:40:15Z,2022-03-30T07:40:15Z,2m37.146398972s,6.42532
hpccfft,5,16,4,4,2022-03-30T07:39:19Z,2022-03-30T07:39:27Z,2022-03-30T07:46:21Z,2022-03-30T07:46:22Z,7m47.379486012s,0.581055
hpccfft,7,16,4,4,2022-03-30T07:39:19Z,2022-03-30T07:39:26Z,2022-03-30T07:46:19Z,2022-03-30T07:46:20Z,7m37.416704012s,0.549266
hpccptrans,5,16,3,3,2022-03-30T07:40:19Z,2022-03-30T07:40:28Z,2022-03-30T07:52:14Z,2022-03-30T07:52:15Z,12m29.211785456s,0.0724309
hpccptrans,1,16,3,3,2022-03-30T07:40:19Z,2022-03-30T07:40:29Z,2022-03-30T07:52:44Z,2022-03-30T07:52:45Z,13m7.914687583s,0.0751374
hpccrandomringbw,1,16,1,1,2022-03-30T07:40:20Z,2022-03-30T07:40:30Z,2022-03-30T07:41:38Z,2022-03-30T07:41:39Z,1m57.543731607s,1.73383
hpccrandomringlat,1,16,1,1,2022-03-30T07:40:20Z,2022-03-30T07:40:30Z,2022-03-30T07:41:38Z,2022-03-30T07:41:39Z,1m57.543731607s,0.520792
hpccdgemm,7,16,3,3,2022-03-30T07:40:20Z,2022-03-30T07:40:29Z,2022-03-30T07:47:15Z,2022-03-30T07:47:16Z,7m36.160595627s,13.6033
hpccdgemm,8,16,3,3,2022-03-30T07:40:20Z,2022-03-30T07:41:00Z,2022-03-30T07:48:04Z,2022-03-30T07:48:06Z,8m26.306465423s,12.9309
hpccptrans,6,16,3,3,2022-03-30T07:41:20Z,2022-03-30T07:46:35Z,2022-03-30T07:55:43Z,2022-03-30T07:55:43Z,15m6.136817181s,0.0847615
hpccrandomringbw,3,16,1,1,2022-03-30T07:41:21Z,2022-03-30T07:42:21Z,2022-03-30T07:43:31Z,2022-03-30T07:43:34Z,2m45.349312161s,1.76269
hpccrandomringlat,3,16,1,1,2022-03-30T07:41:21Z,2022-03-30T07:42:21Z,2022-03-30T07:43:31Z,2022-03-30T07:43:34Z,2m45.349312161s,0.548154
hpccrandomringbw,9,16,2,2,2022-03-30T07:41:22Z,2022-03-30T07:46:55Z,2022-03-30T07:50:51Z,2022-03-30T07:50:52Z,10m5.756808781s,0.0103838
hpccrandomringlat,9,16,2,2,2022-03-30T07:41:22Z,2022-03-30T07:46:55Z,2022-03-30T07:50:51Z,2022-03-30T07:50:52Z,10m5.756808781s,818.442
hpccrandomaccess,3,16,1,1,2022-03-30T07:41:22Z,2022-03-30T07:44:09Z,2022-03-30T07:46:18Z,2022-03-30T07:46:18Z,5m28.62820785s,0.099592
hpccrandomaccess,6,16,2,2,2022-03-30T07:41:22Z,2022-03-30T07:46:59Z,2022-03-30T07:54:47Z,2022-03-30T07:54:47Z,14m4.380564484s,0.0262721
hpccstream,6,16,3,3,2022-03-30T07:42:22Z,2022-03-30T07:48:52Z,2022-03-30T07:50:43Z,2022-03-30T07:50:44Z,9m5.391652792s,7.1469
hpccdgemm,2,16,2,2,2022-03-30T07:42:23Z,2022-03-30T07:47:11Z,2022-03-30T07:53:13Z,2022-03-30T07:53:14Z,11m33.466522658s,12.3239
hpccdgemm,0,16,1,1,2022-03-30T07:42:23Z,2022-03-30T07:53:59Z,2022-03-30T07:58:57Z,2022-03-30T07:58:57Z,17m13.518174747s,16.474
hpccstream,2,16,2,2,2022-03-30T07:42:24Z,2022-03-30T07:51:33Z,2022-03-30T07:53:13Z,2022-03-30T07:53:15Z,11m33.411026702s,6.90069
hpccfft,6,16,1,1,2022-03-30T07:42:25Z,2022-03-30T07:54:03Z,2022-03-30T07:55:29Z,2022-03-30T07:55:30Z,13m42.155296624s,12.6146
hpccrandomringbw,6,16,1,1,2022-03-30T07:43:25Z,2022-03-30T07:54:01Z,2022-03-30T07:55:08Z,2022-03-30T07:55:09Z,12m15.872892213s,1.78034
hpccrandomringlat,6,16,1,1,2022-03-30T07:43:25Z,2022-03-30T07:54:01Z,2022-03-30T07:55:08Z,2022-03-30T07:55:09Z,12m15.872892213s,0.493919
hpccstream,3,16,3,3,2022-03-30T07:43:25Z,2022-03-30T07:51:32Z,2022-03-30T07:53:22Z,2022-03-30T07:53:24Z,10m29.715732859s,7.20799
hpccdgemm,3,16,2,2,2022-03-30T07:43:26Z,2022-03-30T07:53:23Z,2022-03-30T07:59:49Z,2022-03-30T07:59:50Z,17m1.408016124s,13.8625
hpccrandomringbw,4,16,2,2,2022-03-30T07:43:27Z,2022-03-30T07:54:04Z,2022-03-30T07:56:05Z,2022-03-30T07:56:05Z,13m20.140070746s,0.0320781
hpccrandomringlat,4,16,2,2,2022-03-30T07:43:27Z,2022-03-30T07:54:04Z,2022-03-30T07:56:05Z,2022-03-30T07:56:05Z,13m20.140070746s,54.203
hpccrandomaccess,1,16,2,2,2022-03-30T07:43:29Z,2022-03-30T07:55:29Z,2022-03-30T07:59:29Z,2022-03-30T07:59:30Z,16m40.695175562s,0.0239433
hpccdgemm,6,16,3,3,2022-03-30T07:44:27Z,2022-03-30T07:56:32Z,2022-03-30T08:02:34Z,2022-03-30T08:02:34Z,18m49.379264641s,14.3807
hpccfft,3,16,2,2,2022-03-30T07:44:28Z,2022-03-30T07:56:49Z,2022-03-30T08:01:08Z,2022-03-30T08:01:08Z,17m19.197995468s,0.934521
hpccrandomaccess,9,16,4,4,2022-03-30T07:44:27Z,2022-03-30T07:54:42Z,2022-03-30T07:57:57Z,2022-03-30T07:57:57Z,14m9.716118678s,0.0220577
hpccrandomringbw,7,16,1,1,2022-03-30T07:44:29Z,2022-03-30T07:56:27Z,2022-03-30T07:57:35Z,2022-03-30T07:57:35Z,13m48.349138392s,1.7588
hpccrandomringlat,7,16,1,1,2022-03-30T07:44:29Z,2022-03-30T07:56:27Z,2022-03-30T07:57:35Z,2022-03-30T07:57:35Z,13m48.349138392s,0.50167
hpccfft,2,16,4,4,2022-03-30T07:44:28Z,2022-03-30T07:48:01Z,2022-03-30T07:53:57Z,2022-03-30T07:53:58Z,10m8.501542164s,0.444086
hpccdgemm,9,16,1,1,2022-03-30T07:44:29Z,2022-03-30T07:56:10Z,2022-03-30T07:59:59Z,2022-03-30T08:00:01Z,16m8.394664867s,22.736
hpccdgemm,1,16,1,1,2022-03-30T07:44:30Z,2022-03-30T07:58:19Z,2022-03-30T08:02:27Z,2022-03-30T08:02:27Z,18m39.401832128s,21.4259
hpccfft,1,16,1,1,2022-03-30T07:44:30Z,2022-03-30T07:59:41Z,2022-03-30T08:01:09Z,2022-03-30T08:01:09Z,17m17.142900986s,11.7137
hpccptrans,7,16,3,3,2022-03-30T07:44:32Z,2022-03-30T08:00:22Z,2022-03-30T08:07:27Z,2022-03-30T08:07:28Z,23m37.09780312s,0.144989
hpccptrans,2,16,1,1,2022-03-30T07:44:33Z,2022-03-30T08:00:39Z,2022-03-30T08:02:21Z,2022-03-30T08:02:21Z,18m27.640058458s,7.08582
hpccrandomaccess,7,16,4,4,2022-03-30T07:45:30Z,2022-03-30T07:58:41Z,2022-03-30T08:03:50Z,2022-03-30T08:03:53Z,18m56.394082062s,0.0225266
hpccdgemm,5,16,3,3,2022-03-30T07:45:30Z,2022-03-30T08:03:11Z,2022-03-30T08:10:21Z,2022-03-30T08:10:21Z,25m26.139706685s,11.2688
hpccptrans,3,16,1,1,2022-03-30T07:46:31Z,2022-03-30T08:03:20Z,2022-03-30T08:05:02Z,2022-03-30T08:05:02Z,19m5.096066747s,7.82288
hpccrandomringbw,0,16,1,1,2022-03-30T07:46:31Z,2022-03-30T08:03:21Z,2022-03-30T08:04:30Z,2022-03-30T08:04:33Z,18m31.89531617s,1.6967
hpccrandomringlat,0,16,1,1,2022-03-30T07:46:31Z,2022-03-30T08:03:21Z,2022-03-30T08:04:30Z,2022-03-30T08:04:33Z,18m31.89531617s,0.523729
hpccstream,8,16,1,1,2022-03-30T07:46:32Z,2022-03-30T08:04:11Z,2022-03-30T08:05:48Z,2022-03-30T08:05:49Z,19m49.254437073s,4.23557
hpccfft,0,16,1,1,2022-03-30T07:46:31Z,2022-03-30T08:01:51Z,2022-03-30T08:03:20Z,2022-03-30T08:03:21Z,17m25.575828053s,11.939
hpccptrans,4,16,2,2,2022-03-30T07:46:32Z,2022-03-30T08:00:29Z,2022-03-30T08:06:23Z,2022-03-30T08:06:23Z,20m35.442254098s,0.200281
hpccstream,1,16,2,2,2022-03-30T07:46:33Z,2022-03-30T08:05:07Z,2022-03-30T08:06:45Z,2022-03-30T08:06:47Z,20m54.582018584s,5.96121
hpccptrans,0,16,2,2,2022-03-30T07:46:34Z,2022-03-30T08:05:41Z,2022-03-30T08:12:41Z,2022-03-30T08:12:42Z,26m44.491363331s,0.130996
hpccrandomaccess,5,16,3,3,2022-03-30T07:46:33Z,2022-03-30T08:04:31Z,2022-03-30T08:09:44Z,2022-03-30T08:09:44Z,23m54.091754717s,0.0235365
hpccstream,0,16,2,2,2022-03-30T07:46:33Z,2022-03-30T08:01:50Z,2022-03-30T08:03:31Z,2022-03-30T08:03:34Z,17m34.254435462s,7.20223
hpccrandomaccess,2,16,2,2,2022-03-30T07:47:32Z,2022-03-30T08:07:09Z,2022-03-30T08:19:08Z,2022-03-30T08:19:09Z,32m14.396720569s,0.024901
hpccstream,7,16,3,3,2022-03-30T07:47:33Z,2022-03-30T08:15:32Z,2022-03-30T08:17:19Z,2022-03-30T08:17:21Z,30m24.220507373s,7.05386
hpccrandomaccess,4,16,1,1,2022-03-30T07:47:33Z,2022-03-30T08:10:20Z,2022-03-30T08:12:07Z,2022-03-30T08:12:07Z,25m13.33163868s,0.0874617
hpccrandomringbw,2,16,2,2,2022-03-30T07:47:33Z,2022-03-30T08:08:02Z,2022-03-30T08:10:22Z,2022-03-30T08:10:22Z,23m23.154203586s,0.0199342
hpccrandomringlat,2,16,2,2,2022-03-30T07:47:33Z,2022-03-30T08:08:02Z,2022-03-30T08:10:22Z,2022-03-30T08:10:22Z,23m23.154203586s,77.2691
hpccdgemm,4,16,3,3,2022-03-30T07:47:33Z,2022-03-30T08:07:30Z,2022-03-30T08:14:13Z,2022-03-30T08:14:14Z,27m23.527062723s,11.4632
hpccfft,4,16,2,2,2022-03-30T07:47:33Z,2022-03-30T08:06:23Z,2022-03-30T08:11:53Z,2022-03-30T08:11:53Z,25m3.511852398s,0.572349
hpccstream,4,16,1,1,2022-03-30T07:47:33Z,2022-03-30T08:13:21Z,2022-03-30T08:14:54Z,2022-03-30T08:14:55Z,27m54.620005009s,5.12764
hpccstream,5,16,1,1,2022-03-30T07:47:34Z,2022-03-30T08:14:37Z,2022-03-30T08:16:14Z,2022-03-30T08:16:15Z,29m13.858251584s,4.8714
hpccrandomaccess,8,16,3,3,2022-03-30T07:47:34Z,2022-03-30T08:14:51Z,2022-03-30T08:22:44Z,2022-03-30T08:22:44Z,35m43.628031993s,0.0222441
hpccrandomringbw,5,16,3,3,2022-03-30T07:47:34Z,2022-03-30T08:16:49Z,2022-03-30T08:22:00Z,2022-03-30T08:22:00Z,35m3.14796216s,0.0110702
hpccrandomringlat,5,16,3,3,2022-03-30T07:47:34Z,2022-03-30T08:16:49Z,2022-03-30T08:22:00Z,2022-03-30T08:22:00Z,35m3.14796216s,2480.94
hpccrandomringbw,8,16,1,1,2022-03-30T07:47:34Z,2022-03-30T08:12:51Z,2022-03-30T08:13:58Z,2022-03-30T08:13:59Z,26m56.649224846s,1.76395
hpccrandomringlat,8,16,1,1,2022-03-30T07:47:34Z,2022-03-30T08:12:51Z,2022-03-30T08:13:58Z,2022-03-30T08:13:59Z,26m56.649224846s,0.512498
hpccfft,8,16,3,3,2022-03-30T07:47:34Z,2022-03-30T08:10:24Z,2022-03-30T08:16:03Z,2022-03-30T08:16:03Z,29m12.292995957s,0.586838
hpccptrans,9,16,4,4,2022-03-30T07:49:34Z,2022-03-30T08:11:00Z,2022-03-30T08:19:20Z,2022-03-30T08:19:21Z,30m22.626127672s,0.132655
hpccfft,9,16,3,3,2022-03-30T07:50:35Z,2022-03-30T08:16:52Z,2022-03-30T08:22:13Z,2022-03-30T08:22:13Z,32m21.117675814s,0.567876
hpccrandomaccess,0,16,4,4,2022-03-30T07:52:35Z,2022-03-30T08:18:01Z,2022-03-30T08:22:49Z,2022-03-30T08:22:49Z,30m51.14609149s,0.0238202
hpccptrans,8,16,2,2,2022-03-30T07:53:37Z,2022-03-30T08:11:00Z,2022-03-30T08:20:15Z,2022-03-30T08:20:16Z,27m19.400600774s,0.114547
