benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,3,2022-03-27T20:25:14Z,2022-03-27T20:25:19Z,2022-03-27T20:26:55Z,2022-03-27T20:26:55Z,2m22.143557597s,6.57928
hpccfft,5,16,4,4,2022-03-27T20:26:14Z,2022-03-27T20:26:19Z,2022-03-27T20:32:39Z,2022-03-27T20:32:40Z,7m2.330590617s,0.630043
hpccfft,7,16,4,4,2022-03-27T20:26:14Z,2022-03-27T20:26:20Z,2022-03-27T20:33:52Z,2022-03-27T20:33:53Z,8m23.827479802s,0.518109
hpccptrans,5,16,3,3,2022-03-27T20:27:14Z,2022-03-27T20:27:19Z,2022-03-27T20:39:11Z,2022-03-27T20:39:13Z,12m32.092210573s,0.0782753
hpccptrans,1,16,3,3,2022-03-27T20:27:14Z,2022-03-27T20:27:22Z,2022-03-27T20:39:46Z,2022-03-27T20:39:46Z,13m12.106319496s,0.0785292
hpccrandomringbw,1,16,1,1,2022-03-27T20:27:15Z,2022-03-27T20:27:21Z,2022-03-27T20:28:26Z,2022-03-27T20:28:26Z,1m43.850637263s,1.83127
hpccrandomringlat,1,16,1,1,2022-03-27T20:27:15Z,2022-03-27T20:27:21Z,2022-03-27T20:28:26Z,2022-03-27T20:28:26Z,1m43.850637263s,0.472749
hpccdgemm,7,16,3,3,2022-03-27T20:27:15Z,2022-03-27T20:27:22Z,2022-03-27T20:34:54Z,2022-03-27T20:34:56Z,8m21.438720671s,11.4353
hpccdgemm,8,16,3,3,2022-03-27T20:27:16Z,2022-03-27T20:27:28Z,2022-03-27T20:33:51Z,2022-03-27T20:33:52Z,7m11.405601753s,13.6743
hpccptrans,6,16,3,3,2022-03-27T20:28:15Z,2022-03-27T20:29:03Z,2022-03-27T20:38:01Z,2022-03-27T20:38:02Z,10m21.708151244s,0.0889313
hpccrandomringbw,3,16,1,1,2022-03-27T20:28:16Z,2022-03-27T20:38:37Z,2022-03-27T20:39:41Z,2022-03-27T20:39:41Z,12m0.613692542s,1.61677
hpccrandomringlat,3,16,1,1,2022-03-27T20:28:16Z,2022-03-27T20:38:37Z,2022-03-27T20:39:41Z,2022-03-27T20:39:41Z,12m0.613692542s,0.502474
hpccrandomringbw,9,16,2,2,2022-03-27T20:28:17Z,2022-03-27T20:34:43Z,2022-03-27T20:39:18Z,2022-03-27T20:39:19Z,11m40.101923649s,0.0073871
hpccrandomringlat,9,16,2,2,2022-03-27T20:28:17Z,2022-03-27T20:34:43Z,2022-03-27T20:39:18Z,2022-03-27T20:39:19Z,11m40.101923649s,139.229
hpccrandomaccess,3,16,1,1,2022-03-27T20:28:17Z,2022-03-27T20:40:19Z,2022-03-27T20:42:24Z,2022-03-27T20:42:24Z,14m40.381921303s,0.0552938
hpccrandomaccess,6,16,2,2,2022-03-27T20:28:17Z,2022-03-27T20:40:09Z,2022-03-27T20:43:49Z,2022-03-27T20:43:50Z,16m9.089097313s,0.0232284
hpccstream,6,16,3,3,2022-03-27T20:29:18Z,2022-03-27T20:34:44Z,2022-03-27T20:36:14Z,2022-03-27T20:36:15Z,7m29.47788221s,7.06878
hpccdgemm,2,16,2,2,2022-03-27T20:29:19Z,2022-03-27T20:40:25Z,2022-03-27T20:45:48Z,2022-03-27T20:45:48Z,17m2.947790059s,14.4639
hpccdgemm,0,16,1,1,2022-03-27T20:29:19Z,2022-03-27T20:40:17Z,2022-03-27T20:44:43Z,2022-03-27T20:44:43Z,16m8.141222255s,19.2809
hpccstream,2,16,2,2,2022-03-27T20:29:20Z,2022-03-27T20:40:29Z,2022-03-27T20:42:03Z,2022-03-27T20:42:04Z,13m27.181985005s,6.51021
hpccfft,6,16,1,1,2022-03-27T20:29:22Z,2022-03-27T20:42:58Z,2022-03-27T20:44:26Z,2022-03-27T20:44:26Z,15m39.083928259s,9.10873
hpccrandomringbw,6,16,1,1,2022-03-27T20:30:21Z,2022-03-27T20:44:44Z,2022-03-27T20:45:50Z,2022-03-27T20:45:51Z,16m5.133135592s,1.7401
hpccrandomringlat,6,16,1,1,2022-03-27T20:30:21Z,2022-03-27T20:44:44Z,2022-03-27T20:45:50Z,2022-03-27T20:45:51Z,16m5.133135592s,0.517803
hpccstream,3,16,3,3,2022-03-27T20:30:21Z,2022-03-27T20:35:40Z,2022-03-27T20:37:24Z,2022-03-27T20:37:25Z,7m45.271358533s,6.88704
hpccdgemm,3,16,2,2,2022-03-27T20:30:22Z,2022-03-27T20:42:48Z,2022-03-27T20:47:04Z,2022-03-27T20:47:04Z,17m14.911387803s,21.4949
hpccrandomringbw,4,16,2,2,2022-03-27T20:30:24Z,2022-03-27T20:44:37Z,2022-03-27T20:46:29Z,2022-03-27T20:46:29Z,16m43.111825104s,0.0249361
hpccrandomringlat,4,16,2,2,2022-03-27T20:30:24Z,2022-03-27T20:44:37Z,2022-03-27T20:46:29Z,2022-03-27T20:46:29Z,16m43.111825104s,59.3067
hpccrandomaccess,1,16,2,2,2022-03-27T20:30:26Z,2022-03-27T20:45:03Z,2022-03-27T20:48:05Z,2022-03-27T20:48:05Z,18m23.266922896s,0.0268251
hpccdgemm,6,16,3,3,2022-03-27T20:31:24Z,2022-03-27T20:36:50Z,2022-03-27T20:44:19Z,2022-03-27T20:44:19Z,13m32.109821259s,13.4842
hpccfft,3,16,2,2,2022-03-27T20:31:26Z,2022-03-27T20:45:02Z,2022-03-27T20:46:31Z,2022-03-27T20:46:31Z,15m41.18129709s,11.9095
