benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,16,2022-03-30T09:43:09Z,2022-03-30T09:43:24Z,2022-03-30T09:46:42Z,2022-03-30T09:46:44Z,4m24.571675529s,4.81813
hpccfft,5,16,4,4,2022-03-30T09:44:09Z,2022-03-30T09:44:17Z,2022-03-30T09:51:12Z,2022-03-30T09:51:12Z,7m47.191147918s,0.589795
hpccfft,7,16,4,4,2022-03-30T09:44:09Z,2022-03-30T09:44:16Z,2022-03-30T09:51:11Z,2022-03-30T09:51:11Z,7m37.583635491s,0.574648
hpccptrans,5,16,3,3,2022-03-30T09:45:09Z,2022-03-30T09:45:18Z,2022-03-30T09:55:16Z,2022-03-30T09:55:16Z,10m47.529770108s,0.0776199
hpccptrans,1,16,3,3,2022-03-30T09:45:09Z,2022-03-30T09:45:25Z,2022-03-30T09:55:12Z,2022-03-30T09:55:12Z,10m47.575309766s,0.0880401
hpccrandomringbw,1,16,1,1,2022-03-30T09:45:10Z,2022-03-30T09:45:18Z,2022-03-30T09:46:26Z,2022-03-30T09:46:26Z,1m56.559186619s,1.60441
hpccrandomringlat,1,16,1,1,2022-03-30T09:45:10Z,2022-03-30T09:45:18Z,2022-03-30T09:46:26Z,2022-03-30T09:46:26Z,1m56.559186619s,0.534806
hpccdgemm,7,16,3,16,2022-03-30T09:45:10Z,2022-03-30T09:47:36Z,2022-03-30T09:51:51Z,2022-03-30T09:51:51Z,7m34.110339465s,36.7272
hpccdgemm,8,16,3,16,2022-03-30T09:45:10Z,2022-03-30T09:45:37Z,2022-03-30T09:50:34Z,2022-03-30T09:50:35Z,6m10.321364678s,34.9691
hpccptrans,6,16,3,3,2022-03-30T09:46:10Z,2022-03-30T09:52:19Z,2022-03-30T09:58:41Z,2022-03-30T09:58:41Z,13m6.148197852s,0.144639
hpccrandomringbw,3,16,1,1,2022-03-30T09:46:11Z,2022-03-30T09:52:20Z,2022-03-30T09:53:29Z,2022-03-30T09:53:29Z,7m55.480751931s,1.54132
