benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,16,2022-03-29T19:50:04Z,2022-03-29T19:50:19Z,2022-03-29T19:53:57Z,2022-03-29T19:53:59Z,4m35.143039708s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccstream-9-output/hpccoutf.txt: Permission denied
hpccfft,5,16,4,4,2022-03-29T19:51:04Z,2022-03-29T19:51:11Z,2022-03-29T19:58:36Z,2022-03-29T19:58:41Z,8m15.198141396s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccfft-5-output/hpccoutf.txt: Permission denied
hpccfft,7,16,4,4,2022-03-29T19:51:04Z,2022-03-29T19:51:12Z,2022-03-29T19:58:03Z,2022-03-29T19:58:04Z,7m42.673048207s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccfft-7-output/hpccoutf.txt: Permission denied
hpccptrans,5,16,3,3,2022-03-29T19:52:04Z,2022-03-29T19:52:24Z,2022-03-29T20:03:41Z,2022-03-29T20:03:42Z,12m12.630222806s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccptrans-5-output/hpccoutf.txt: Permission denied
hpccptrans,1,16,3,3,2022-03-29T19:52:05Z,2022-03-29T19:52:21Z,2022-03-29T20:04:04Z,2022-03-29T20:04:05Z,12m41.094690481s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccptrans-1-output/hpccoutf.txt: Permission denied
hpccrandomringbw,1,16,1,1,2022-03-29T19:52:05Z,2022-03-29T20:03:16Z,2022-03-29T20:04:21Z,2022-03-29T20:04:22Z,12m51.147471253s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccrandomring-1-output/hpccoutf.txt: Permission denied
hpccrandomringlat,1,16,1,1,2022-03-29T19:52:05Z,2022-03-29T20:03:16Z,2022-03-29T20:04:21Z,2022-03-29T20:04:22Z,12m51.147471253s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccrandomring-1-output/hpccoutf.txt: Permission denied
hpccdgemm,7,16,3,16,2022-03-29T19:52:05Z,2022-03-29T19:52:25Z,2022-03-29T20:01:56Z,2022-03-29T20:01:57Z,10m34.362701415s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccdgemm-7-output/hpccoutf.txt: Permission denied
hpccdgemm,8,16,3,16,2022-03-29T19:52:05Z,2022-03-29T19:52:34Z,2022-03-29T20:02:28Z,2022-03-29T20:02:30Z,11m13.159071526s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccdgemm-8-output/hpccoutf.txt: Permission denied
hpccptrans,6,16,3,3,2022-03-29T19:53:05Z,2022-03-29T19:54:44Z,2022-03-29T20:04:47Z,2022-03-29T20:04:47Z,12m21.110583888s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccrandomaccess-3-output/hpccoutf.txt: Permission denied
hpccrandomringbw,3,16,1,1,2022-03-29T19:53:06Z,2022-03-29T20:02:51Z,2022-03-29T20:03:58Z,2022-03-29T20:03:58Z,11m24.749342438s,grep: /gpfs/bsc_home/xpliu/pv/scanflow-output/hpccptrans-6-output/hpccoutf.txt: Permission denied
