benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,16,2022-03-28T07:44:37Z,2022-03-28T07:44:47Z,2022-03-28T07:47:16Z,2022-03-28T07:47:18Z,3m21.588764251s,7.56116
hpccfft,5,16,4,4,2022-03-28T07:45:38Z,2022-03-28T07:45:43Z,2022-03-28T07:53:18Z,2022-03-28T07:53:21Z,8m18.263275449s,0.504641
hpccfft,7,16,4,4,2022-03-28T07:45:38Z,2022-03-28T07:45:44Z,2022-03-28T07:53:07Z,2022-03-28T07:53:09Z,8m8.488199943s,0.538354
hpccptrans,5,16,3,3,2022-03-28T07:46:38Z,2022-03-28T07:47:02Z,2022-03-28T07:59:27Z,2022-03-28T07:59:27Z,13m28.148221378s,0.062168
hpccptrans,1,16,3,3,2022-03-28T07:46:38Z,2022-03-28T07:46:59Z,2022-03-28T07:59:27Z,2022-03-28T07:59:27Z,13m28.139385675s,0.0695755
hpccrandomringbw,1,16,1,1,2022-03-28T07:46:38Z,2022-03-28T07:46:53Z,2022-03-28T07:47:55Z,2022-03-28T07:47:56Z,1m58.499144002s,1.78897
hpccrandomringlat,1,16,1,1,2022-03-28T07:46:38Z,2022-03-28T07:46:53Z,2022-03-28T07:47:55Z,2022-03-28T07:47:56Z,1m58.499144002s,0.516957
hpccdgemm,7,16,3,16,2022-03-28T07:46:39Z,2022-03-28T07:46:59Z,2022-03-28T07:54:45Z,2022-03-28T07:54:46Z,8m52.777499509s,10.6969
hpccdgemm,8,16,3,16,2022-03-28T07:46:39Z,2022-03-28T07:47:05Z,2022-03-28T07:54:53Z,2022-03-28T07:54:53Z,8m58.666433143s,11.2454
hpccptrans,6,16,3,3,2022-03-28T07:47:39Z,2022-03-28T07:48:40Z,2022-03-28T07:59:28Z,2022-03-28T07:59:29Z,12m27.126458329s,0.0918458
hpccrandomringbw,3,16,1,1,2022-03-28T07:47:40Z,2022-03-28T07:55:39Z,2022-03-28T07:56:49Z,2022-03-28T07:56:50Z,9m46.167537974s,1.88918
hpccrandomringlat,3,16,1,1,2022-03-28T07:47:40Z,2022-03-28T07:55:39Z,2022-03-28T07:56:49Z,2022-03-28T07:56:50Z,9m46.167537974s,0.486777
hpccrandomringbw,9,16,2,2,2022-03-28T07:47:41Z,2022-03-28T07:55:31Z,2022-03-28T07:59:04Z,2022-03-28T07:59:05Z,12m6.097043221s,0.0128066
hpccrandomringlat,9,16,2,2,2022-03-28T07:47:41Z,2022-03-28T07:55:31Z,2022-03-28T07:59:04Z,2022-03-28T07:59:05Z,12m6.097043221s,73.8415
hpccrandomaccess,3,16,1,1,2022-03-28T07:47:40Z,2022-03-28T07:55:40Z,2022-03-28T07:57:54Z,2022-03-28T07:57:55Z,10m47.129196889s,0.0898673
hpccrandomaccess,6,16,2,2,2022-03-28T07:47:41Z,2022-03-28T07:53:53Z,2022-03-28T08:00:02Z,2022-03-28T08:00:02Z,13m5.096366469s,0.0270445
hpccstream,6,16,3,16,2022-03-28T07:48:43Z,2022-03-28T07:48:56Z,2022-03-28T07:50:59Z,2022-03-28T07:51:07Z,2m57.288992972s,7.65517
hpccdgemm,2,16,2,16,2022-03-28T07:48:45Z,2022-03-28T08:04:03Z,2022-03-28T08:13:50Z,2022-03-28T08:13:51Z,25m46.009445671s,7.69325
hpccdgemm,0,16,1,16,2022-03-28T07:48:44Z,2022-03-28T07:51:58Z,2022-03-28T07:58:43Z,2022-03-28T07:58:45Z,10m44.003175207s,12.3599
hpccstream,2,16,2,16,2022-03-28T07:48:46Z,2022-03-28T08:04:14Z,2022-03-28T08:06:15Z,2022-03-28T08:06:15Z,18m12.889220724s,4.85941
hpccfft,6,16,1,1,2022-03-28T07:48:49Z,2022-03-28T08:03:59Z,2022-03-28T08:05:20Z,2022-03-28T08:05:20Z,17m7.309803772s,9.74727
hpccrandomringbw,6,16,1,1,2022-03-28T07:49:45Z,2022-03-28T08:04:08Z,2022-03-28T08:04:43Z,2022-03-28T08:04:43Z,15m41.093812084s,1.75995
hpccrandomringlat,6,16,1,1,2022-03-28T07:49:45Z,2022-03-28T08:04:08Z,2022-03-28T08:04:43Z,2022-03-28T08:04:43Z,15m41.093812084s,0.505335
hpccstream,3,16,3,16,2022-03-28T07:49:46Z,2022-03-28T08:04:17Z,2022-03-28T08:06:26Z,2022-03-28T08:06:26Z,17m20.199762154s,6.20812
hpccdgemm,3,16,2,16,2022-03-28T07:49:47Z,2022-03-28T08:04:16Z,2022-03-28T08:13:44Z,2022-03-28T08:13:46Z,24m43.434159266s,7.5157
hpccrandomringbw,4,16,2,2,2022-03-28T07:49:48Z,2022-03-28T08:04:16Z,2022-03-28T08:05:21Z,2022-03-28T08:05:21Z,16m9.108178652s,0.0236026
hpccrandomringlat,4,16,2,2,2022-03-28T07:49:48Z,2022-03-28T08:04:16Z,2022-03-28T08:05:21Z,2022-03-28T08:05:21Z,16m9.108178652s,58.8543
hpccrandomaccess,1,16,2,2,2022-03-28T07:49:50Z,2022-03-28T08:08:48Z,2022-03-28T08:15:30Z,2022-03-28T08:15:30Z,26m18.093651507s,0.0235971
hpccdgemm,6,16,3,16,2022-03-28T07:50:50Z,2022-03-28T08:04:18Z,2022-03-28T08:14:18Z,2022-03-28T08:14:18Z,24m18.126453175s,7.63424
hpccfft,3,16,2,2,2022-03-28T07:50:52Z,2022-03-28T08:08:47Z,2022-03-28T08:15:08Z,2022-03-28T08:15:08Z,24m57.146477193s,0.393655
hpccrandomaccess,9,16,4,4,2022-03-28T07:50:50Z,2022-03-28T08:08:49Z,2022-03-28T08:15:38Z,2022-03-28T08:15:38Z,25m26.141829514s,0.0229666
hpccrandomringbw,7,16,1,1,2022-03-28T07:50:53Z,2022-03-28T08:19:06Z,2022-03-28T08:20:03Z,2022-03-28T08:20:03Z,29m55.364395685s,1.77283
hpccrandomringlat,7,16,1,1,2022-03-28T07:50:53Z,2022-03-28T08:19:06Z,2022-03-28T08:20:03Z,2022-03-28T08:20:03Z,29m55.364395685s,0.514255
hpccfft,2,16,4,4,2022-03-28T07:50:51Z,2022-03-28T08:08:54Z,2022-03-28T08:14:17Z,2022-03-28T08:14:17Z,24m5.640040989s,0.536186
hpccdgemm,9,16,1,16,2022-03-28T07:51:01Z,2022-03-28T08:19:32Z,2022-03-28T08:28:07Z,2022-03-28T08:28:07Z,38m13.043255615s,8.55562
hpccdgemm,1,16,1,16,2022-03-28T07:50:56Z,2022-03-28T08:08:53Z,2022-03-28T08:19:03Z,2022-03-28T08:19:03Z,28m55.688239921s,8.56484
hpccfft,1,16,1,1,2022-03-28T07:51:02Z,2022-03-28T08:19:15Z,2022-03-28T08:20:26Z,2022-03-28T08:20:27Z,30m5.676265527s,10.7575
hpccptrans,7,16,3,3,2022-03-28T07:51:04Z,2022-03-28T08:19:18Z,2022-03-28T08:23:50Z,2022-03-28T08:23:50Z,33m32.093404581s,0.212876
hpccptrans,2,16,1,1,2022-03-28T07:51:06Z,2022-03-28T08:19:16Z,2022-03-28T08:21:00Z,2022-03-28T08:21:01Z,30m39.145629761s,3.48288
hpccrandomaccess,7,16,4,4,2022-03-28T07:51:55Z,2022-03-28T08:19:28Z,2022-03-28T08:23:41Z,2022-03-28T08:23:42Z,32m31.142917815s,0.0232942
hpccdgemm,5,16,3,16,2022-03-28T07:51:55Z,2022-03-28T08:19:31Z,2022-03-28T08:28:13Z,2022-03-28T08:28:13Z,37m1.193274973s,8.5929
hpccptrans,3,16,1,1,2022-03-28T07:52:56Z,2022-03-28T08:23:57Z,2022-03-28T08:25:56Z,2022-03-28T08:25:56Z,33m33.38522255s,3.23863
hpccrandomringbw,0,16,1,1,2022-03-28T07:52:56Z,2022-03-28T08:24:13Z,2022-03-28T08:25:04Z,2022-03-28T08:25:04Z,32m40.203703314s,1.80977
hpccrandomringlat,0,16,1,1,2022-03-28T07:52:56Z,2022-03-28T08:24:13Z,2022-03-28T08:25:04Z,2022-03-28T08:25:04Z,32m40.203703314s,0.506757
hpccstream,8,16,1,16,2022-03-28T07:52:57Z,2022-03-28T08:24:19Z,2022-03-28T08:26:37Z,2022-03-28T08:26:37Z,34m25.260397347s,5.00177
hpccfft,0,16,1,1,2022-03-28T07:52:57Z,2022-03-28T08:29:29Z,2022-03-28T08:30:36Z,2022-03-28T08:30:38Z,38m19.347683158s,12.5801
hpccptrans,4,16,2,2,2022-03-28T07:52:57Z,2022-03-28T08:29:32Z,2022-03-28T08:36:11Z,2022-03-28T08:36:11Z,43m49.877917144s,0.148348
hpccstream,1,16,2,16,2022-03-28T07:52:58Z,2022-03-28T08:29:39Z,2022-03-28T08:31:46Z,2022-03-28T08:31:47Z,39m29.426584051s,6.23693
hpccptrans,0,16,2,2,2022-03-28T07:53:00Z,2022-03-28T08:29:37Z,2022-03-28T08:36:00Z,2022-03-28T08:36:00Z,43m38.238986626s,0.18754
hpccrandomaccess,5,16,3,3,2022-03-28T07:52:59Z,2022-03-28T08:29:33Z,2022-03-28T08:36:40Z,2022-03-28T08:36:41Z,44m18.110453469s,0.0252188
hpccstream,0,16,2,16,2022-03-28T07:53:00Z,2022-03-28T08:29:38Z,2022-03-28T08:31:37Z,2022-03-28T08:31:38Z,39m19.304461542s,5.17021
hpccrandomaccess,2,16,2,2,2022-03-28T07:54:00Z,2022-03-28T08:29:25Z,2022-03-28T08:32:22Z,2022-03-28T08:32:22Z,38m56.192013834s,0.0219102
hpccstream,7,16,3,16,2022-03-28T07:54:02Z,2022-03-28T08:29:41Z,2022-03-28T08:32:00Z,2022-03-28T08:32:01Z,38m46.392242144s,7.53296
hpccrandomaccess,4,16,1,1,2022-03-28T07:54:01Z,2022-03-28T08:35:20Z,2022-03-28T08:37:13Z,2022-03-28T08:37:16Z,43m55.375095975s,0.158291
hpccrandomringbw,2,16,2,2,2022-03-28T07:54:02Z,2022-03-28T08:35:19Z,2022-03-28T08:36:55Z,2022-03-28T08:36:56Z,43m35.24233247s,0.0272907
hpccrandomringlat,2,16,2,2,2022-03-28T07:54:02Z,2022-03-28T08:35:19Z,2022-03-28T08:36:55Z,2022-03-28T08:36:56Z,43m35.24233247s,56.1383
hpccdgemm,4,16,3,16,2022-03-28T07:54:03Z,2022-03-28T08:35:34Z,2022-03-28T08:44:24Z,2022-03-28T08:44:24Z,51m5.174482678s,9.63381
hpccfft,4,16,2,2,2022-03-28T07:54:03Z,2022-03-28T08:35:42Z,2022-03-28T08:40:43Z,2022-03-28T08:40:44Z,47m24.590973187s,0.915504
hpccstream,4,16,1,16,2022-03-28T07:54:04Z,2022-03-28T08:38:25Z,2022-03-28T08:40:11Z,2022-03-28T08:40:13Z,46m54.605969238s,4.32907
hpccstream,5,16,1,16,2022-03-28T07:54:04Z,2022-03-28T08:35:45Z,2022-03-28T08:38:04Z,2022-03-28T08:38:05Z,44m46.868263922s,4.86819
hpccrandomaccess,8,16,3,3,2022-03-28T07:54:05Z,2022-03-28T08:36:52Z,2022-03-28T08:44:32Z,2022-03-28T08:44:33Z,51m4.432382045s,0.0257593
hpccrandomringbw,5,16,3,3,2022-03-28T07:54:05Z,2022-03-28T08:38:16Z,2022-03-28T08:43:07Z,2022-03-28T08:43:07Z,49m42.148173147s,0.0218257
hpccrandomringlat,5,16,3,3,2022-03-28T07:54:05Z,2022-03-28T08:38:16Z,2022-03-28T08:43:07Z,2022-03-28T08:43:07Z,49m42.148173147s,3234.51
hpccrandomringbw,8,16,1,1,2022-03-28T07:54:05Z,2022-03-28T08:38:52Z,2022-03-28T08:39:57Z,2022-03-28T08:39:58Z,46m25.204826874s,1.71346
hpccrandomringlat,8,16,1,1,2022-03-28T07:54:05Z,2022-03-28T08:38:52Z,2022-03-28T08:39:57Z,2022-03-28T08:39:58Z,46m25.204826874s,0.524148
hpccfft,8,16,3,3,2022-03-28T07:54:04Z,2022-03-28T08:36:39Z,2022-03-28T08:42:51Z,2022-03-28T08:42:51Z,49m22.399955819s,0.426473
hpccptrans,9,16,4,4,2022-03-28T07:56:05Z,2022-03-28T08:38:26Z,2022-03-28T08:45:19Z,2022-03-28T08:45:19Z,49m51.162996081s,0.0963245
hpccfft,9,16,3,3,2022-03-28T07:57:05Z,2022-03-28T08:45:14Z,2022-03-28T08:50:01Z,2022-03-28T08:50:02Z,53m31.652588494s,0.623658
hpccrandomaccess,0,16,4,4,2022-03-28T07:59:06Z,2022-03-28T08:45:14Z,2022-03-28T08:52:03Z,2022-03-28T08:52:03Z,53m40.146128557s,0.0253227
hpccptrans,8,16,2,2,2022-03-28T08:00:06Z,2022-03-28T08:45:13Z,2022-03-28T08:52:00Z,2022-03-28T08:52:00Z,52m30.098737427s,0.130264
