benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,3,2022-03-15T00:20:31Z,2022-03-15T00:20:36Z,2022-03-15T00:22:08Z,2022-03-15T00:22:08Z,2m14.639216895s,6.48257
hpccfft,5,16,4,4,2022-03-15T00:21:31Z,2022-03-15T01:22:58Z,2022-03-15T01:26:23Z,2022-03-15T01:26:23Z,1h5m34.639640175s,1.24524
hpccfft,7,16,4,4,2022-03-15T00:21:31Z,2022-03-15T01:27:09Z,2022-03-15T01:30:35Z,2022-03-15T01:30:35Z,1h9m37.351877238s,1.24922
hpccptrans,5,16,3,3,2022-03-15T00:22:32Z,2022-03-15T00:46:08Z,2022-03-15T00:51:06Z,2022-03-15T00:51:06Z,29m7.608021058s,0.234415
hpccptrans,1,16,3,3,2022-03-15T00:22:32Z,2022-03-15T00:22:48Z,2022-03-15T00:27:35Z,2022-03-15T00:27:35Z,5m43.65326053s,0.292694
hpccrandomringbw,1,16,1,1,2022-03-15T00:22:32Z,2022-03-15T00:22:36Z,2022-03-15T00:23:41Z,2022-03-15T00:23:41Z,1m43.783240565s,1.78077
hpccrandomringlat,1,16,1,1,2022-03-15T00:22:32Z,2022-03-15T00:22:36Z,2022-03-15T00:23:41Z,2022-03-15T00:23:41Z,1m43.783240565s,0.318519
hpccdgemm,7,16,3,3,2022-03-15T00:22:32Z,2022-03-15T00:51:40Z,2022-03-15T00:54:47Z,2022-03-15T00:54:47Z,32m53.650880461s,32.6235
hpccdgemm,8,16,3,3,2022-03-15T00:22:33Z,2022-03-15T01:13:18Z,2022-03-15T01:16:35Z,2022-03-15T01:16:35Z,54m43.623118725s,33.6188
hpccptrans,6,16,3,3,2022-03-15T00:23:32Z,2022-03-15T01:31:11Z,2022-03-15T01:35:49Z,2022-03-15T01:35:49Z,1h12m50.456051617s,0.285109
hpccrandomringbw,3,16,1,1,2022-03-15T00:23:32Z,2022-03-15T00:27:38Z,2022-03-15T00:28:44Z,2022-03-15T00:28:44Z,5m53.584268433s,1.69411
hpccrandomringlat,3,16,1,1,2022-03-15T00:23:32Z,2022-03-15T00:27:38Z,2022-03-15T00:28:44Z,2022-03-15T00:28:44Z,5m53.584268433s,0.31884
hpccrandomringbw,9,16,2,2,2022-03-15T00:23:33Z,2022-03-15T00:31:49Z,2022-03-15T00:33:29Z,2022-03-15T00:33:29Z,10m32.638728173s,0.0298648
hpccrandomringlat,9,16,2,2,2022-03-15T00:23:33Z,2022-03-15T00:31:49Z,2022-03-15T00:33:29Z,2022-03-15T00:33:29Z,10m32.638728173s,53.1336
hpccrandomaccess,3,16,1,1,2022-03-15T00:23:33Z,2022-03-15T00:24:19Z,2022-03-15T00:26:54Z,2022-03-15T00:26:54Z,4m2.582077758s,0.174297
hpccrandomaccess,6,16,2,2,2022-03-15T00:23:33Z,2022-03-15T00:28:19Z,2022-03-15T00:31:10Z,2022-03-15T00:31:11Z,8m12.630958096s,0.0281892
hpccstream,6,16,3,3,2022-03-15T00:24:33Z,2022-03-15T01:36:25Z,2022-03-15T01:37:56Z,2022-03-15T01:37:56Z,1h14m2.628436697s,6.39311
hpccdgemm,2,16,2,2,2022-03-15T00:24:34Z,2022-03-15T00:34:08Z,2022-03-15T00:37:37Z,2022-03-15T00:37:37Z,13m42.632042255s,28.35
hpccdgemm,0,16,1,1,2022-03-15T00:24:34Z,2022-03-15T00:28:10Z,2022-03-15T00:31:12Z,2022-03-15T00:31:12Z,7m9.937752052s,31.1655
hpccstream,2,16,2,2,2022-03-15T00:24:34Z,2022-03-15T00:38:19Z,2022-03-15T00:39:50Z,2022-03-15T00:39:50Z,15m51.637758375s,5.14382
hpccfft,6,16,1,1,2022-03-15T00:24:35Z,2022-03-15T00:29:29Z,2022-03-15T00:30:55Z,2022-03-15T00:30:55Z,6m53.795514328s,9.70549
hpccrandomringbw,6,16,1,1,2022-03-15T00:25:35Z,2022-03-15T00:31:30Z,2022-03-15T00:32:36Z,2022-03-15T00:32:36Z,7m41.796083553s,1.74623
hpccrandomringlat,6,16,1,1,2022-03-15T00:25:35Z,2022-03-15T00:31:30Z,2022-03-15T00:32:36Z,2022-03-15T00:32:36Z,7m41.796083553s,0.324903
hpccstream,3,16,3,3,2022-03-15T00:25:35Z,2022-03-15T01:38:31Z,2022-03-15T01:40:03Z,2022-03-15T01:40:03Z,1h15m10.625097688s,6.50289
hpccdgemm,3,16,2,2,2022-03-15T00:25:35Z,2022-03-15T00:42:18Z,2022-03-15T00:45:30Z,2022-03-15T00:45:30Z,20m30.62255677s,28.0852
hpccrandomringbw,4,16,2,2,2022-03-15T00:25:36Z,2022-03-15T00:55:22Z,2022-03-15T00:57:07Z,2022-03-15T00:57:07Z,32m10.66500096s,0.0249135
hpccrandomringlat,4,16,2,2,2022-03-15T00:25:36Z,2022-03-15T00:55:22Z,2022-03-15T00:57:07Z,2022-03-15T00:57:07Z,32m10.66500096s,54.7413
hpccrandomaccess,1,16,2,2,2022-03-15T00:25:38Z,2022-03-15T00:55:30Z,2022-03-15T00:58:22Z,2022-03-15T00:58:22Z,33m30.716908363s,0.0281453
hpccdgemm,6,16,3,3,2022-03-15T00:26:36Z,2022-03-15T01:40:39Z,2022-03-15T01:43:49Z,2022-03-15T01:43:49Z,1h17m49.586029317s,31.7119
hpccfft,3,16,2,2,2022-03-15T00:26:37Z,2022-03-15T00:57:48Z,2022-03-15T01:01:45Z,2022-03-15T01:01:45Z,35m41.990679737s,0.951805
hpccrandomaccess,9,16,4,4,2022-03-15T00:26:37Z,2022-03-15T01:58:09Z,2022-03-15T02:00:59Z,2022-03-15T02:00:59Z,1h34m58.63679317s,0.0254728
hpccrandomringbw,7,16,1,1,2022-03-15T00:26:38Z,2022-03-15T00:33:19Z,2022-03-15T00:34:23Z,2022-03-15T00:34:23Z,8m28.587504767s,1.7813
hpccrandomringlat,7,16,1,1,2022-03-15T00:26:38Z,2022-03-15T00:33:19Z,2022-03-15T00:34:23Z,2022-03-15T00:34:23Z,8m28.587504767s,0.321887
hpccfft,2,16,4,4,2022-03-15T00:26:37Z,2022-03-15T01:53:59Z,2022-03-15T01:57:23Z,2022-03-15T01:57:23Z,1h31m28.63470114s,1.2635
hpccdgemm,9,16,1,1,2022-03-15T00:26:38Z,2022-03-15T00:31:47Z,2022-03-15T00:34:52Z,2022-03-15T00:34:52Z,8m57.627789112s,30.713
hpccdgemm,1,16,1,1,2022-03-15T00:26:39Z,2022-03-15T00:35:08Z,2022-03-15T00:38:07Z,2022-03-15T00:38:07Z,12m1.87842341s,31.2181
hpccfft,1,16,1,1,2022-03-15T00:26:39Z,2022-03-15T00:35:38Z,2022-03-15T00:37:04Z,2022-03-15T00:37:04Z,10m58.471263312s,10.6903
hpccptrans,7,16,3,3,2022-03-15T00:26:40Z,2022-03-15T01:44:24Z,2022-03-15T01:49:31Z,2022-03-15T01:49:31Z,1h23m27.623261795s,0.210733
hpccptrans,2,16,1,1,2022-03-15T00:26:41Z,2022-03-15T00:37:39Z,2022-03-15T00:39:35Z,2022-03-15T00:39:35Z,13m30.218132895s,4.38585
hpccrandomaccess,7,16,4,4,2022-03-15T00:27:39Z,2022-03-15T02:01:39Z,2022-03-15T02:04:33Z,2022-03-15T02:04:33Z,1h37m36.64397728s,0.0250508
hpccdgemm,5,16,3,3,2022-03-15T00:27:39Z,2022-03-15T01:50:07Z,2022-03-15T01:53:13Z,2022-03-15T01:53:13Z,1h26m16.636212872s,32.1054
hpccptrans,3,16,1,1,2022-03-15T00:28:39Z,2022-03-15T00:38:43Z,2022-03-15T00:40:23Z,2022-03-15T00:40:23Z,12m16.645592567s,7.23513
hpccrandomringbw,0,16,1,1,2022-03-15T00:28:39Z,2022-03-15T00:40:28Z,2022-03-15T00:41:33Z,2022-03-15T00:41:33Z,13m36.624126146s,1.72096
hpccrandomringlat,0,16,1,1,2022-03-15T00:28:39Z,2022-03-15T00:40:28Z,2022-03-15T00:41:33Z,2022-03-15T00:41:33Z,13m36.624126146s,0.331116
hpccstream,8,16,1,1,2022-03-15T00:28:39Z,2022-03-15T00:40:29Z,2022-03-15T00:42:18Z,2022-03-15T00:42:18Z,14m16.642211278s,2.74375
hpccfft,0,16,1,1,2022-03-15T00:28:39Z,2022-03-15T00:40:11Z,2022-03-15T00:41:39Z,2022-03-15T00:41:39Z,13m36.628886779s,10.6777
hpccptrans,4,16,2,2,2022-03-15T00:28:40Z,2022-03-15T00:59:10Z,2022-03-15T01:03:15Z,2022-03-15T01:03:15Z,35m16.619986849s,0.230132
hpccstream,1,16,2,2,2022-03-15T00:28:40Z,2022-03-15T01:03:59Z,2022-03-15T01:05:31Z,2022-03-15T01:05:31Z,37m25.637862667s,5.09967
hpccptrans,0,16,2,2,2022-03-15T00:28:40Z,2022-03-15T01:04:38Z,2022-03-15T01:09:28Z,2022-03-15T01:09:28Z,41m20.293071908s,0.288247
hpccrandomaccess,5,16,3,3,2022-03-15T00:28:40Z,2022-03-15T02:05:09Z,2022-03-15T02:08:01Z,2022-03-15T02:08:01Z,1h39m55.620116507s,0.0239457
hpccstream,0,16,2,2,2022-03-15T00:28:40Z,2022-03-15T01:02:22Z,2022-03-15T01:03:55Z,2022-03-15T01:03:55Z,35m55.639961294s,5.14399
hpccrandomaccess,2,16,2,2,2022-03-15T00:29:40Z,2022-03-15T01:10:03Z,2022-03-15T01:12:43Z,2022-03-15T01:12:43Z,43m45.639398434s,0.0195359
hpccstream,7,16,3,3,2022-03-15T00:29:41Z,2022-03-15T02:12:25Z,2022-03-15T02:13:57Z,2022-03-15T02:13:57Z,1h44m55.642930824s,6.45986
