benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,16,2022-03-15T14:17:36Z,2022-03-15T14:17:46Z,2022-03-15T14:20:11Z,2022-03-15T14:20:12Z,3m20.950559862s,6.47493
hpccfft,5,16,4,4,2022-03-15T14:18:36Z,2022-03-15T14:18:42Z,2022-03-15T14:25:15Z,2022-03-15T14:25:17Z,7m21.494858519s,0.577268
hpccfft,7,16,4,4,2022-03-15T14:18:36Z,2022-03-15T14:18:42Z,2022-03-15T14:25:12Z,2022-03-15T14:25:13Z,7m10.649468998s,0.547616
hpccptrans,5,16,3,3,2022-03-15T14:19:36Z,2022-03-15T14:19:47Z,2022-03-15T14:30:57Z,2022-03-15T14:30:57Z,12m9.287301279s,0.0686336
hpccptrans,1,16,3,3,2022-03-15T14:19:36Z,2022-03-15T14:19:56Z,2022-03-15T14:30:12Z,2022-03-15T14:30:13Z,11m19.633005244s,0.0680671
hpccrandomringbw,1,16,1,1,2022-03-15T14:19:37Z,2022-03-15T14:25:59Z,2022-03-15T14:27:07Z,2022-03-15T14:27:08Z,8m9.856351392s,1.72755
hpccrandomringlat,1,16,1,1,2022-03-15T14:19:37Z,2022-03-15T14:25:59Z,2022-03-15T14:27:07Z,2022-03-15T14:27:08Z,8m9.856351392s,0.494835
hpccdgemm,7,16,3,16,2022-03-15T14:19:37Z,2022-03-15T14:20:00Z,2022-03-15T14:24:42Z,2022-03-15T14:24:44Z,5m50.237277083s,35.9257
hpccdgemm,8,16,3,16,2022-03-15T14:19:38Z,2022-03-15T14:20:03Z,2022-03-15T14:24:48Z,2022-03-15T14:24:50Z,5m50.962489846s,37.0496
hpccptrans,6,16,3,3,2022-03-15T14:20:38Z,2022-03-15T14:20:51Z,2022-03-15T14:30:48Z,2022-03-15T14:30:48Z,10m48.597971146s,0.086225
hpccrandomringbw,3,16,1,1,2022-03-15T14:20:38Z,2022-03-15T14:25:47Z,2022-03-15T14:26:59Z,2022-03-15T14:27:05Z,6m54.909386187s,2.02403
hpccrandomringlat,3,16,1,1,2022-03-15T14:20:38Z,2022-03-15T14:25:47Z,2022-03-15T14:26:59Z,2022-03-15T14:27:05Z,6m54.909386187s,0.476555
hpccrandomringbw,9,16,2,2,2022-03-15T14:20:40Z,2022-03-15T14:28:02Z,2022-03-15T14:30:32Z,2022-03-15T14:30:32Z,10m26.586342622s,0.0150256
hpccrandomringlat,9,16,2,2,2022-03-15T14:20:40Z,2022-03-15T14:28:02Z,2022-03-15T14:30:32Z,2022-03-15T14:30:32Z,10m26.586342622s,195.288
