benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,3,2022-03-16T12:43:09Z,2022-03-16T12:43:14Z,2022-03-16T12:44:50Z,2022-03-16T12:44:50Z,2m15.115410473s,6.78075
hpccfft,5,16,4,4,2022-03-16T12:44:10Z,2022-03-16T12:44:16Z,2022-03-16T12:51:16Z,2022-03-16T12:51:18Z,7m44.261071035s,0.569251
hpccfft,7,16,4,4,2022-03-16T12:44:10Z,2022-03-16T12:44:16Z,2022-03-16T12:51:08Z,2022-03-16T12:51:09Z,7m34.2614192s,0.534482
hpccptrans,5,16,3,3,2022-03-16T12:45:10Z,2022-03-16T12:45:19Z,2022-03-16T12:57:37Z,2022-03-16T12:57:37Z,13m4.087104891s,0.062497
hpccptrans,1,16,3,3,2022-03-16T12:45:10Z,2022-03-16T12:45:19Z,2022-03-16T12:56:27Z,2022-03-16T12:56:28Z,11m54.245615692s,0.0818024
hpccrandomringbw,1,16,1,1,2022-03-16T12:45:11Z,2022-03-16T12:45:25Z,2022-03-16T12:46:31Z,2022-03-16T12:46:32Z,1m53.29008239s,1.78357
hpccrandomringlat,1,16,1,1,2022-03-16T12:45:11Z,2022-03-16T12:45:25Z,2022-03-16T12:46:31Z,2022-03-16T12:46:32Z,1m53.29008239s,0.471589
hpccdgemm,7,16,3,3,2022-03-16T12:45:11Z,2022-03-16T12:45:18Z,2022-03-16T12:51:00Z,2022-03-16T12:51:00Z,6m23.366333182s,13.4593
hpccdgemm,8,16,3,3,2022-03-16T12:45:11Z,2022-03-16T12:45:27Z,2022-03-16T12:53:07Z,2022-03-16T12:53:09Z,8m34.415193069s,12.3116
hpccptrans,6,16,3,3,2022-03-16T12:46:11Z,2022-03-16T12:47:08Z,2022-03-16T12:56:42Z,2022-03-16T12:56:42Z,11m13.190778337s,0.0873117
hpccrandomringbw,3,16,1,1,2022-03-16T12:46:12Z,2022-03-16T12:52:05Z,2022-03-16T12:53:11Z,2022-03-16T12:53:12Z,7m43.257581474s,1.67999
hpccrandomringlat,3,16,1,1,2022-03-16T12:46:12Z,2022-03-16T12:52:05Z,2022-03-16T12:53:11Z,2022-03-16T12:53:12Z,7m43.257581474s,0.50086
hpccrandomringbw,9,16,2,2,2022-03-16T12:46:13Z,2022-03-16T12:54:38Z,2022-03-16T12:57:31Z,2022-03-16T12:57:31Z,12m2.073761387s,0.0191044
hpccrandomringlat,9,16,2,2,2022-03-16T12:46:13Z,2022-03-16T12:54:38Z,2022-03-16T12:57:31Z,2022-03-16T12:57:31Z,12m2.073761387s,92.4549
hpccrandomaccess,3,16,1,1,2022-03-16T12:46:13Z,2022-03-16T12:52:06Z,2022-03-16T12:53:56Z,2022-03-16T12:53:56Z,8m15.507950866s,0.104749
hpccrandomaccess,6,16,2,2,2022-03-16T12:46:14Z,2022-03-16T12:52:06Z,2022-03-16T12:57:52Z,2022-03-16T12:57:52Z,12m10.844304813s,0.0274325
hpccstream,6,16,3,3,2022-03-16T12:47:15Z,2022-03-16T12:54:40Z,2022-03-16T12:56:18Z,2022-03-16T12:56:19Z,9m40.201302382s,5.40729
hpccdgemm,2,16,2,2,2022-03-16T12:47:16Z,2022-03-16T12:54:38Z,2022-03-16T13:00:26Z,2022-03-16T13:00:26Z,13m49.071717574s,15.0208
hpccdgemm,0,16,1,1,2022-03-16T12:47:16Z,2022-03-16T12:54:39Z,2022-03-16T12:59:35Z,2022-03-16T12:59:35Z,12m58.12458304s,15.0357
hpccstream,2,16,2,2,2022-03-16T12:47:18Z,2022-03-16T12:59:40Z,2022-03-16T13:01:18Z,2022-03-16T13:01:18Z,14m38.063682818s,6.89158
hpccfft,6,16,1,1,2022-03-16T12:47:20Z,2022-03-16T12:59:40Z,2022-03-16T13:01:07Z,2022-03-16T13:01:07Z,14m27.064587888s,10.191
hpccrandomringbw,6,16,1,1,2022-03-16T12:48:19Z,2022-03-16T12:59:38Z,2022-03-16T13:00:44Z,2022-03-16T13:00:44Z,12m57.59017856s,1.71002
hpccrandomringlat,6,16,1,1,2022-03-16T12:48:19Z,2022-03-16T12:59:38Z,2022-03-16T13:00:44Z,2022-03-16T13:00:44Z,12m57.59017856s,0.516106
hpccstream,3,16,3,3,2022-03-16T12:48:20Z,2022-03-16T13:04:52Z,2022-03-16T13:06:25Z,2022-03-16T13:06:25Z,18m45.497890748s,7.7718
hpccdgemm,3,16,2,2,2022-03-16T12:48:20Z,2022-03-16T12:59:39Z,2022-03-16T13:04:48Z,2022-03-16T13:04:48Z,17m0.785087469s,19.9531
hpccrandomringbw,4,16,2,2,2022-03-16T12:48:22Z,2022-03-16T13:04:55Z,2022-03-16T13:07:48Z,2022-03-16T13:07:49Z,20m4.326553233s,0.0154609
hpccrandomringlat,4,16,2,2,2022-03-16T12:48:22Z,2022-03-16T13:04:55Z,2022-03-16T13:07:48Z,2022-03-16T13:07:49Z,20m4.326553233s,137.667
hpccrandomaccess,1,16,2,2,2022-03-16T12:48:23Z,2022-03-16T13:04:53Z,2022-03-16T13:09:38Z,2022-03-16T13:09:38Z,21m53.197589484s,0.0272083
hpccdgemm,6,16,3,3,2022-03-16T12:49:22Z,2022-03-16T13:04:52Z,2022-03-16T13:12:10Z,2022-03-16T13:12:10Z,23m32.712776953s,10.1603
hpccfft,3,16,2,2,2022-03-16T12:49:23Z,2022-03-16T13:04:53Z,2022-03-16T13:06:20Z,2022-03-16T13:06:21Z,17m42.679776618s,10.6517
hpccrandomaccess,9,16,4,4,2022-03-16T12:49:22Z,2022-03-16T13:05:25Z,2022-03-16T13:14:13Z,2022-03-16T13:14:15Z,25m32.207101244s,0.0254243
hpccrandomringbw,7,16,1,1,2022-03-16T12:49:24Z,2022-03-16T13:13:27Z,2022-03-16T13:14:34Z,2022-03-16T13:14:34Z,25m44.049823136s,1.73164
hpccrandomringlat,7,16,1,1,2022-03-16T12:49:24Z,2022-03-16T13:13:27Z,2022-03-16T13:14:34Z,2022-03-16T13:14:34Z,25m44.049823136s,0.479387
hpccfft,2,16,4,4,2022-03-16T12:49:23Z,2022-03-16T13:04:54Z,2022-03-16T13:10:47Z,2022-03-16T13:10:47Z,22m1.169346198s,0.5669
hpccdgemm,9,16,1,1,2022-03-16T12:49:24Z,2022-03-16T13:12:17Z,2022-03-16T13:17:19Z,2022-03-16T13:17:20Z,28m31.076235s,17.0931
hpccdgemm,1,16,1,1,2022-03-16T12:49:25Z,2022-03-16T13:07:09Z,2022-03-16T13:11:30Z,2022-03-16T13:11:30Z,22m50.077380072s,18.3152
hpccfft,1,16,1,1,2022-03-16T12:49:25Z,2022-03-16T13:15:09Z,2022-03-16T13:16:33Z,2022-03-16T13:16:34Z,27m42.482514951s,11.5157
hpccptrans,7,16,3,3,2022-03-16T12:49:26Z,2022-03-16T13:05:25Z,2022-03-16T13:12:47Z,2022-03-16T13:12:48Z,23m59.429249149s,0.113671
hpccptrans,2,16,1,1,2022-03-16T12:49:27Z,2022-03-16T13:17:10Z,2022-03-16T13:18:57Z,2022-03-16T13:18:57Z,30m9.096122833s,4.94342
hpccrandomaccess,7,16,4,4,2022-03-16T12:50:26Z,2022-03-16T13:07:09Z,2022-03-16T13:15:49Z,2022-03-16T13:15:50Z,26m8.250596455s,0.0232313
hpccdgemm,5,16,3,3,2022-03-16T12:50:27Z,2022-03-16T13:08:27Z,2022-03-16T13:14:58Z,2022-03-16T13:14:59Z,25m8.425797694s,13.3926
hpccptrans,3,16,1,1,2022-03-16T12:51:27Z,2022-03-16T13:17:47Z,2022-03-16T13:19:22Z,2022-03-16T13:19:22Z,28m37.066139273s,9.55797
hpccrandomringbw,0,16,1,1,2022-03-16T12:51:27Z,2022-03-16T13:17:56Z,2022-03-16T13:19:02Z,2022-03-16T13:19:02Z,28m17.240243147s,1.70664
hpccrandomringlat,0,16,1,1,2022-03-16T12:51:27Z,2022-03-16T13:17:56Z,2022-03-16T13:19:02Z,2022-03-16T13:19:02Z,28m17.240243147s,0.495212
hpccstream,8,16,1,1,2022-03-16T12:51:28Z,2022-03-16T13:17:48Z,2022-03-16T13:19:21Z,2022-03-16T13:19:21Z,28m37.122015235s,5.13463
hpccfft,0,16,1,1,2022-03-16T12:51:28Z,2022-03-16T13:18:37Z,2022-03-16T13:19:58Z,2022-03-16T13:19:59Z,29m6.368659222s,14.979
hpccptrans,4,16,2,2,2022-03-16T12:51:28Z,2022-03-16T13:10:17Z,2022-03-16T13:17:09Z,2022-03-16T13:17:10Z,26m16.126536157s,0.185489
hpccstream,1,16,2,2,2022-03-16T12:51:28Z,2022-03-16T13:15:37Z,2022-03-16T13:17:07Z,2022-03-16T13:17:07Z,26m16.146310297s,7.6891
hpccptrans,0,16,2,2,2022-03-16T12:51:29Z,2022-03-16T13:18:28Z,2022-03-16T13:26:57Z,2022-03-16T13:26:58Z,36m5.446516144s,0.0968158
hpccrandomaccess,5,16,3,3,2022-03-16T12:51:29Z,2022-03-16T13:13:28Z,2022-03-16T13:17:47Z,2022-03-16T13:17:47Z,26m55.175560893s,0.0279964
hpccstream,0,16,2,2,2022-03-16T12:51:30Z,2022-03-16T13:20:17Z,2022-03-16T13:21:45Z,2022-03-16T13:21:46Z,30m54.290927252s,6.22273
hpccrandomaccess,2,16,2,2,2022-03-16T12:52:30Z,2022-03-16T13:19:49Z,2022-03-16T13:28:38Z,2022-03-16T13:28:39Z,36m41.314096216s,0.0279237
hpccstream,7,16,3,3,2022-03-16T12:52:31Z,2022-03-16T13:17:24Z,2022-03-16T13:19:05Z,2022-03-16T13:19:06Z,27m13.37120318s,6.38662
hpccrandomaccess,4,16,1,1,2022-03-16T12:52:31Z,2022-03-16T13:19:47Z,2022-03-16T13:21:54Z,2022-03-16T13:21:54Z,30m3.303058045s,0.112283
hpccrandomringbw,2,16,2,2,2022-03-16T12:52:31Z,2022-03-16T13:19:48Z,2022-03-16T13:23:04Z,2022-03-16T13:23:04Z,31m5.867104102s,0.005965
hpccrandomringlat,2,16,2,2,2022-03-16T12:52:31Z,2022-03-16T13:19:48Z,2022-03-16T13:23:04Z,2022-03-16T13:23:04Z,31m5.867104102s,106.992
hpccdgemm,4,16,3,3,2022-03-16T12:52:32Z,2022-03-16T13:20:38Z,2022-03-16T13:27:21Z,2022-03-16T13:27:22Z,35m32.773302256s,14.5211
hpccfft,4,16,2,2,2022-03-16T12:52:32Z,2022-03-16T13:20:17Z,2022-03-16T13:26:48Z,2022-03-16T13:26:48Z,34m49.099084693s,0.555284
hpccstream,4,16,1,1,2022-03-16T12:52:33Z,2022-03-16T13:25:59Z,2022-03-16T13:27:25Z,2022-03-16T13:27:26Z,35m32.400160219s,5.34047
hpccstream,5,16,1,1,2022-03-16T12:52:32Z,2022-03-16T13:22:36Z,2022-03-16T13:24:10Z,2022-03-16T13:24:11Z,32m22.250167319s,4.68253
hpccrandomaccess,8,16,3,3,2022-03-16T12:52:33Z,2022-03-16T13:20:39Z,2022-03-16T13:25:24Z,2022-03-16T13:25:24Z,33m23.577126753s,0.0243691
hpccrandomringbw,5,16,3,3,2022-03-16T12:52:33Z,2022-03-16T13:22:27Z,2022-03-16T13:24:42Z,2022-03-16T13:24:43Z,32m51.995756361s,0.0197316
