benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,3,2022-03-16T08:23:38Z,2022-03-16T08:23:42Z,2022-03-16T08:25:16Z,2022-03-16T08:25:16Z,2m16.065797129s,8.30294
hpccfft,5,16,4,4,2022-03-16T08:24:38Z,2022-03-16T08:24:45Z,2022-03-16T08:31:16Z,2022-03-16T08:31:16Z,7m18.790553677s,0.563969
hpccfft,7,16,4,4,2022-03-16T08:24:38Z,2022-03-16T08:24:45Z,2022-03-16T08:31:22Z,2022-03-16T08:31:22Z,7m18.60882472s,0.514547
hpccptrans,5,16,3,3,2022-03-16T08:25:38Z,2022-03-16T08:25:46Z,2022-03-16T08:35:56Z,2022-03-16T08:35:56Z,10m56.129160379s,0.0783739
hpccptrans,1,16,3,3,2022-03-16T08:25:38Z,2022-03-16T08:25:46Z,2022-03-16T08:34:18Z,2022-03-16T08:34:18Z,9m16.123483732s,0.0819352
hpccrandomringbw,1,16,1,1,2022-03-16T08:25:39Z,2022-03-16T08:25:47Z,2022-03-16T08:26:52Z,2022-03-16T08:26:54Z,1m55.529481753s,1.75799
hpccrandomringlat,1,16,1,1,2022-03-16T08:25:39Z,2022-03-16T08:25:47Z,2022-03-16T08:26:52Z,2022-03-16T08:26:54Z,1m55.529481753s,0.503507
hpccdgemm,7,16,3,3,2022-03-16T08:25:40Z,2022-03-16T08:25:49Z,2022-03-16T08:32:14Z,2022-03-16T08:32:15Z,7m8.42463516s,14.4081
hpccdgemm,8,16,3,3,2022-03-16T08:25:40Z,2022-03-16T08:25:53Z,2022-03-16T08:32:05Z,2022-03-16T08:32:07Z,7m5.50974731s,14.3282
hpccptrans,6,16,3,3,2022-03-16T08:26:39Z,2022-03-16T08:27:38Z,2022-03-16T08:35:13Z,2022-03-16T08:35:14Z,9m15.099836092s,0.0843356
hpccrandomringbw,3,16,1,1,2022-03-16T08:26:40Z,2022-03-16T08:32:13Z,2022-03-16T08:33:17Z,2022-03-16T08:33:18Z,7m15.248529251s,1.64288
hpccrandomringlat,3,16,1,1,2022-03-16T08:26:40Z,2022-03-16T08:32:13Z,2022-03-16T08:33:17Z,2022-03-16T08:33:18Z,7m15.248529251s,0.492331
hpccrandomringbw,9,16,2,2,2022-03-16T08:26:40Z,2022-03-16T08:32:14Z,2022-03-16T08:36:11Z,2022-03-16T08:36:11Z,10m14.08482823s,0.0253957
hpccrandomringlat,9,16,2,2,2022-03-16T08:26:40Z,2022-03-16T08:32:14Z,2022-03-16T08:36:11Z,2022-03-16T08:36:11Z,10m14.08482823s,3454.39
hpccrandomaccess,3,16,1,1,2022-03-16T08:26:41Z,2022-03-16T08:32:47Z,2022-03-16T08:34:44Z,2022-03-16T08:34:44Z,8m36.415394129s,0.0994358
hpccrandomaccess,6,16,2,2,2022-03-16T08:26:41Z,2022-03-16T08:32:49Z,2022-03-16T08:36:56Z,2022-03-16T08:36:56Z,10m53.079642379s,0.0288576
hpccstream,6,16,3,3,2022-03-16T08:27:41Z,2022-03-16T08:32:50Z,2022-03-16T08:34:26Z,2022-03-16T08:34:26Z,7m23.164485617s,9.28581
hpccdgemm,2,16,2,2,2022-03-16T08:27:43Z,2022-03-16T08:35:07Z,2022-03-16T08:42:02Z,2022-03-16T08:42:03Z,15m2.321236245s,11.012
hpccdgemm,0,16,1,1,2022-03-16T08:27:42Z,2022-03-16T08:33:57Z,2022-03-16T08:38:09Z,2022-03-16T08:38:09Z,10m58.680759129s,20.7146
hpccstream,2,16,2,2,2022-03-16T08:27:44Z,2022-03-16T08:35:56Z,2022-03-16T08:37:33Z,2022-03-16T08:37:33Z,10m31.659149864s,5.28082
hpccfft,6,16,1,1,2022-03-16T08:27:45Z,2022-03-16T08:35:21Z,2022-03-16T08:36:45Z,2022-03-16T08:36:45Z,9m41.12620708s,11.8336
hpccrandomringbw,6,16,1,1,2022-03-16T08:28:43Z,2022-03-16T08:37:26Z,2022-03-16T08:38:31Z,2022-03-16T08:38:32Z,10m31.481320266s,1.56638
hpccrandomringlat,6,16,1,1,2022-03-16T08:28:43Z,2022-03-16T08:37:26Z,2022-03-16T08:38:31Z,2022-03-16T08:38:32Z,10m31.481320266s,0.524779
hpccstream,3,16,3,3,2022-03-16T08:28:44Z,2022-03-16T08:36:48Z,2022-03-16T08:38:17Z,2022-03-16T08:38:18Z,10m10.276626306s,7.64221
hpccdgemm,3,16,2,2,2022-03-16T08:28:44Z,2022-03-16T08:37:39Z,2022-03-16T08:42:43Z,2022-03-16T08:42:43Z,14m40.215736354s,16.0027
hpccrandomringbw,4,16,2,2,2022-03-16T08:28:45Z,2022-03-16T08:38:20Z,2022-03-16T08:40:31Z,2022-03-16T08:40:32Z,12m30.573478431s,0.0210174
hpccrandomringlat,4,16,2,2,2022-03-16T08:28:45Z,2022-03-16T08:38:20Z,2022-03-16T08:40:31Z,2022-03-16T08:40:32Z,12m30.573478431s,62.6781
hpccrandomaccess,1,16,2,2,2022-03-16T08:28:46Z,2022-03-16T08:39:29Z,2022-03-16T08:42:23Z,2022-03-16T08:42:24Z,14m19.26325627s,0.0253999
hpccdgemm,6,16,3,3,2022-03-16T08:29:46Z,2022-03-16T08:39:32Z,2022-03-16T08:47:20Z,2022-03-16T08:47:20Z,18m18.327519906s,10.3293
hpccfft,3,16,2,2,2022-03-16T08:29:47Z,2022-03-16T08:39:28Z,2022-03-16T08:44:47Z,2022-03-16T08:44:47Z,15m38.069997888s,0.585093
hpccrandomaccess,9,16,4,4,2022-03-16T08:29:47Z,2022-03-16T08:35:00Z,2022-03-16T08:37:45Z,2022-03-16T08:37:45Z,8m37.274420891s,0.0232071
hpccrandomringbw,7,16,1,1,2022-03-16T08:29:48Z,2022-03-16T08:43:42Z,2022-03-16T08:44:47Z,2022-03-16T08:44:48Z,15m37.087575315s,1.79764
hpccrandomringlat,7,16,1,1,2022-03-16T08:29:48Z,2022-03-16T08:43:42Z,2022-03-16T08:44:47Z,2022-03-16T08:44:48Z,15m37.087575315s,0.479663
hpccfft,2,16,4,4,2022-03-16T08:29:48Z,2022-03-16T08:36:56Z,2022-03-16T08:42:09Z,2022-03-16T08:42:10Z,12m57.426592334s,0.875017
hpccdgemm,9,16,1,1,2022-03-16T08:29:49Z,2022-03-16T08:43:43Z,2022-03-16T08:48:06Z,2022-03-16T08:48:06Z,18m51.30089479s,18.0117
hpccdgemm,1,16,1,1,2022-03-16T08:29:49Z,2022-03-16T08:43:41Z,2022-03-16T08:47:46Z,2022-03-16T08:47:46Z,18m29.247926363s,20.5729
hpccfft,1,16,1,1,2022-03-16T08:29:51Z,2022-03-16T08:45:27Z,2022-03-16T08:46:52Z,2022-03-16T08:46:53Z,17m34.759749511s,10.9017
hpccptrans,7,16,3,3,2022-03-16T08:29:52Z,2022-03-16T08:49:54Z,2022-03-16T08:55:30Z,2022-03-16T08:55:30Z,26m13.062319114s,0.207693
hpccptrans,2,16,1,1,2022-03-16T08:29:53Z,2022-03-16T08:49:51Z,2022-03-16T08:51:26Z,2022-03-16T08:51:27Z,22m7.776114857s,7.32199
hpccrandomaccess,7,16,4,4,2022-03-16T08:30:52Z,2022-03-16T08:39:31Z,2022-03-16T08:50:24Z,2022-03-16T08:50:24Z,20m12.482532166s,0.0251994
hpccdgemm,5,16,3,3,2022-03-16T08:30:52Z,2022-03-16T08:49:53Z,2022-03-16T08:57:17Z,2022-03-16T08:57:17Z,27m2.083094825s,9.39918
hpccptrans,3,16,1,1,2022-03-16T08:31:53Z,2022-03-16T08:49:49Z,2022-03-16T08:51:41Z,2022-03-16T08:51:41Z,20m31.371713422s,4.89083
hpccrandomringbw,0,16,1,1,2022-03-16T08:31:53Z,2022-03-16T08:49:50Z,2022-03-16T08:50:52Z,2022-03-16T08:50:52Z,19m31.721139338s,1.85624
hpccrandomringlat,0,16,1,1,2022-03-16T08:31:53Z,2022-03-16T08:49:50Z,2022-03-16T08:50:52Z,2022-03-16T08:50:52Z,19m31.721139338s,0.504168
