benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,16,2022-03-17T09:12:23Z,2022-03-17T09:12:34Z,2022-03-17T09:15:02Z,2022-03-17T09:15:02Z,3m23.402583507s,7.89767
hpccfft,5,16,4,4,2022-03-17T09:13:24Z,2022-03-17T09:13:28Z,2022-03-17T09:19:41Z,2022-03-17T09:19:43Z,7m1.118321209s,0.635284
hpccfft,7,16,4,4,2022-03-17T09:13:24Z,2022-03-17T09:13:30Z,2022-03-17T09:19:52Z,2022-03-17T09:19:52Z,7m0.526391337s,0.586282
hpccptrans,5,16,3,3,2022-03-17T09:14:24Z,2022-03-17T09:14:40Z,2022-03-17T09:25:12Z,2022-03-17T09:25:13Z,11m30.063806197s,0.0626609
hpccptrans,1,16,3,3,2022-03-17T09:14:24Z,2022-03-17T09:14:43Z,2022-03-17T09:25:38Z,2022-03-17T09:25:38Z,11m50.062672259s,0.0672086
hpccrandomringbw,1,16,1,1,2022-03-17T09:14:25Z,2022-03-17T09:14:36Z,2022-03-17T09:15:37Z,2022-03-17T09:15:38Z,1m50.382522653s,1.59787
hpccrandomringlat,1,16,1,1,2022-03-17T09:14:25Z,2022-03-17T09:14:36Z,2022-03-17T09:15:37Z,2022-03-17T09:15:38Z,1m50.382522653s,0.515288
hpccdgemm,7,16,3,16,2022-03-17T09:14:25Z,2022-03-17T09:14:53Z,2022-03-17T09:22:43Z,2022-03-17T09:22:43Z,9m2.380189035s,11.3854
hpccdgemm,8,16,3,16,2022-03-17T09:14:26Z,2022-03-17T09:14:52Z,2022-03-17T09:22:46Z,2022-03-17T09:22:46Z,9m2.679491492s,10.913
hpccptrans,6,16,3,3,2022-03-17T09:15:25Z,2022-03-17T09:16:18Z,2022-03-17T09:24:23Z,2022-03-17T09:24:23Z,9m39.454116712s,0.101965
