benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,3,2022-03-15T18:29:12Z,2022-03-15T18:29:16Z,2022-03-15T18:30:48Z,2022-03-15T18:30:48Z,2m12.063624108s,7.84092
hpccfft,5,16,4,4,2022-03-15T18:30:12Z,2022-03-15T19:17:53Z,2022-03-15T19:21:18Z,2022-03-15T19:21:18Z,51m42.123674881s,1.23068
hpccfft,7,16,4,4,2022-03-15T18:30:12Z,2022-03-15T19:21:57Z,2022-03-15T19:25:22Z,2022-03-15T19:25:22Z,55m52.077318477s,1.26093
hpccptrans,5,16,3,3,2022-03-15T18:31:12Z,2022-03-15T19:26:06Z,2022-03-15T19:30:52Z,2022-03-15T19:30:52Z,1h0m22.148169274s,0.312577
hpccptrans,1,16,3,3,2022-03-15T18:31:12Z,2022-03-15T18:31:28Z,2022-03-15T18:36:31Z,2022-03-15T18:36:31Z,6m2.063032253s,0.255566
hpccrandomringbw,1,16,1,1,2022-03-15T18:31:13Z,2022-03-15T18:31:18Z,2022-03-15T18:32:24Z,2022-03-15T18:32:24Z,1m43.406002506s,1.69726
hpccrandomringlat,1,16,1,1,2022-03-15T18:31:13Z,2022-03-15T18:31:18Z,2022-03-15T18:32:24Z,2022-03-15T18:32:24Z,1m43.406002506s,0.511055
hpccdgemm,7,16,3,3,2022-03-15T18:31:13Z,2022-03-15T19:31:36Z,2022-03-15T19:37:54Z,2022-03-15T19:37:54Z,1h7m21.083413391s,13.8322
hpccdgemm,8,16,3,3,2022-03-15T18:31:14Z,2022-03-15T19:38:29Z,2022-03-15T19:46:19Z,2022-03-15T19:46:19Z,1h15m41.122137528s,15.212
hpccptrans,6,16,3,3,2022-03-15T18:32:13Z,2022-03-15T19:46:57Z,2022-03-15T19:51:56Z,2022-03-15T19:51:57Z,1h20m21.122115573s,0.297141
hpccrandomringbw,3,16,1,1,2022-03-15T18:32:13Z,2022-03-15T18:32:59Z,2022-03-15T18:34:06Z,2022-03-15T18:34:07Z,2m25.493876168s,1.65767
hpccrandomringlat,3,16,1,1,2022-03-15T18:32:13Z,2022-03-15T18:32:59Z,2022-03-15T18:34:06Z,2022-03-15T18:34:07Z,2m25.493876168s,0.525281
hpccrandomringbw,9,16,2,2,2022-03-15T18:32:13Z,2022-03-15T18:40:27Z,2022-03-15T18:42:08Z,2022-03-15T18:42:08Z,10m31.081984287s,0.0263097
hpccrandomringlat,9,16,2,2,2022-03-15T18:32:13Z,2022-03-15T18:40:27Z,2022-03-15T18:42:08Z,2022-03-15T18:42:08Z,10m31.081984287s,59.933
hpccrandomaccess,3,16,1,1,2022-03-15T18:32:13Z,2022-03-15T18:34:41Z,2022-03-15T18:36:44Z,2022-03-15T18:36:44Z,5m11.124421587s,0.0821388
hpccrandomaccess,6,16,2,2,2022-03-15T18:32:14Z,2022-03-15T18:37:07Z,2022-03-15T18:39:41Z,2022-03-15T18:39:41Z,8m11.080760138s,0.0258049
hpccstream,6,16,3,3,2022-03-15T18:33:14Z,2022-03-15T19:52:37Z,2022-03-15T19:54:12Z,2022-03-15T19:54:12Z,1h21m40.084906199s,7.82611
hpccdgemm,2,16,2,2,2022-03-15T18:33:14Z,2022-03-15T18:44:57Z,2022-03-15T18:50:12Z,2022-03-15T18:50:12Z,17m30.87562289s,15.2701
hpccdgemm,0,16,1,1,2022-03-15T18:33:14Z,2022-03-15T18:37:17Z,2022-03-15T18:40:41Z,2022-03-15T18:40:41Z,8m0.076698482s,26.1654
hpccstream,2,16,2,2,2022-03-15T18:33:14Z,2022-03-15T18:42:47Z,2022-03-15T18:44:18Z,2022-03-15T18:44:18Z,11m40.077956452s,7.36273
hpccfft,6,16,1,1,2022-03-15T18:33:15Z,2022-03-15T18:37:27Z,2022-03-15T18:38:51Z,2022-03-15T18:38:51Z,6m20.131461439s,10.4671
hpccrandomringbw,6,16,1,1,2022-03-15T18:34:14Z,2022-03-15T18:39:36Z,2022-03-15T18:40:40Z,2022-03-15T18:40:40Z,6m58.664788817s,1.77014
hpccrandomringlat,6,16,1,1,2022-03-15T18:34:14Z,2022-03-15T18:39:36Z,2022-03-15T18:40:40Z,2022-03-15T18:40:40Z,6m58.664788817s,0.503278
hpccstream,3,16,3,3,2022-03-15T18:34:14Z,2022-03-15T19:54:47Z,2022-03-15T19:56:21Z,2022-03-15T19:56:21Z,1h22m50.137020641s,7.48803
hpccdgemm,3,16,2,2,2022-03-15T18:34:15Z,2022-03-15T18:53:27Z,2022-03-15T18:58:24Z,2022-03-15T18:58:25Z,24m49.125999574s,16.7415
hpccrandomringbw,4,16,2,2,2022-03-15T18:34:15Z,2022-03-15T18:58:27Z,2022-03-15T19:00:05Z,2022-03-15T19:00:05Z,26m29.162557776s,0.0286162
hpccrandomringlat,4,16,2,2,2022-03-15T18:34:15Z,2022-03-15T18:58:27Z,2022-03-15T19:00:05Z,2022-03-15T19:00:05Z,26m29.162557776s,61.3119
hpccrandomaccess,1,16,2,2,2022-03-15T18:34:16Z,2022-03-15T18:55:05Z,2022-03-15T18:57:44Z,2022-03-15T18:57:44Z,24m9.063396412s,0.0307907
hpccdgemm,6,16,3,3,2022-03-15T18:35:15Z,2022-03-15T19:57:07Z,2022-03-15T20:03:12Z,2022-03-15T20:03:12Z,1h28m39.121639664s,15.8238
hpccfft,3,16,2,2,2022-03-15T18:35:16Z,2022-03-15T18:59:07Z,2022-03-15T19:03:06Z,2022-03-15T19:03:06Z,28m29.12578953s,0.939688
hpccrandomaccess,9,16,4,4,2022-03-15T18:35:16Z,2022-03-15T20:08:07Z,2022-03-15T20:10:48Z,2022-03-15T20:10:48Z,1h36m8.124771521s,0.0221095
hpccrandomringbw,7,16,1,1,2022-03-15T18:35:17Z,2022-03-15T18:41:16Z,2022-03-15T18:42:20Z,2022-03-15T18:42:21Z,7m48.124885014s,1.69858
hpccrandomringlat,7,16,1,1,2022-03-15T18:35:17Z,2022-03-15T18:41:16Z,2022-03-15T18:42:20Z,2022-03-15T18:42:21Z,7m48.124885014s,0.522156
hpccfft,2,16,4,4,2022-03-15T18:35:17Z,2022-03-15T20:03:57Z,2022-03-15T20:07:26Z,2022-03-15T20:07:26Z,1h32m47.124182478s,1.22891
hpccdgemm,9,16,1,1,2022-03-15T18:35:17Z,2022-03-15T18:43:06Z,2022-03-15T18:47:25Z,2022-03-15T18:47:25Z,12m41.354263918s,19.3679
hpccdgemm,1,16,1,1,2022-03-15T18:35:17Z,2022-03-15T18:41:17Z,2022-03-15T18:44:34Z,2022-03-15T18:44:34Z,9m49.440884359s,28.1686
hpccfft,1,16,1,1,2022-03-15T18:35:18Z,2022-03-15T18:45:09Z,2022-03-15T18:46:30Z,2022-03-15T18:46:30Z,11m45.449929498s,14.9836
hpccptrans,7,16,3,3,2022-03-15T18:35:19Z,2022-03-15T20:11:27Z,2022-03-15T20:16:22Z,2022-03-15T20:16:22Z,1h41m47.082765601s,0.261503
hpccptrans,2,16,1,1,2022-03-15T18:35:20Z,2022-03-15T18:47:04Z,2022-03-15T18:48:41Z,2022-03-15T18:48:41Z,14m6.063205662s,9.03757
hpccrandomaccess,7,16,4,4,2022-03-15T18:36:18Z,2022-03-15T20:33:17Z,2022-03-15T20:36:02Z,2022-03-15T20:36:02Z,2h0m26.083794296s,0.0253264
hpccdgemm,5,16,3,3,2022-03-15T18:36:18Z,2022-03-15T20:17:07Z,2022-03-15T20:23:26Z,2022-03-15T20:23:26Z,1h47m46.125081109s,15.6387
hpccptrans,3,16,1,1,2022-03-15T18:37:18Z,2022-03-15T18:49:26Z,2022-03-15T18:51:03Z,2022-03-15T18:51:03Z,14m26.142190864s,7.81994
hpccrandomringbw,0,16,1,1,2022-03-15T18:37:18Z,2022-03-15T18:50:01Z,2022-03-15T18:51:06Z,2022-03-15T18:51:06Z,14m20.40647003s,1.70887
hpccrandomringlat,0,16,1,1,2022-03-15T18:37:18Z,2022-03-15T18:50:01Z,2022-03-15T18:51:06Z,2022-03-15T18:51:06Z,14m20.40647003s,0.507216
hpccstream,8,16,1,1,2022-03-15T18:37:19Z,2022-03-15T18:50:46Z,2022-03-15T18:52:22Z,2022-03-15T18:52:22Z,15m35.759255303s,4.48977
hpccfft,0,16,1,1,2022-03-15T18:37:19Z,2022-03-15T18:48:01Z,2022-03-15T18:49:25Z,2022-03-15T18:49:26Z,12m39.349907165s,12.494
hpccptrans,4,16,2,2,2022-03-15T18:37:19Z,2022-03-15T19:03:47Z,2022-03-15T19:09:15Z,2022-03-15T19:09:15Z,32m35.065083855s,0.265226
hpccstream,1,16,2,2,2022-03-15T18:37:19Z,2022-03-15T19:00:47Z,2022-03-15T19:02:12Z,2022-03-15T19:02:14Z,25m27.310064833s,7.79333
hpccptrans,0,16,2,2,2022-03-15T18:37:19Z,2022-03-15T19:02:49Z,2022-03-15T19:07:36Z,2022-03-15T19:07:36Z,30m55.573040455s,0.289821
hpccrandomaccess,5,16,3,3,2022-03-15T18:37:19Z,2022-03-15T20:24:01Z,2022-03-15T20:26:29Z,2022-03-15T20:26:29Z,1h49m45.087188424s,0.02541
hpccstream,0,16,2,2,2022-03-15T18:37:20Z,2022-03-15T19:08:18Z,2022-03-15T19:09:44Z,2022-03-15T19:09:45Z,33m5.072749061s,6.77532
hpccrandomaccess,2,16,2,2,2022-03-15T18:38:19Z,2022-03-15T19:09:57Z,2022-03-15T19:12:29Z,2022-03-15T19:12:29Z,34m45.125642627s,0.0237211
hpccstream,7,16,3,3,2022-03-15T18:38:20Z,2022-03-15T20:36:37Z,2022-03-15T20:38:07Z,2022-03-15T20:38:07Z,2h0m24.126389282s,7.7996
hpccrandomaccess,4,16,1,1,2022-03-15T18:38:20Z,2022-03-15T18:50:47Z,2022-03-15T18:52:50Z,2022-03-15T18:52:50Z,15m4.071176099s,0.105098
hpccrandomringbw,2,16,2,2,2022-03-15T18:38:20Z,2022-03-15T19:10:27Z,2022-03-15T19:12:10Z,2022-03-15T19:12:10Z,34m22.886661785s,0.0235347
