benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccstream,9,16,3,16,2022-03-15T15:42:51Z,2022-03-15T15:43:01Z,2022-03-15T15:45:32Z,2022-03-15T15:45:33Z,3m26.53334673s,7.00982
hpccfft,5,16,4,4,2022-03-15T15:43:51Z,2022-03-15T15:43:58Z,2022-03-15T15:50:41Z,2022-03-15T15:50:42Z,7m33.834206769s,0.649678
hpccfft,7,16,4,4,2022-03-15T15:43:52Z,2022-03-15T15:43:58Z,2022-03-15T15:51:08Z,2022-03-15T15:51:11Z,7m52.662855106s,0.543086
hpccptrans,5,16,3,3,2022-03-15T15:44:52Z,2022-03-15T15:45:05Z,2022-03-15T15:55:55Z,2022-03-15T15:55:56Z,11m42.065207765s,0.0752687
hpccptrans,1,16,3,3,2022-03-15T15:44:52Z,2022-03-15T15:45:13Z,2022-03-15T15:56:03Z,2022-03-15T15:56:03Z,11m52.125643148s,0.0713804
hpccrandomringbw,1,16,1,1,2022-03-15T15:44:53Z,2022-03-15T15:57:47Z,2022-03-15T15:58:50Z,2022-03-15T15:58:50Z,14m30.792988525s,1.61816
hpccrandomringlat,1,16,1,1,2022-03-15T15:44:53Z,2022-03-15T15:57:47Z,2022-03-15T15:58:50Z,2022-03-15T15:58:50Z,14m30.792988525s,0.509774
hpccdgemm,7,16,3,16,2022-03-15T15:44:53Z,2022-03-15T15:45:12Z,2022-03-15T15:52:56Z,2022-03-15T15:52:58Z,8m48.484050372s,10.6673
hpccdgemm,8,16,3,16,2022-03-15T15:44:54Z,2022-03-15T15:45:18Z,2022-03-15T15:52:28Z,2022-03-15T15:52:29Z,8m13.840857404s,11.8043
hpccptrans,6,16,3,3,2022-03-15T15:45:53Z,2022-03-15T15:46:21Z,2022-03-15T15:56:04Z,2022-03-15T15:56:04Z,10m51.137600112s,0.0902386
hpccrandomringbw,3,16,1,1,2022-03-15T15:45:53Z,2022-03-15T16:01:00Z,2022-03-15T16:02:04Z,2022-03-15T16:02:04Z,16m43.574270182s,1.74568
hpccrandomringlat,3,16,1,1,2022-03-15T15:45:53Z,2022-03-15T16:01:00Z,2022-03-15T16:02:04Z,2022-03-15T16:02:04Z,16m43.574270182s,0.498616
hpccrandomringbw,9,16,2,2,2022-03-15T15:45:55Z,2022-03-15T15:51:48Z,2022-03-15T15:54:00Z,2022-03-15T15:54:01Z,8m40.210556891s,0.0183774
hpccrandomringlat,9,16,2,2,2022-03-15T15:45:55Z,2022-03-15T15:51:48Z,2022-03-15T15:54:00Z,2022-03-15T15:54:01Z,8m40.210556891s,75.2059
hpccrandomaccess,3,16,1,1,2022-03-15T15:45:54Z,2022-03-15T16:01:01Z,2022-03-15T16:03:12Z,2022-03-15T16:03:13Z,17m50.775005303s,0.0271196
