benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,start,complete,performance
hpccrandomringbw,2,1,1,1,2022-05-27T14:24:29Z,2022-05-27T14:24:32Z,2022-05-27T14:31:51Z,2022-05-27T14:31:51Z,2022-05-27T14:24:29Z,2022-05-27T14:31:51Z,1.88253
hpccdgemm,1,1,1,1,2022-05-27T14:25:12Z,2022-05-27T14:25:13Z,2022-05-27T14:44:51Z,2022-05-27T14:44:51Z,2022-05-27T14:25:12Z,2022-05-27T14:44:51Z,31.0174
hpccstream,0,1,1,1,2022-05-27T14:27:04Z,2022-05-27T14:27:06Z,2022-05-27T14:34:31Z,2022-05-27T14:34:31Z,2022-05-27T14:27:04Z,2022-05-27T14:34:31Z,2.794
minife,3,1,1,1,2022-05-27T14:27:45Z,2022-05-27T14:27:47Z,2022-05-27T14:46:39Z,2022-05-27T14:46:39Z,2022-05-27T14:27:45Z,2022-05-27T14:46:39Z, 8516.12
hpccfft,1,1,1,1,2022-05-27T14:28:45Z,2022-05-27T14:28:47Z,2022-05-27T14:32:44Z,2022-05-27T14:32:44Z,2022-05-27T14:28:45Z,2022-05-27T14:32:44Z,9.36927
minife,2,1,1,1,2022-05-27T14:29:02Z,2022-05-27T14:29:04Z,2022-05-27T14:47:41Z,2022-05-27T14:47:41Z,2022-05-27T14:29:02Z,2022-05-27T14:47:41Z, 8598.86
hpccstream,3,1,1,1,2022-05-27T14:30:55Z,2022-05-27T14:30:57Z,2022-05-27T14:38:19Z,2022-05-27T14:38:19Z,2022-05-27T14:30:55Z,2022-05-27T14:38:19Z,2.76057
hpccrandomringbw,0,1,1,1,2022-05-27T14:32:22Z,2022-05-27T14:32:24Z,2022-05-27T14:39:48Z,2022-05-27T14:39:48Z,2022-05-27T14:32:22Z,2022-05-27T14:39:48Z,1.88398
hpccfft,0,1,1,1,2022-05-27T14:32:48Z,2022-05-27T14:32:50Z,2022-05-27T14:36:48Z,2022-05-27T14:36:48Z,2022-05-27T14:32:48Z,2022-05-27T14:36:48Z,9.34279
hpccdgemm,2,1,1,1,2022-05-27T14:33:43Z,2022-05-27T14:33:45Z,2022-05-27T14:53:16Z,2022-05-27T14:53:16Z,2022-05-27T14:33:43Z,2022-05-27T14:53:16Z,31.9391
hpccstream,2,1,1,1,2022-05-27T14:34:14Z,2022-05-27T14:34:37Z,2022-05-27T14:42:03Z,2022-05-27T14:42:03Z,2022-05-27T14:34:14Z,2022-05-27T14:42:02Z,2.78308
hpccrandomringbw,3,1,1,1,2022-05-27T14:34:42Z,2022-05-27T14:46:52Z,2022-05-27T14:54:02Z,2022-05-27T14:54:02Z,2022-05-27T14:34:42Z,2022-05-27T14:54:02Z,1.88841
hpccdgemm,3,1,1,1,2022-05-27T14:35:22Z,2022-05-27T14:45:59Z,2022-05-27T15:05:18Z,2022-05-27T15:05:18Z,2022-05-27T14:35:22Z,2022-05-27T15:05:18Z,31.4474
hpccfft,3,1,1,1,2022-05-27T14:35:55Z,2022-05-27T14:36:57Z,2022-05-27T14:40:58Z,2022-05-27T14:40:58Z,2022-05-27T14:35:55Z,2022-05-27T14:40:58Z,9.36647
minife,0,1,1,1,2022-05-27T14:36:19Z,2022-05-27T14:47:53Z,2022-05-27T15:06:29Z,2022-05-27T15:06:29Z,2022-05-27T14:36:19Z,2022-05-27T15:06:29Z, 8617.84
hpccrandomringbw,1,1,1,1,2022-05-27T14:36:58Z,2022-05-27T14:38:30Z,2022-05-27T14:45:46Z,2022-05-27T14:45:46Z,2022-05-27T14:36:58Z,2022-05-27T14:45:46Z,1.87417
minife,1,1,1,1,2022-05-27T14:38:01Z,2022-05-27T14:42:19Z,2022-05-27T15:01:08Z,2022-05-27T15:01:08Z,2022-05-27T14:38:01Z,2022-05-27T15:01:08Z, 8525.23
hpccstream,1,1,1,1,2022-05-27T14:38:44Z,2022-05-27T14:41:10Z,2022-05-27T14:48:25Z,2022-05-27T14:48:25Z,2022-05-27T14:38:44Z,2022-05-27T14:48:25Z,2.73299
hpccdgemm,0,1,1,1,2022-05-27T14:39:27Z,2022-05-27T14:39:54Z,2022-05-27T14:59:49Z,2022-05-27T14:59:49Z,2022-05-27T14:39:27Z,2022-05-27T14:59:49Z,31.3913
hpccfft,2,1,1,1,2022-05-27T14:43:58Z,2022-05-27T14:44:57Z,2022-05-27T14:48:50Z,2022-05-27T14:48:50Z,2022-05-27T14:43:58Z,2022-05-27T14:48:50Z,10.6345
