benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance
hpccrandomringbw,2,16,4,16,2022-05-24T07:36:27Z,2022-05-24T07:36:35Z,2022-05-25T17:39:04Z,2022-05-25T17:39:05Z,34h3m19.786570241s,0.00802813
hpccdgemm,1,16,4,16,2022-05-24T07:37:09Z,2022-05-24T07:37:18Z,2022-05-24T07:53:37Z,2022-05-24T07:53:37Z,17m9.215707612s,37.5445
hpccstream,0,16,4,16,2022-05-24T07:39:02Z,2022-05-24T07:39:11Z,2022-05-24T07:43:40Z,2022-05-24T07:43:41Z,5m15.795903139s,6.57858
minife,3,16,4,16,2022-05-24T07:39:43Z,2022-05-24T07:39:53Z,2022-05-24T08:02:59Z,2022-05-24T08:03:00Z,23m55.275061968s, 6905.34
hpccfft,1,16,4,16,2022-05-24T07:40:43Z,2022-05-24T07:40:54Z,2022-05-24T09:05:06Z,2022-05-24T09:05:07Z,1h25m5.731036152s,0.355527
minife,2,16,4,16,2022-05-24T07:41:01Z,2022-05-24T07:41:11Z,2022-05-24T07:59:35Z,2022-05-24T07:59:36Z,19m16.404508415s, 8851.38
hpccstream,3,16,4,16,2022-05-24T07:42:54Z,2022-05-24T07:43:07Z,2022-05-24T07:48:12Z,2022-05-24T07:48:13Z,6m4.220224293s,6.20486
hpccrandomringbw,0,16,4,16,2022-05-24T07:44:22Z,2022-05-24T07:44:32Z,2022-05-25T17:21:07Z,2022-05-25T17:21:08Z,33h37m25.359273539s,0.00817879
hpccfft,0,16,4,16,2022-05-24T07:44:48Z,2022-05-24T07:45:00Z,2022-05-24T09:17:03Z,2022-05-24T09:17:04Z,1h32m59.374713962s,0.299867
hpccdgemm,2,16,4,16,2022-05-24T07:45:44Z,2022-05-24T07:49:06Z,2022-05-24T08:05:23Z,2022-05-24T08:05:24Z,20m24.628664438s,37.9333
hpccstream,2,16,4,16,2022-05-24T07:46:16Z,2022-05-24T07:54:29Z,2022-05-24T07:58:18Z,2022-05-24T07:58:19Z,12m43.749520711s,8.6265
hpccrandomringbw,3,16,4,16,2022-05-24T07:46:44Z,2022-05-24T07:59:11Z,2022-05-25T17:36:51Z,2022-05-25T17:36:52Z,33h50m53.063914244s,0.0080426
hpccdgemm,3,16,4,16,2022-05-24T07:47:24Z,2022-05-24T08:00:26Z,2022-05-24T08:16:31Z,2022-05-24T08:16:33Z,29m53.137825307s,38.1254
hpccfft,3,16,4,16,2022-05-24T07:47:58Z,2022-05-24T08:03:48Z,2022-05-24T09:45:15Z,2022-05-24T09:45:16Z,1h58m0.441052058s,0.266072
minife,0,16,4,16,2022-05-24T07:48:22Z,2022-05-24T08:06:19Z,2022-05-24T08:25:34Z,2022-05-24T08:25:36Z,37m57.031390178s, 8453.9
hpccrandomringbw,1,16,4,16,2022-05-24T07:49:02Z,2022-05-24T08:17:26Z,2022-05-25T17:47:22Z,2022-05-25T17:47:22Z,33h59m5.338164531s,0.00805487
minife,1,16,4,16,2022-05-24T07:50:05Z,2022-05-24T08:26:24Z,2022-05-24T08:44:14Z,2022-05-24T08:44:16Z,54m53.693950617s, 9112.73
hpccstream,1,16,4,16,2022-05-24T07:50:49Z,2022-05-24T08:45:08Z,2022-05-24T08:49:03Z,2022-05-24T08:49:05Z,58m58.989243819s,10.1544
hpccdgemm,0,16,4,16,2022-05-24T07:51:33Z,2022-05-24T08:49:54Z,2022-05-24T09:06:12Z,2022-05-24T09:06:14Z,1h15m25.208901092s,38.1874
hpccfft,2,16,4,16,2022-05-24T07:56:05Z,2022-05-24T09:05:58Z,2022-05-24T10:30:05Z,2022-05-24T10:30:05Z,2h34m42.412560573s,0.324656
