benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance,init,run,final,start,afterstart
hpccrandomringbw,2,16,1,1,2022-05-10 09:35:36+00:00,2022-05-10 09:35:40+00:00,2022-05-10 09:42:47+00:00,2022-05-10 09:42:47+00:00,0 days 00:07:50.261599584,1.90652,0 days 00:00:04,0 days 00:07:07,0 days,2022-05-10 09:35:36+00:00,0 days 00:00:00
hpccdgemm,1,16,1,1,2022-05-10 09:36:18+00:00,2022-05-10 09:36:21+00:00,2022-05-10 09:56:10+00:00,2022-05-10 09:56:10+00:00,0 days 00:20:28.322881808,31.2303,0 days 00:00:03,0 days 00:19:49,0 days,2022-05-10 09:35:36+00:00,0 days 00:00:42
hpccstream,0,16,1,1,2022-05-10 09:38:10+00:00,2022-05-10 09:38:14+00:00,2022-05-10 09:45:34+00:00,2022-05-10 09:45:34+00:00,0 days 00:07:57.115371779,2.77239,0 days 00:00:04,0 days 00:07:20,0 days,2022-05-10 09:35:36+00:00,0 days 00:02:34
minife,3,16,1,1,2022-05-10 09:38:51+00:00,2022-05-10 09:38:55+00:00,2022-05-10 09:57:48+00:00,2022-05-10 09:57:48+00:00,0 days 00:19:29.808467251,8510.54,0 days 00:00:04,0 days 00:18:53,0 days,2022-05-10 09:35:36+00:00,0 days 00:03:15
hpccfft,1,16,1,1,2022-05-10 09:39:51+00:00,2022-05-10 09:39:55+00:00,2022-05-10 09:43:51+00:00,2022-05-10 09:43:51+00:00,0 days 00:04:35.283306805,9.41982,0 days 00:00:04,0 days 00:03:56,0 days,2022-05-10 09:35:36+00:00,0 days 00:04:15
minife,2,16,1,1,2022-05-10 09:40:09+00:00,2022-05-10 09:40:13+00:00,2022-05-10 09:59:13+00:00,2022-05-10 09:59:13+00:00,0 days 00:19:48.254800685,8456.51,0 days 00:00:04,0 days 00:19:00,0 days,2022-05-10 09:35:36+00:00,0 days 00:04:33
hpccstream,3,16,1,1,2022-05-10 09:42:02+00:00,2022-05-10 09:42:06+00:00,2022-05-10 09:49:24+00:00,2022-05-10 09:49:24+00:00,0 days 00:08:04.276835635,2.78962,0 days 00:00:04,0 days 00:07:18,0 days,2022-05-10 09:35:36+00:00,0 days 00:06:26
hpccrandomringbw,0,16,1,1,2022-05-10 09:43:29+00:00,2022-05-10 09:43:33+00:00,2022-05-10 09:50:47+00:00,2022-05-10 09:50:47+00:00,0 days 00:07:57.297525923,1.87806,0 days 00:00:04,0 days 00:07:14,0 days,2022-05-10 09:35:36+00:00,0 days 00:07:53
hpccfft,0,16,1,1,2022-05-10 09:43:55+00:00,2022-05-10 09:44:00+00:00,2022-05-10 09:47:54+00:00,2022-05-10 09:47:54+00:00,0 days 00:04:31.928247072,10.7765,0 days 00:00:05,0 days 00:03:54,0 days,2022-05-10 09:35:36+00:00,0 days 00:08:19
hpccdgemm,2,16,1,1,2022-05-10 09:44:50+00:00,2022-05-10 09:44:54+00:00,2022-05-10 10:04:26+00:00,2022-05-10 10:04:26+00:00,0 days 00:20:09.032500466,30.7081,0 days 00:00:04,0 days 00:19:32,0 days,2022-05-10 09:35:36+00:00,0 days 00:09:14
hpccstream,2,16,1,1,2022-05-10 09:45:21+00:00,2022-05-10 09:46:09+00:00,2022-05-10 09:53:30+00:00,2022-05-10 09:53:30+00:00,0 days 00:08:41.663688791,2.76243,0 days 00:00:48,0 days 00:07:21,0 days,2022-05-10 09:35:36+00:00,0 days 00:09:45
hpccrandomringbw,3,16,1,1,2022-05-10 09:45:50+00:00,2022-05-10 09:48:29+00:00,2022-05-10 09:55:43+00:00,2022-05-10 09:55:43+00:00,0 days 00:10:36.256541544,1.88938,0 days 00:02:39,0 days 00:07:14,0 days,2022-05-10 09:35:36+00:00,0 days 00:10:14
hpccdgemm,3,16,1,1,2022-05-10 09:46:29+00:00,2022-05-10 09:50:08+00:00,2022-05-10 10:10:19+00:00,2022-05-10 10:10:19+00:00,0 days 00:24:27.271786432,30.0186,0 days 00:03:39,0 days 00:20:11,0 days,2022-05-10 09:35:36+00:00,0 days 00:10:53
hpccfft,3,16,1,1,2022-05-10 09:47:02+00:00,2022-05-10 09:51:30+00:00,2022-05-10 09:55:29+00:00,2022-05-10 09:55:29+00:00,0 days 00:08:58.816310931,9.36426,0 days 00:04:28,0 days 00:03:59,0 days,2022-05-10 09:35:36+00:00,0 days 00:11:26
