benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,duration,performance,init,run,final,start,afterstart
hpccrandomringbw,2,16,1,1,2022-05-10 12:44:15+00:00,2022-05-10 12:44:19+00:00,2022-05-10 12:51:35+00:00,2022-05-10 12:51:35+00:00,0 days 00:08:01.269939626,1.89477,0 days 00:00:04,0 days 00:07:16,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:00:00
hpccdgemm,1,16,4,16,2022-05-10 12:44:57+00:00,2022-05-10 12:45:04+00:00,2022-05-10 13:02:05+00:00,2022-05-10 13:02:06+00:00,0 days 00:17:49.445662786,36.6847,0 days 00:00:07,0 days 00:17:01,0 days 00:00:01,2022-05-10 12:44:15+00:00,0 days 00:00:42
hpccstream,0,16,4,16,2022-05-10 12:46:49+00:00,2022-05-10 12:46:57+00:00,2022-05-10 12:50:12+00:00,2022-05-10 12:50:12+00:00,0 days 00:04:07.363420705,7.98153,0 days 00:00:08,0 days 00:03:15,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:02:34
minife,3,16,4,16,2022-05-10 12:47:30+00:00,2022-05-10 12:47:38+00:00,2022-05-10 13:03:09+00:00,2022-05-10 13:03:09+00:00,0 days 00:16:16.432220650,10591.8,0 days 00:00:08,0 days 00:15:31,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:03:15
hpccfft,1,16,1,1,2022-05-10 12:48:31+00:00,2022-05-10 12:48:34+00:00,2022-05-10 12:52:30+00:00,2022-05-10 12:52:30+00:00,0 days 00:04:35.291990748,9.41924,0 days 00:00:03,0 days 00:03:56,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:04:16
minife,2,16,4,16,2022-05-10 12:48:48+00:00,2022-05-10 12:48:55+00:00,2022-05-10 13:04:15+00:00,2022-05-10 13:04:15+00:00,0 days 00:16:08.380657912,10763.1,0 days 00:00:07,0 days 00:15:20,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:04:33
hpccstream,3,16,4,16,2022-05-10 12:50:41+00:00,2022-05-10 12:51:03+00:00,2022-05-10 12:55:39+00:00,2022-05-10 12:55:39+00:00,0 days 00:05:35.447274922,5.31743,0 days 00:00:22,0 days 00:04:36,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:06:26
hpccrandomringbw,0,16,1,1,2022-05-10 12:52:08+00:00,2022-05-10 12:52:13+00:00,2022-05-10 12:59:30+00:00,2022-05-10 12:59:30+00:00,0 days 00:07:58.274620527,1.87725,0 days 00:00:05,0 days 00:07:17,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:07:53
hpccfft,0,16,1,1,2022-05-10 12:52:34+00:00,2022-05-10 12:52:39+00:00,2022-05-10 12:56:36+00:00,2022-05-10 12:56:36+00:00,0 days 00:04:34.564330672,10.6768,0 days 00:00:05,0 days 00:03:57,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:08:19
hpccdgemm,2,16,4,16,2022-05-10 12:53:30+00:00,2022-05-10 12:53:43+00:00,2022-05-10 13:10:52+00:00,2022-05-10 13:10:53+00:00,0 days 00:18:07.163369056,36.1775,0 days 00:00:13,0 days 00:17:09,0 days 00:00:01,2022-05-10 12:44:15+00:00,0 days 00:09:15
hpccstream,2,16,4,16,2022-05-10 12:54:01+00:00,2022-05-10 12:54:15+00:00,2022-05-10 12:59:10+00:00,2022-05-10 12:59:11+00:00,0 days 00:05:56.007822915,4.97582,0 days 00:00:14,0 days 00:04:55,0 days 00:00:01,2022-05-10 12:44:15+00:00,0 days 00:09:46
hpccrandomringbw,3,16,1,1,2022-05-10 12:54:29+00:00,2022-05-10 12:57:11+00:00,2022-05-10 13:04:38+00:00,2022-05-10 13:04:38+00:00,0 days 00:10:41.702931962,1.88786,0 days 00:02:42,0 days 00:07:27,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:10:14
hpccdgemm,3,16,4,16,2022-05-10 12:55:08+00:00,2022-05-10 12:56:28+00:00,2022-05-10 13:13:21+00:00,2022-05-10 13:13:21+00:00,0 days 00:18:58.383391010,36.5936,0 days 00:01:20,0 days 00:16:53,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:10:53
hpccfft,3,16,1,1,2022-05-10 12:55:41+00:00,2022-05-10 13:00:15+00:00,2022-05-10 13:04:16+00:00,2022-05-10 13:04:16+00:00,0 days 00:09:15.369911472,9.40529,0 days 00:04:34,0 days 00:04:01,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:11:26
minife,0,16,4,16,2022-05-10 12:56:05+00:00,2022-05-10 13:00:25+00:00,2022-05-10 13:14:14+00:00,2022-05-10 13:14:14+00:00,0 days 00:18:52.461508219,11971.9,0 days 00:04:20,0 days 00:13:49,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:11:50
hpccrandomringbw,1,16,1,1,2022-05-10 12:56:45+00:00,2022-05-10 13:05:03+00:00,2022-05-10 13:12:19+00:00,2022-05-10 13:12:19+00:00,0 days 00:16:11.313659842,1.88684,0 days 00:08:18,0 days 00:07:16,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:12:30
minife,1,16,4,16,2022-05-10 12:57:48+00:00,2022-05-10 13:02:55+00:00,2022-05-10 13:15:31+00:00,2022-05-10 13:15:31+00:00,0 days 00:18:28.341161560,13238.1,0 days 00:05:07,0 days 00:12:36,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:13:33
hpccstream,1,16,4,16,2022-05-10 12:58:31+00:00,2022-05-10 13:03:54+00:00,2022-05-10 13:07:53+00:00,2022-05-10 13:07:54+00:00,0 days 00:10:05.360271048,6.64223,0 days 00:05:23,0 days 00:03:59,0 days 00:00:01,2022-05-10 12:44:15+00:00,0 days 00:14:16
hpccdgemm,0,16,4,16,2022-05-10 12:59:14+00:00,2022-05-10 13:05:06+00:00,2022-05-10 13:21:53+00:00,2022-05-10 13:21:53+00:00,0 days 00:23:22.366122318,38.8813,0 days 00:05:52,0 days 00:16:47,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:14:59
hpccfft,2,16,1,1,2022-05-10 13:03:46+00:00,2022-05-10 13:05:12+00:00,2022-05-10 13:09:05+00:00,2022-05-10 13:09:05+00:00,0 days 00:05:52.310720318,10.7283,0 days 00:01:26,0 days 00:03:53,0 days 00:00:00,2022-05-10 12:44:15+00:00,0 days 00:19:31
