benchmark,times,nTasks,nNodes,nWorkers,Pending,Running,Completing,Completed,start,complete,performance,init,run,final,duration,afterstart
hpccrandomringbw,2,1,1,1,2022-05-27 14:24:29+00:00,2022-05-27 14:24:32+00:00,2022-05-27 14:31:51+00:00,2022-05-27 14:31:51+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:31:51+00:00,1.88253,0 days 00:00:03,0 days 00:07:19,0 days 00:00:00,0 days 00:07:22,0 days 00:00:00
hpccdgemm,1,1,1,1,2022-05-27 14:25:12+00:00,2022-05-27 14:25:13+00:00,2022-05-27 14:44:51+00:00,2022-05-27 14:44:51+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:44:51+00:00,31.0174,0 days 00:00:01,0 days 00:19:38,0 days 00:00:00,0 days 00:19:39,0 days 00:00:43
hpccstream,0,1,1,1,2022-05-27 14:27:04+00:00,2022-05-27 14:27:06+00:00,2022-05-27 14:34:31+00:00,2022-05-27 14:34:31+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:34:31+00:00,2.794,0 days 00:00:02,0 days 00:07:25,0 days 00:00:00,0 days 00:07:27,0 days 00:02:35
minife,3,1,1,1,2022-05-27 14:27:45+00:00,2022-05-27 14:27:47+00:00,2022-05-27 14:46:39+00:00,2022-05-27 14:46:39+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:46:39+00:00,8516.12,0 days 00:00:02,0 days 00:18:52,0 days 00:00:00,0 days 00:18:54,0 days 00:03:16
hpccfft,1,1,1,1,2022-05-27 14:28:45+00:00,2022-05-27 14:28:47+00:00,2022-05-27 14:32:44+00:00,2022-05-27 14:32:44+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:32:44+00:00,9.36927,0 days 00:00:02,0 days 00:03:57,0 days 00:00:00,0 days 00:03:59,0 days 00:04:16
minife,2,1,1,1,2022-05-27 14:29:02+00:00,2022-05-27 14:29:04+00:00,2022-05-27 14:47:41+00:00,2022-05-27 14:47:41+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:47:41+00:00,8598.86,0 days 00:00:02,0 days 00:18:37,0 days 00:00:00,0 days 00:18:39,0 days 00:04:33
hpccstream,3,1,1,1,2022-05-27 14:30:55+00:00,2022-05-27 14:30:57+00:00,2022-05-27 14:38:19+00:00,2022-05-27 14:38:19+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:38:19+00:00,2.76057,0 days 00:00:02,0 days 00:07:22,0 days 00:00:00,0 days 00:07:24,0 days 00:06:26
hpccrandomringbw,0,1,1,1,2022-05-27 14:32:22+00:00,2022-05-27 14:32:24+00:00,2022-05-27 14:39:48+00:00,2022-05-27 14:39:48+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:39:48+00:00,1.88398,0 days 00:00:02,0 days 00:07:24,0 days 00:00:00,0 days 00:07:26,0 days 00:07:53
hpccfft,0,1,1,1,2022-05-27 14:32:48+00:00,2022-05-27 14:32:50+00:00,2022-05-27 14:36:48+00:00,2022-05-27 14:36:48+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:36:48+00:00,9.34279,0 days 00:00:02,0 days 00:03:58,0 days 00:00:00,0 days 00:04:00,0 days 00:08:19
hpccdgemm,2,1,1,1,2022-05-27 14:33:43+00:00,2022-05-27 14:33:45+00:00,2022-05-27 14:53:16+00:00,2022-05-27 14:53:16+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:53:16+00:00,31.9391,0 days 00:00:02,0 days 00:19:31,0 days 00:00:00,0 days 00:19:33,0 days 00:09:14
hpccstream,2,1,1,1,2022-05-27 14:34:14+00:00,2022-05-27 14:34:37+00:00,2022-05-27 14:42:03+00:00,2022-05-27 14:42:03+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:42:02+00:00,2.78308,0 days 00:00:23,0 days 00:07:26,0 days 00:00:00,0 days 00:07:48,0 days 00:09:45
hpccrandomringbw,3,1,1,1,2022-05-27 14:34:42+00:00,2022-05-27 14:46:52+00:00,2022-05-27 14:54:02+00:00,2022-05-27 14:54:02+00:00,2022-05-27 14:24:29+00:00,2022-05-27 14:54:02+00:00,1.88841,0 days 00:12:10,0 days 00:07:10,0 days 00:00:00,0 days 00:19:20,0 days 00:10:13
